canonical_import_pass,canonical_module,error,legacy_import_pass,legacy_module,pass,same_object,symbol
True,src.mpm_lbm.sim.squid_proxy.region_config,,True,src.squid_region_config,True,True,SquidRegion
True,src.mpm_lbm.sim.squid_proxy.region_config,,True,src.squid_region_config,True,True,SquidProxyRegionConfig
True,src.mpm_lbm.sim.squid_proxy.region_config,,True,src.squid_region_config,True,True,default_squid_regions
True,src.mpm_lbm.sim.squid_proxy.region_config,,True,src.squid_region_config,True,True,default_allowed_overlap_pairs
True,src.mpm_lbm.sim.squid_proxy.region_config,,True,src.squid_region_config,True,True,default_squid_proxy_region_config
True,src.mpm_lbm.sim.squid_proxy.region_config,,True,src.squid_region_config,True,True,load_squid_proxy_region_config
True,src.mpm_lbm.sim.squid_proxy.region_config,,True,src.squid_region_config,True,True,validate_squid_region_config
True,src.mpm_lbm.sim.squid_proxy.regions,,True,src.squid_proxy_regions,True,True,sample_squid_proxy_region_points
True,src.mpm_lbm.sim.squid_proxy.regions,,True,src.squid_proxy_regions,True,True,sample_squid_proxy_regions
True,src.mpm_lbm.sim.squid_proxy.regions,,True,src.squid_proxy_regions,True,True,summarize_region_masks
True,src.mpm_lbm.sim.squid_proxy.regions,,True,src.squid_proxy_regions,True,True,sampled_position_hash
True,src.mpm_lbm.sim.squid_proxy.regions,,True,src.squid_proxy_regions,True,True,region_assignment_hash
True,src.mpm_lbm.sim.squid_proxy.regions,,True,src.squid_proxy_regions,True,True,mantle_normalized_radius
True,src.mpm_lbm.sim.squid_proxy.regions,,True,src.squid_proxy_regions,True,True,write_region_manifest
True,src.mpm_lbm.sim.squid_proxy.kinematics_config,,True,src.squid_kinematics_config,True,True,SquidKinematicsScheduleConfig
True,src.mpm_lbm.sim.squid_proxy.kinematics_config,,True,src.squid_kinematics_config,True,True,validate_kinematics_schedule_config
True,src.mpm_lbm.sim.squid_proxy.kinematics_config,,True,src.squid_kinematics_config,True,True,summarize_config_validation
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,phase_samples
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,smoothstep
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,window_weight
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,mantle_radius_scale
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,cavity_volume_scale
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,funnel_aperture_scale
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,schedule_rows
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,summarize_schedule
True,src.mpm_lbm.sim.squid_proxy.kinematics_schedule,,True,src.squid_kinematics_schedule,True,True,write_schedule_outputs
True,src.mpm_lbm.sim.squid_proxy.kinematics_quality,,True,src.squid_kinematics_quality,True,True,analyze_kinematics_schedule
True,src.mpm_lbm.sim.squid_proxy.kinematics_quality,,True,src.squid_kinematics_quality,True,True,quality_rows_from_analysis
True,src.mpm_lbm.sim.squid_proxy.kinematics_quality,,True,src.squid_kinematics_quality,True,True,assert_kinematics_schedule_quality
True,src.mpm_lbm.sim.squid_proxy.region_mapping,,True,src.squid_kinematics_region_mapping,True,True,validate_kinematics_region_mapping
True,src.mpm_lbm.sim.squid_proxy.region_mapping,,True,src.squid_kinematics_region_mapping,True,True,region_mapping_rows
True,src.mpm_lbm.sim.squid_proxy.region_mapping,,True,src.squid_kinematics_region_mapping,True,True,assert_region_mapping
True,src.mpm_lbm.sim.squid_proxy.motion_mapping,,True,src.squid_motion_mapping,True,True,load_motion_mapping_inputs
True,src.mpm_lbm.sim.squid_proxy.motion_mapping,,True,src.squid_motion_mapping,True,True,compute_region_motion_rows
True,src.mpm_lbm.sim.squid_proxy.motion_mapping,,True,src.squid_motion_mapping,True,True,mantle_displacement_proxy
