comparison,static_case,experimental_case,reaction_transfer_mode,both_stable,rho_min_delta,rho_max_delta,lbm_max_v_delta,mpm_min_J_delta,projected_mass_delta,active_cell_count_delta,bb_link_count_delta,experimental_applied_velocity_max,notes,comparison_pass
static_vs_experimental_engineering,static_48_moving_boundary,experimental_48_moving_boundary,engineering,True,-0.0051749348640441895,0.0025905370712280273,0.00250818207859993,1.430511474609375e-06,-9.313225746154785e-09,0,0,0.007021783310068709,bounded Step 37 static-vs-experimental short-window envelope comparison,True
static_vs_experimental_link_area_experimental,static_48_link_area,experimental_48_link_area,link_area_experimental,True,-0.00520092248916626,0.0025784969329833984,0.002528967335820198,1.3113021850585938e-06,1.862645149230957e-09,0,0,0.007021783310068709,bounded Step 37 static-vs-experimental short-window envelope comparison,True
