comparison,static_case,experimental_case,reaction_transfer_mode,both_stable,rho_min_delta,rho_max_delta,lbm_max_v_delta,mpm_min_J_delta,projected_mass_delta,active_cell_count_delta,bb_link_count_delta,experimental_applied_velocity_max,notes,comparison_pass
static_vs_experimental_engineering,static_48_moving_boundary,experimental_48_moving_boundary,engineering,True,-0.007118880748748779,0.004618287086486816,0.003219286911189556,1.3709068298339844e-06,-3.725290298461914e-09,0,0,0.007021783310068709,bounded Step 39 static-vs-experimental two-cycle proxy comparison,True
static_vs_experimental_link_area_experimental,static_48_link_area,experimental_48_link_area,link_area_experimental,True,-0.0071405768394470215,0.004770517349243164,0.003217441961169243,-1.1205673217773438e-05,-3.725290298461914e-09,1,-2,0.007021783310068709,bounded Step 39 static-vs-experimental two-cycle proxy comparison,True
