phase,region_id,wall_grid_row_count,motion_row_present,wall_velocity_norm_max,wall_velocity_norm_mean,motion_velocity_norm_max,motion_velocity_norm_mean,mantle_radius_rate,volume_rate,aperture_rate,finite_pass,phase_match_pass,region_match_pass,mantle_velocity_consistency_pass,cavity_rate_sign_consistency_pass,funnel_rate_sign_consistency_pass,consistency_pass
0.0,funnel_outlet_proxy,3,True,0.0,0.0,0.0,0.0,-0.04482507288630089,-0.11953352769679348,0.0,True,True,True,True,True,True,True
0.0,mantle_cavity_proxy,3,True,0.005976676384839674,0.005976676384839674,0.0,0.0,-0.04482507288630089,-0.11953352769679348,0.0,True,True,True,True,True,True,True
0.0,mantle_outer,3,True,0.007769305510901743,0.005843220699812944,0.007765970249971208,0.005874407566989911,-0.04482507288630089,-0.11953352769679348,0.0,True,True,True,True,True,True,True
0.1,funnel_outlet_proxy,3,True,0.0,0.0,0.0,0.0,-0.52368804664723,-1.3965014577259538,0.0,True,True,True,True,True,True,True
0.1,mantle_cavity_proxy,3,True,0.06982507288629769,0.06982507288629769,0.0,0.0,-0.52368804664723,-1.3965014577259538,0.0,True,True,True,True,True,True,True
0.1,mantle_outer,3,True,0.09076822779808878,0.06826591988317511,0.09072926218868085,0.06863027377043769,-0.52368804664723,-1.3965014577259538,0.0,True,True,True,True,True,True,True
0.2,funnel_outlet_proxy,3,True,0.0,0.0,0.0,0.0,-0.6286443148688079,-1.6763848396501473,0.0,True,True,True,True,True,True,True
0.2,mantle_cavity_proxy,3,True,0.08381924198250737,0.08381924198250734,0.0,0.0,-0.6286443148688079,-1.6763848396501473,0.0,True,True,True,True,True,True,True
0.2,mantle_outer,3,True,0.10895977240897987,0.08194760737541944,0.10891299740812482,0.08238498417119396,-0.6286443148688079,-1.6763848396501473,0.0,True,True,True,True,True,True,True
0.35,funnel_outlet_proxy,3,True,0.0,0.0,0.0,0.0,-0.015841075359851686,-0.042242867626274716,0.0,True,True,True,True,True,True,True
0.35,mantle_cavity_proxy,3,True,0.0021121433813137357,0.0021121433813137353,0.0,0.0,-0.015841075359851686,-0.042242867626274716,0.0,True,True,True,True,True,True,True
0.35,mantle_outer,3,True,0.002745654299415953,0.002064980456022204,0.002744475626045374,0.002076001821552187,-0.015841075359851686,-0.042242867626274716,0.0,True,True,True,True,True,True,True
0.5,funnel_outlet_proxy,3,True,1.4210854715202004e-16,1.4210854715202004e-16,0.0,0.0,0.24561902594447105,0.6549840691852538,1.7763568394002505e-15,True,True,True,True,True,True,True
0.5,mantle_cavity_proxy,3,True,0.03274920345926269,0.03274920345926269,0.0,0.0,0.24561902594447105,0.6549840691852538,1.7763568394002505e-15,True,True,True,True,True,True,True
0.5,mantle_outer,3,True,0.04257191631775113,0.03201793291685295,0.04255364075257568,0.03218882138272776,0.24561902594447105,0.6549840691852538,1.7763568394002505e-15,True,True,True,True,True,True,True
0.75,funnel_outlet_proxy,3,True,1.4210854715202004e-16,1.4210854715202004e-16,0.0,0.0,0.3275489303595833,0.8734638142922151,1.7763568394002505e-15,True,True,True,True,True,True,True
0.75,mantle_cavity_proxy,3,True,0.04367319071461076,0.04367319071461075,0.0,0.0,0.3275489303595833,0.8734638142922151,1.7763568394002505e-15,True,True,True,True,True,True,True
0.75,mantle_outer,3,True,0.05677241654882871,0.0426979939315086,0.0567480448952,0.04292588480434651,0.3275489303595833,0.8734638142922151,1.7763568394002505e-15,True,True,True,True,True,True,True
1.0,funnel_outlet_proxy,3,True,0.0,0.0,0.0,0.0,0.013142922166586904,0.035047792444240625,0.0,True,True,True,True,True,True,True
1.0,mantle_cavity_proxy,3,True,0.0017523896222120313,0.0017523896222120313,0.0,0.0,0.013142922166586904,0.035047792444240625,0.0,True,True,True,True,True,True,True
1.0,mantle_outer,3,True,0.0022779969120679967,0.001713259787767152,0.0022770189978786218,0.0017224039238841475,0.013142922166586904,0.035047792444240625,0.0,True,True,True,True,True,True,True
