metric,source_step138_250,step139_500,delta_500_minus_250
mass_abs,0.003974863988826804,0.008321150189010917,0.004346286200184114
outlet_to_inlet_flux_ratio_tail_mean,1.0589469344632336,1.0372606489398013,-0.021686285523432325
midplane_to_inlet_flux_ratio_tail_mean,0.9372161279428126,0.9995829419859176,0.06236681404310496
flux_imbalance_rel_tail_mean,0.08826485542410979,0.10270018561574665,0.014435330191636855
flux_imbalance_rel_tail_max,0.18087974336724078,0.16810119026843742,-0.012778553098803352
outlet_flux_tail_cv,0.09651149130583905,0.11556697847525366,0.019055487169414603
collapse_first_x,,,
collapse_first_step,,,
controller_authority_ratio_tail_mean,0.7843610576607964,0.5527449179102074,-0.23161613975058903
controller_saturation_fraction_tail,0.0,0.0,0.0
limiter_activation_fraction,0.0,0.0,0.0
first_failure_step,,,
runtime_s,76.69465730001684,54.23470119998092,-22.459956100035924
