name,mass_neutral_label,row_role,requested_nx,executed_nx,requested_n_steps,steps_completed,requested_window_completed,simulation_backed_artifact,finite_pass,density_gate_pass,population_gate_pass,mach_gate_pass,mass_drift_gate_pass,first_failure_step,first_failure_reason,candidate_mass_acceptance_observed_abs,candidate_mass_acceptance_gate_pass,mass_total_delta_rel_final,flow_development_gate_pass,outlet_to_inlet_flux_ratio_tail_mean,midplane_to_inlet_flux_ratio_tail_mean,flux_imbalance_rel_tail_mean,flux_imbalance_rel_tail_max,outlet_flux_tail_cv,collapse_first_x,collapse_first_step,limiter_activation_fraction,controller_authority_ratio_tail_mean,controller_saturation_fraction_tail,drop_guard_activation_fraction_tail,mass_neutral_rho_feedback_tail_mean,mass_neutral_mass_error_tail_mean,mass_neutral_mass_error_final,mass_neutral_feedback_saturation_fraction_tail,open_boundary_mass_neutral_mass_error_gain,open_boundary_mass_neutral_mass_error_cap,open_boundary_mass_neutral_correction_blend,open_boundary_flux_feedback_slew_alpha,runtime_s,selected96_claim_allowed,validation_claim_allowed,source_step,source_step146_readiness_hash,source_step146_readiness_path,source_step146_status,source_step146_recommended_design,source_step146_recommended_phase,source_step146_recommended_row_role,source_step145_decision_case,source_step144_decision_case,mass_neutral_activation_hash,solver_state_hash,run_manifest_hash
duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p0010_mncaptest_mgain0p50_mcap0p0015_blend0p50_slew0p25_out5_250step_satstat,relief_cap_test_slew025,saturation_stationarity_diagnostic_48,48,48,250,250,True,True,True,True,True,True,True,,,0.002093421390940915,True,0.002093421390940915,True,1.026276014362467,0.9729051809748817,0.06738282016989694,0.14549716325151343,0.08294339447357761,24,240,0.0,0.8381778204982931,0.06654426347083155,0.0,-0.0005031790377953174,0.0020127161511812697,0.001920049893669784,0.7280537236557635,0.5,0.0015,0.5,0.25,44.4033056999906,False,False,146,9970b5e0bcd7eeb05c456a34280025f890ea15b994782d72196755c485cec999,outputs/step146_coupled_saturation_stationarity_design/step146_design_readiness_report.json,design_ready,saturation_aware_mass_neutral_relief_with_stationarity_damping,planeflux_saturation_stationarity48,saturation_stationarity_diagnostic_48,mixed_saturation_stationarity_failure,mass_neutral_flow_stationarity_long_window_failure,64b65ba9492f02e506775b74ef8f0639b768b4f41274bfe18f7ccf8ab4659711,88ce70baafd2066360672b54c7e1c0c99088dea2ba986b300cf142ad4456e997,e32ed6c157dc634bfdf1509031f420379d892998b9081a41c7b415671e47ae2e
duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p0010_mnreliefmid_mgain0p50_mcap0p001_blend0p50_slew0p25_out5_250step_satstat,relief_mid_slew025,saturation_stationarity_diagnostic_48,48,48,250,250,True,True,True,True,True,True,True,,,0.0021991438855004522,True,0.0021991438855004522,True,1.0326430796626678,0.9744474074406251,0.07019307308346165,0.14866645516143606,0.08380908570402525,24,240,0.0,0.8403541746013093,0.053599047140301614,0.0,-0.00046690907699733293,0.002176056965254247,0.002029351657256484,0.844115851855766,0.5,0.001,0.5,0.25,45.30441729997983,False,False,146,9970b5e0bcd7eeb05c456a34280025f890ea15b994782d72196755c485cec999,outputs/step146_coupled_saturation_stationarity_design/step146_design_readiness_report.json,design_ready,saturation_aware_mass_neutral_relief_with_stationarity_damping,planeflux_saturation_stationarity48,saturation_stationarity_diagnostic_48,mixed_saturation_stationarity_failure,mass_neutral_flow_stationarity_long_window_failure,e46a9a9a8262a56e39a40bb493bd3d3dffa30cc76ae4362a7be97f297aeb59af,88ce70baafd2066360672b54c7e1c0c99088dea2ba986b300cf142ad4456e997,612420e1dbe24c4a4f4dc4b377629735109fbce76ae988de54b7418a01393e99
duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p0010_mnrelieflow_mgain0p35_mcap0p001_blend0p50_slew0p25_out5_250step_satstat,relief_low_slew025,saturation_stationarity_diagnostic_48,48,48,250,250,True,True,True,True,True,True,True,,,0.0022374840016654626,True,0.0022374840016654626,True,1.0297323092574056,0.974847539684781,0.06942484368219749,0.14915911882274874,0.08431679599209875,24,240,0.0,0.8400270941131044,0.06207767620913977,0.0,-0.00037770770193839616,0.002197244627909227,0.002042812528088689,0.7575016526694245,0.35,0.001,0.5,0.25,53.94207320001442,False,False,146,9970b5e0bcd7eeb05c456a34280025f890ea15b994782d72196755c485cec999,outputs/step146_coupled_saturation_stationarity_design/step146_design_readiness_report.json,design_ready,saturation_aware_mass_neutral_relief_with_stationarity_damping,planeflux_saturation_stationarity48,saturation_stationarity_diagnostic_48,mixed_saturation_stationarity_failure,mass_neutral_flow_stationarity_long_window_failure,2f47df3e52d1391068fdafe57ad10b6c1ca3001ab2dce678c97ef500bfe217f5,88ce70baafd2066360672b54c7e1c0c99088dea2ba986b300cf142ad4456e997,e43ae73487f3475d040864e601d77da5231034f96271585fac1a21ca876539d9
duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p0010_mnhigh_mgain0p50_mcap0p001_blend1p00_slew0p50_out5_250step_satstat,baseline_high_repeat,saturation_stationarity_diagnostic_48,48,48,250,250,True,True,True,True,True,True,True,,,0.0031636249081530357,True,0.0031636249081530357,True,1.0570499946540481,0.93164892004945,0.08579940196467845,0.16855522284809135,0.09161249772040454,,,0.0,0.7829724049026315,0.0,0.0,-0.0010000000474974513,0.0033297357996079054,0.003523040097206831,0.8749355566726297,0.5,0.001,1.0,0.5,155.50323420000495,False,False,146,9970b5e0bcd7eeb05c456a34280025f890ea15b994782d72196755c485cec999,outputs/step146_coupled_saturation_stationarity_design/step146_design_readiness_report.json,design_ready,saturation_aware_mass_neutral_relief_with_stationarity_damping,planeflux_saturation_stationarity48,saturation_stationarity_diagnostic_48,mixed_saturation_stationarity_failure,mass_neutral_flow_stationarity_long_window_failure,0b16551e3d1932f3269547db4d2aea928a82064a9035b4a410538b114ec27c06,545a0bf963be70b66966f39598c578a0b823af31f672b3672ad28a8c1e09afab,9a5ea2eff33d1e5716c153906ed7c69abc911a544bf8ecbf81e07258fa3ea58e
