step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
25,43.58145830855584,0.7005626845678168,42.880895623988025,0.9839252124238743
50,43.78227555092214,0.6927186212593195,43.08955692966282,0.9841781037521992
75,43.78930083648312,1.7252761103615468,42.06402472612157,0.9606005102295643
100,43.76761874323633,81.20031625521436,37.43269751197803,0.46099201626661457
125,43.76317135884512,81.18511390732378,37.42194254847866,0.4609458649180117
150,43.773996562274164,81.69092696861779,37.916930406343624,0.46415106075255713
175,40.556135043711144,80.66001398916103,40.103878945449885,0.4971965285158391
200,41.32613559252816,80.931953546566,39.605817954037846,0.48937182680570973
225,41.03646154029302,81.04150699972101,40.00504545942799,0.49363649493296946
250,41.00089425891062,33.19986097452474,7.8010332843858805,0.1902649545915819
