mode,stable,projection_zone_ux_final,cell_force_max_norm,hydro_force_max_norm,bb_link_count,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed
none,True,0.0,0.0,0.0,0,1.0000003576278687,1.0000003576278687,0.0,0.9999996423721313,0.15625444054603577
penalty,True,2.1968289729557e-05,1.982891990337521e-05,1.982891990337521e-05,0,0.999984860420227,1.000016212463379,2.8654256311710924e-05,0.9999890327453613,0.15497174859046936
moving_boundary,True,0.0012716776691377163,0.0,0.4022144675254822,2322,0.9684749841690063,1.0298174619674683,0.02595710940659046,0.9881107211112976,0.2895996868610382
