official_step,time_s,total_lbm_substeps,lbm_substeps_per_fsi_step,x_index,x_norm,x_m,fluid_cell_count_static_mask,fluid_cell_count_dynamic_solver,mass_flux_lbm,mean_ux_lbm,mean_speed_lbm,max_speed_lbm,mass_flux_mps_proxy_sum,outlet_plane,inlet_plane,midplane
50,0.025,6000,120,0,0.010416666666666666,0.0010416666666666667,80,80,22647779328.0,-0.575855553150177,0.9642637372016907,4.0349860191345215,11323889664000.0,False,True,False
50,0.025,6000,120,1,0.03125,0.003125,80,80,-15349658624.0,0.24207520484924316,1.4999916553497314,12.27530288696289,-7674829312000.0,False,False,False
50,0.025,6000,120,2,0.052083333333333336,0.005208333333333334,80,80,67808362496.0,4.070298671722412,10.036203384399414,206.75857543945312,33904181248000.0,False,False,False
50,0.025,6000,120,3,0.07291666666666667,0.007291666666666668,80,80,-91142012928.0,-1.7331666946411133,6.933193206787109,90.70816802978516,-45571006464000.0,False,False,False
50,0.025,6000,120,4,0.09375,0.009375000000000001,80,80,115425886208.0,-4.547215938568115,10.118054389953613,486.2842712402344,57712943104000.0,False,False,False
50,0.025,6000,120,5,0.11458333333333333,0.011458333333333334,80,80,-134675693568.0,2.718547821044922,7.6899733543396,222.2889404296875,-67337846784000.0,False,False,False
50,0.025,6000,120,6,0.13541666666666666,0.013541666666666667,80,80,154959347712.0,1.1495147943496704,8.135005950927734,113.28797149658203,77479673856000.0,False,False,False
50,0.025,6000,120,7,0.15625,0.015625,80,80,-179503366144.0,-0.7537597417831421,7.5892744064331055,107.8330078125,-89751683072000.0,False,False,False
50,0.025,6000,120,8,0.17708333333333334,0.017708333333333336,80,80,219891761152.0,4.951813220977783,11.193262100219727,158.0636444091797,109945880576000.0,False,False,False
50,0.025,6000,120,9,0.19791666666666666,0.019791666666666666,80,80,-255167823872.0,-5.235260009765625,10.821160316467285,176.46514892578125,-127583911936000.0,False,False,False
50,0.025,6000,120,10,0.21875,0.021875000000000002,80,80,284591063040.0,-0.7801029086112976,17.47372055053711,421.5280456542969,142295531520000.0,False,False,False
50,0.025,6000,120,11,0.23958333333333334,0.023958333333333335,80,80,-305797791744.0,-2.975843667984009,21.932870864868164,322.6586608886719,-152898895872000.0,False,False,False
50,0.025,6000,120,12,0.2604166666666667,0.02604166666666667,80,80,322759720960.0,5.454594135284424,14.473876953125,167.97225952148438,161379860480000.0,False,False,False
50,0.025,6000,120,13,0.28125,0.028125,80,80,-334707163136.0,322.70037841796875,717.7015380859375,43322.89453125,-167353581568000.0,False,False,False
50,0.025,6000,120,14,0.3020833333333333,0.030208333333333334,80,80,368426811392.0,-4.729184150695801,16.19373321533203,285.1078796386719,184213405696000.0,False,False,False
