official_step,time_s,lbm_substeps_per_fsi_step,total_lbm_substeps,fsi_exchange_mode,step,flap_tip_total_displacement_m,flap_tip_x_displacement_m,flap_tip_y_displacement_m,flap_tip_velocity_m_per_s,official_point_like_total_displacement_m,official_point_like_x_displacement_m,official_point_like_y_displacement_m,official_point_like_z_displacement_m,official_point_like_particle_count,fluid_force_x_n,fluid_force_y_n,fluid_force_magnitude_n
0,0.0,120,0,lbm_subcycled_per_fsi_step,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0
1,0.0005,120,120,lbm_subcycled_per_fsi_step,1,3.0895934699515237e-09,3.608875143168433e-10,-2.875458537943132e-09,6.1791869399030475e-06,2.9802322387695314e-09,0.0,-2.9802322387695314e-09,0.0,8,0.0,0.4156987965106964,0.4156987965106964
2,0.001,120,240,lbm_subcycled_per_fsi_step,2,8.72318306477382e-09,9.313225746154785e-10,-7.974449545145035e-09,1.1267179189644594e-05,9.132661426165152e-09,0.0,-8.940696716308595e-09,1.862645149230957e-09,8,0.0,0.4150502383708954,0.4150502383708954
3,0.0015,120,360,lbm_subcycled_per_fsi_step,3,1.631145707392534e-08,1.6181730400077754e-09,-1.4656689195646777e-08,1.5176548018303038e-05,1.923130377998994e-08,0.0,-1.788139343261719e-08,7.078051567077637e-09,8,0.0,0.4093819856643677,0.4093819856643677
4,0.002,120,480,lbm_subcycled_per_fsi_step,4,2.6578035772217845e-08,3.958120942115784e-09,-2.3434404639033346e-08,2.053315739658501e-05,3.177216210994184e-08,5.960464477539063e-09,-2.868473529815674e-08,1.2293457984924317e-08,8,0.0,0.41210511326789856,0.41210511326789856
5,0.0025,120,600,lbm_subcycled_per_fsi_step,5,3.9663401452116887e-08,7.543713209656744e-09,-3.4656842728963966e-08,2.6170731359798083e-05,4.812550267006211e-08,1.1920928955078126e-08,-4.321336746215821e-08,1.7508864402770997e-08,8,0.0,0.4130341410636902,0.4130341410636902
6,0.003,120,720,lbm_subcycled_per_fsi_step,6,5.525711088694152e-08,1.1944211841807828e-08,-4.78117740954076e-08,3.1187418869649264e-05,6.737937001373953e-08,1.788139343261719e-08,-5.997717380523682e-08,2.4959444999694825e-08,8,0.0,0.4117249846458435,0.4117249846458435
7,0.0035,120,840,lbm_subcycled_per_fsi_step,7,7.254728728867121e-08,1.7415732855852184e-08,-6.209593550465797e-08,3.458035280345939e-05,8.797129288027846e-08,2.384185791015625e-08,-7.82310962677002e-08,3.2410025596618656e-08,8,0.0,0.41171517968177795,0.41171517968177795
8,0.004,120,960,lbm_subcycled_per_fsi_step,8,9.136039835766496e-08,2.3411121929939327e-08,-7.729977369308472e-08,3.76262221379875e-05,1.1067874466255815e-07,2.9802322387695312e-08,-9.760260581970216e-08,4.284083843231201e-08,8,0.0,0.40896862745285034,0.40896862745285034
9,0.0045000000000000005,120,1080,lbm_subcycled_per_fsi_step,9,1.1187734827444729e-07,2.9557851277672853e-08,-9.330688044428825e-08,4.103389983356461e-05,1.3434307962847473e-07,3.576278686523438e-08,-1.1734664440155029e-07,5.476176738739014e-08,8,0.0,219453984.0,219453984.0
10,0.005,120,1200,lbm_subcycled_per_fsi_step,10,1.2743085164856893e-07,3.5553238575403157e-08,-1.041684285496558e-07,3.110700674824332e-05,1.5226961753465414e-07,4.172325134277344e-08,-1.3113021850585939e-07,6.51925802230835e-08,8,0.0,35039100928.0,35039100928.0
11,0.0055,120,1320,lbm_subcycled_per_fsi_step,11,1.4153512495340692e-07,4.466856040608036e-08,-1.1229422369751774e-07,2.8208546609676e-05,1.6733231079741476e-07,5.3644180297851564e-08,-1.3969838619232178e-07,7.487833499908448e-08,8,0.0,1168574208.0,1168574208.0
12,0.006,120,1440,lbm_subcycled_per_fsi_step,12,1.552693049688969e-07,5.6275165860597554e-08,-1.1825468249071491e-07,2.7468360030979942e-05,1.8054441775051556e-07,6.556510925292969e-08,-1.4454126358032228e-07,8.605420589447022e-08,8,0.0,287550816.0,287550816.0
13,0.006500000000000001,120,1560,lbm_subcycled_per_fsi_step,13,1.668462630277645e-07,6.90226471533606e-08,-1.2003583549358154e-07,2.3153916117735187e-05,1.888927906069508e-07,8.046627044677735e-08,-1.4156103134155273e-07,9.57399606704712e-08,8,0.0,563442880.0,563442880.0
14,0.007,120,1680,lbm_subcycled_per_fsi_step,14,1.7656738293680974e-07,8.235220150254463e-08,-1.1841766678344356e-07,1.9442239818090473e-05,1.9409620468335677e-07,9.387731552124024e-08,-1.3262033462524415e-07,1.0617077350616455e-07,8,0.0,106577133568.0,106577133568.0
15,0.0075,120,1800,lbm_subcycled_per_fsi_step,15,1.828221911637229e-07,9.437790282618153e-08,-1.1236407004844295e-07,1.2509616453826321e-05,1.95992050820338e-07,1.0579824447631837e-07,-1.2032687664031984e-07,1.12876296043396e-07,8,0.0,63250743296.0,63250743296.0
16,0.008,120,1920,lbm_subcycled_per_fsi_step,16,1.8980742311214271e-07,1.0406365902326797e-07,-1.0736984989989651e-07,1.3970463896839635e-05,2.005860413093888e-07,1.1771917343139649e-07,-1.0989606380462646e-07,1.1958181858062745e-07,8,0.0,1590594432.0,1590594432.0
17,0.0085,120,2040,lbm_subcycled_per_fsi_step,17,1.93511937141011e-07,1.1082738637924194e-07,-9.98261384665966e-08,7.409028057736571e-06,1.998513219036746e-07,1.2367963790893556e-07,-9.424984455108643e-08,1.2554228305816651e-07,8,0.0,1279159808.0,1279159808.0
18,0.009000000000000001,120,2160,lbm_subcycled_per_fsi_step,18,1.950064927314088e-07,1.1783559017430889e-07,-8.818460628390312e-08,2.989111180795587e-06,1.9863344287155396e-07,1.2964010238647463e-07,-7.450580596923828e-08,1.307576894760132e-07,8,0.0,1002423386112.0,1002423386112.0
19,0.0095,120,2280,lbm_subcycled_per_fsi_step,19,1.9805987960808125e-07,1.2727687703772972e-07,-7.734634266398643e-08,6.106773753344912e-06,2.0244647896031198e-07,1.3858079910278321e-07,-5.736947059631348e-08,1.3597309589385986e-07,8,0.0,159561957376.0,159561957376.0
20,0.01,120,2400,lbm_subcycled_per_fsi_step,20,2.0177814974431385e-07,1.3535610321468994e-07,-6.676418706774712e-08,7.436540272465202e-06,2.0728721686809557e-07,1.4901161193847656e-07,-4.321336746215821e-08,1.3746321201324462e-07,8,0.0,5627664896.0,5627664896.0
21,0.0105,120,2520,lbm_subcycled_per_fsi_step,21,2.0666202260599675e-07,1.4217803823157737e-07,-5.8056322416177863e-08,9.767745723365798e-06,2.1285364708713306e-07,1.5497207641601563e-07,-3.05473804473877e-08,1.4267861843109132e-07,8,0.0,173603520512.0,173603520512.0
22,0.011,120,2640,lbm_subcycled_per_fsi_step,22,2.0952973045496037e-07,1.4883698895573616e-07,-4.420289911877262e-08,5.735415697927252e-06,2.174095504023399e-07,1.609325408935547e-07,-1.2293457984924317e-08,1.4565885066986085e-07,8,0.0,39701553152.0,39701553152.0
23,0.0115,120,2760,lbm_subcycled_per_fsi_step,23,2.0989504889712407e-07,1.5274854092695023e-07,-2.9301736148568125e-08,7.306368843273952e-07,2.1940694867215323e-07,1.646578311920166e-07,5.21540641784668e-09,1.4491379261016848e-07,8,0.0,3467755520.0,3467755520.0
24,0.012,120,2880,lbm_subcycled_per_fsi_step,24,2.111316206310221e-07,1.5667174579903076e-07,-1.4191027908339038e-08,2.473143467796033e-06,2.2424329175828444e-07,1.7061829566955568e-07,1.9744038581848147e-08,1.4416873455047608e-07,8,0.0,18123192320.0,18123192320.0
25,0.0125,120,3000,lbm_subcycled_per_fsi_step,25,2.1108282055593008e-07,1.583364763746431e-07,3.923196434385545e-09,9.760015018400727e-08,2.263631198614362e-07,1.7061829566955568e-07,3.9488077163696294e-08,1.434236764907837e-07,8,0.0,2346848000.0,2346848000.0
26,0.013000000000000001,120,3120,lbm_subcycled_per_fsi_step,26,2.1418807705231302e-07,1.6024569049477577e-07,2.335291426902586e-08,6.210512992765865e-06,2.325792743841449e-07,1.7210841178894044e-07,6.07222318649292e-08,1.4416873455047608e-07,8,0.0,60267466752.0,60267466752.0
27,0.0135,120,3240,lbm_subcycled_per_fsi_step,27,2.1614789602608653e-07,1.5962869781560585e-07,3.88710752474708e-08,3.919637947547027e-06,2.374798788766629e-07,1.7210841178894044e-07,7.599592208862305e-08,1.4491379261016848e-07,8,0.0,7699033088.0,7699033088.0
28,0.014,120,3360,lbm_subcycled_per_fsi_step,28,2.2128914167751645e-07,1.6298145055770874e-07,5.345791720401394e-08,1.0282491302859845e-05,2.457957718158298e-07,1.780688762664795e-07,8.71717929840088e-08,1.4528632164001465e-07,8,0.0,1389745408.0,1389745408.0
29,0.0145,120,3480,lbm_subcycled_per_fsi_step,29,2.26940514380658e-07,1.6640406386159157e-07,6.289919696200741e-08,1.1302745406283056e-05,2.521710613481553e-07,1.8402934074401858e-07,9.164214134216309e-08,1.4603137969970704e-07,8,0.0,9023105024.0,9023105024.0
30,0.015,120,3600,lbm_subcycled_per_fsi_step,30,2.3109942048904486e-07,1.6813865499898384e-07,6.76955096423626e-08,8.317812216773768e-06,2.554267236481133e-07,1.8551945686340334e-07,9.164214134216309e-08,1.4975666999816896e-07,8,0.0,3912057088.0,3912057088.0
31,0.0155,120,3720,lbm_subcycled_per_fsi_step,31,2.379600516633218e-07,1.7276033759117126e-07,7.516937472473728e-08,1.3721262348553852e-05,2.6287697809266983e-07,1.914799213409424e-07,9.424984455108643e-08,1.5348196029663087e-07,8,0.0,336259743744.0,336259743744.0
32,0.016,120,3840,lbm_subcycled_per_fsi_step,32,2.417644395791285e-07,1.748558133840561e-07,7.873168073047054e-08,7.60877583161345e-06,2.663215219235773e-07,1.9446015357971192e-07,9.164214134216309e-08,1.5720725059509278e-07,8,0.0,8412683264.0,8412683264.0
33,0.0165,120,3960,lbm_subcycled_per_fsi_step,33,2.445881648327486e-07,1.7737038149334694e-07,7.599592066753758e-08,5.647450507240132e-06,2.7001365628795054e-07,1.996755599975586e-07,8.158385753631593e-08,1.6242265701293946e-07,8,0.0,9249012736.0,9249012736.0
34,0.017,120,4080,lbm_subcycled_per_fsi_step,34,2.46324844965784e-07,1.7889543357796356e-07,6.90226471533606e-08,3.47336026607081e-06,2.731786136131808e-07,2.0265579223632815e-07,6.668269634246827e-08,1.7061829566955568e-07,8,0.0,9497975808.0,9497975808.0
35,0.0175,120,4200,lbm_subcycled_per_fsi_step,35,2.465334887347126e-07,1.773354654233117e-07,6.07105903327465e-08,4.1728753785719127e-07,2.755277188727286e-07,2.0265579223632815e-07,5.1036477088928227e-08,1.7955899238586427e-07,8,0.0,27278661632.0,27278661632.0
36,0.018000000000000002,120,4320,lbm_subcycled_per_fsi_step,36,2.499035360870039e-07,1.8026912584900856e-07,5.392357849132168e-08,6.740094704582583e-06,2.8114985785809616e-07,2.0638108253479006e-07,4.0233135223388675e-08,1.866370439529419e-07,8,0.0,3573909504.0,3573909504.0
37,0.0185,120,4440,lbm_subcycled_per_fsi_step,37,2.5164268890875974e-07,1.8075807872719452e-07,4.830071631545252e-08,3.4783056435117244e-06,2.845782883454882e-07,2.0638108253479006e-07,2.9429793357849122e-08,1.9371509552001953e-07,8,0.0,4320237056.0,4320237056.0
38,0.019,120,4560,lbm_subcycled_per_fsi_step,38,2.545464212744264e-07,1.830398161928315e-07,4.450557966606539e-08,5.8074647313333066e-06,2.879955407652549e-07,2.0712614059448243e-07,2.1606683731079104e-08,1.9893050193786623e-07,8,0.0,5350812160.0,5350812160.0
39,0.0195,120,4680,lbm_subcycled_per_fsi_step,39,2.5373719836352393e-07,1.8064166340536758e-07,4.1420573637651614e-08,1.6184458218049243e-06,2.885176610161379e-07,2.034008502960205e-07,1.862645149230957e-08,2.037733793258667e-07,8,0.0,7001844224.0,7001844224.0
40,0.02,120,4800,lbm_subcycled_per_fsi_step,40,2.511986281206191e-07,1.7582206623956154e-07,4.199100800406086e-08,5.077140485809646e-06,2.850918202345282e-07,1.9744038581848145e-07,2.1606683731079104e-08,2.045184373855591e-07,8,0.0,1752310784.0,1752310784.0
41,0.0205,120,4920,lbm_subcycled_per_fsi_step,41,2.467202762090892e-07,1.6757985576987267e-07,4.105968542944538e-08,8.956703823059789e-06,2.7746911455515526e-07,1.862645149230957e-07,2.1606683731079104e-08,2.045184373855591e-07,8,0.0,562315328.0,562315328.0
