official_step,time_s,lbm_substeps_per_fsi_step,total_lbm_substeps,fsi_exchange_mode,step,rho_min,rho_max,rho_finite,velocity_finite,population_finite,lbm_max_v,mpm_min_J,mpm_max_speed,density_gate_pass_step,mpm_j_gate_pass_step,finite_gate_pass_step
36,0.018000000000000002,120,4320,lbm_subcycled_per_fsi_step,36,-471507664896.0,201567272960.0,True,True,True,21512.265625,0.9999962449073792,0.0005009375745430589,False,True,True
37,0.0185,120,4440,lbm_subcycled_per_fsi_step,37,-17597274112.0,14864194560.0,True,True,True,12468.736328125,0.9999961256980896,0.0004189056053292006,False,True,True
38,0.019,120,4560,lbm_subcycled_per_fsi_step,38,-24127117312.0,29717172224.0,True,True,True,14400.0634765625,0.9999936819076538,0.000384424754884094,False,True,True
39,0.0195,120,4680,lbm_subcycled_per_fsi_step,39,-6804304896.0,9894104064.0,True,True,True,45783.73828125,0.9999915361404419,0.00031697354279458523,False,True,True
40,0.02,120,4800,lbm_subcycled_per_fsi_step,40,-51068878848.0,49574252544.0,True,True,True,56169.171875,0.9999953508377075,0.0002685041690710932,False,True,True
41,0.0205,120,4920,lbm_subcycled_per_fsi_step,41,-41423720448.0,64134959104.0,True,True,True,107422.0234375,0.9999955892562866,0.00031771365320309997,False,True,True
42,0.021,120,5040,lbm_subcycled_per_fsi_step,42,-19624099840.0,12378160128.0,True,True,True,2420.4228515625,0.9999949932098389,0.0003661410300992429,False,True,True
43,0.021500000000000002,120,5160,lbm_subcycled_per_fsi_step,43,-160578420736.0,105043853312.0,True,True,True,24642.431640625,0.9999922513961792,0.0003223320818506181,False,True,True
44,0.022,120,5280,lbm_subcycled_per_fsi_step,44,-63239483392.0,52335779840.0,True,True,True,440.9576110839844,0.9999922513961792,0.00030145898927003145,False,True,True
45,0.0225,120,5400,lbm_subcycled_per_fsi_step,45,-24057110528.0,22261508096.0,True,True,True,15045.1875,0.9999929666519165,0.00038687390042468905,False,True,True
46,0.023,120,5520,lbm_subcycled_per_fsi_step,46,-89426796544.0,92650766336.0,True,True,True,4494.04736328125,0.999992847442627,0.0004240152193233371,False,True,True
47,0.0235,120,5640,lbm_subcycled_per_fsi_step,47,-28112564224.0,27524104192.0,True,True,True,10151.681640625,0.999994158744812,0.00033929749042727053,False,True,True
48,0.024,120,5760,lbm_subcycled_per_fsi_step,48,-22290780160.0,43723046912.0,True,True,True,17203.345703125,0.9999945163726807,0.0002752075088210404,False,True,True
49,0.0245,120,5880,lbm_subcycled_per_fsi_step,49,-17593886720.0,16691137536.0,True,True,True,11112.7216796875,0.9999937415122986,0.0003238333447370678,False,True,True
50,0.025,120,6000,lbm_subcycled_per_fsi_step,50,-84718845952.0,139562057728.0,True,True,True,43322.89453125,0.9999930262565613,0.0004170758475083858,False,True,True
