official_step,time_s,lbm_substeps_per_fsi_step,total_lbm_substeps,fsi_exchange_mode,step,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,mb_subcycle_force_sample_count,mb_subcycle_force_accum_norm_max,mb_subcycle_force_mean_norm_max,active_reaction_particle_count,max_grid_reaction_norm
10,0.005,120,1200,lbm_subcycled_per_fsi_step,10,-79603531776.0,60969537536.0,7270.24658203125,0.22217342257499695,-0.037102486938238144,0.22944678366184235,8.066376176429912e-05,0.9999962449073792,0.0005247837398201227,0.5214122533798218,224,0.0,35039100928.0,11466,1453.31591796875,120,9830877102080.0,35039100928.0,1024,4.210955012240447e-05
11,0.0055,120,1320,lbm_subcycled_per_fsi_step,11,-4556262400.0,2937089024.0,2175.195068359375,0.08712735027074814,0.5982507467269897,0.06635264307260513,8.680629980517551e-05,0.9999953508377075,0.00037850395892746747,0.5214123129844666,224,0.0,1168574208.0,11466,48.619285583496094,120,229527388160.0,1168574208.0,1024,4.210956103634089e-05
12,0.006,120,1440,lbm_subcycled_per_fsi_step,12,-2702958080.0,1968441728.0,5078.83544921875,-0.404963880777359,3.463963747024536,-0.5184634327888489,0.00011789835843956098,0.9999955296516418,0.0004321511078160256,0.5214123129844666,224,0.0,287550816.0,11466,35.78368377685547,120,76403015680.0,287550816.0,1024,4.2109568312298506e-05
13,0.006500000000000001,120,1560,lbm_subcycled_per_fsi_step,13,-1868754304.0,1054936576.0,1490.811767578125,-0.5144895315170288,-2.7794129848480225,-0.4225078523159027,0.00012728909496217966,0.999995231628418,0.0005126885371282697,0.5214123725891113,224,0.0,563442880.0,11466,14.135499954223633,120,168568274944.0,563442880.0,1024,4.210957922623493e-05
14,0.007,120,1680,lbm_subcycled_per_fsi_step,14,-22055638532096.0,62604558991360.0,355.52899169921875,-0.06560496985912323,0.06373915076255798,-0.07006549090147018,0.00012916607374791056,0.9999946355819702,0.0005654172855429351,0.5214124321937561,224,0.0,106577133568.0,11466,510.2340393066406,120,20813510082560.0,106577133568.0,1024,4.2109571950277314e-05
15,0.0075,120,1800,lbm_subcycled_per_fsi_step,15,-148476215296.0,190685577216.0,11544.201171875,-0.857949435710907,0.03789738565683365,-0.8849160075187683,0.00010985296103172004,0.9999933838844299,0.0006042023305781186,0.5214122533798218,224,0.0,63250743296.0,11466,3366.839599609375,120,13197961592832.0,63250743296.0,1024,4.2109568312298506e-05
16,0.008,120,1920,lbm_subcycled_per_fsi_step,16,-147862355968.0,99221921792.0,11646.9912109375,-0.1862262636423111,-0.048423487693071365,-0.18612822890281677,8.107555913738906e-05,0.9999933838844299,0.0005822103703394532,0.5214123129844666,224,0.0,1590594432.0,11466,383.6773376464844,120,532688240640.0,1590594432.0,1024,4.2109546484425664e-05
17,0.0085,120,2040,lbm_subcycled_per_fsi_step,17,-112279535616.0,47577989120.0,5784.1328125,-1.8635495901107788,-0.03335824981331825,-1.9004439115524292,5.128591874381527e-05,0.9999940395355225,0.0006730141467414796,0.5214124321937561,224,0.0,1279159808.0,11466,171.6998748779297,120,226955952128.0,1279159808.0,1024,4.210952829453163e-05
18,0.009000000000000001,120,2160,lbm_subcycled_per_fsi_step,18,-103395616620544.0,75224389255168.0,9830.24609375,-0.6884758472442627,-0.02735068090260029,-0.70708829164505,5.3774805564899e-05,0.9999914169311523,0.0007744937320239842,0.521412193775177,224,0.0,1002423386112.0,11466,132.35797119140625,120,205692862464000.0,1002423386112.0,1024,4.210951010463759e-05
19,0.0095,120,2280,lbm_subcycled_per_fsi_step,19,-223760023552.0,220475555840.0,8145.81494140625,1.3639329671859741,-0.05554139241576195,1.4337716102600098,7.448394899256527e-05,0.9999926090240479,0.0007243936415761709,0.5214123129844666,224,0.0,159561957376.0,11466,5822.27197265625,120,29237387984896.0,159561957376.0,1024,4.210948827676475e-05
20,0.01,120,2400,lbm_subcycled_per_fsi_step,20,-57120522240.0,105968517120.0,8104.095703125,-0.6900648474693298,-0.0023617648985236883,-0.6992063522338867,7.186684524640441e-05,0.9999924898147583,0.0007712177466601133,0.5214123129844666,224,0.0,5627664896.0,11466,380.5924072265625,120,1920461832192.0,5627664896.0,1024,4.21094628109131e-05
21,0.0105,120,2520,lbm_subcycled_per_fsi_step,21,-7928418402304.0,9198716846080.0,10559.77734375,0.6969553828239441,-0.04544858634471893,0.7178599238395691,3.994847065769136e-05,0.9999917149543762,0.0006857808912172914,0.5214126110076904,224,0.0,173603520512.0,11466,17250.978515625,120,48754342232064.0,173603520512.0,1024,4.210944825899787e-05
22,0.011,120,2640,lbm_subcycled_per_fsi_step,22,-181550874624.0,110168399872.0,5867.880859375,-2.395979166030884,-0.5819805264472961,-2.395245313644409,5.153841630090028e-05,0.9999915957450867,0.0007481169886887074,0.5214125514030457,224,0.0,39701553152.0,11466,999.5270385742188,120,12209614749696.0,39701553152.0,1024,4.210943006910384e-05
23,0.0115,120,2760,lbm_subcycled_per_fsi_step,23,-99329736704.0,207284879360.0,120431.7109375,2.816396713256836,0.10420404374599457,2.8459272384643555,1.7677693904261105e-05,0.9999930262565613,0.0007842929335311055,0.5214124321937561,224,0.0,3467755520.0,11466,656.3458862304688,120,1450186768384.0,3467755520.0,1024,4.2109408241230994e-05
24,0.012,120,2880,lbm_subcycled_per_fsi_step,24,-24583655424.0,34678358016.0,67939.2109375,14.224869728088379,0.18206298351287842,14.519925117492676,2.7137648430652916e-05,0.9999920129776001,0.0007864457438699901,0.5214124321937561,224,0.0,18123192320.0,11466,408.5538635253906,120,4076097503232.0,18123192320.0,1024,4.210937913740054e-05
25,0.0125,120,3000,lbm_subcycled_per_fsi_step,25,-10379353088.0,11439798272.0,119495.15625,31.500446319580078,-1.027960181236267,32.27047348022461,-1.2161721315351315e-05,0.9999906420707703,0.0008126042666845024,0.5214123725891113,224,0.0,2346848000.0,11466,158.04493713378906,120,604797140992.0,2346848000.0,1024,4.21093609475065e-05
26,0.013000000000000001,120,3120,lbm_subcycled_per_fsi_step,26,-29945149440.0,25000597504.0,55525.8359375,-6.7553582191467285,-0.03523101285099983,-6.924059867858887,-7.3789360612863675e-06,0.9999904632568359,0.0008081781561486423,0.5214123129844666,224,0.0,60267466752.0,11466,593.0468139648438,120,13762967896064.0,60267466752.0,1024,4.2109331843676046e-05
27,0.0135,120,3240,lbm_subcycled_per_fsi_step,27,-165304516608.0,394574102528.0,48630.2734375,4.026366710662842,-0.5156633257865906,4.163639545440674,-3.8239293644437566e-05,0.9999915361404419,0.0006712910835631192,0.5214123129844666,224,0.0,7699033088.0,11466,317.8528137207031,120,1407849201664.0,7699033088.0,1024,4.2109306377824396e-05
28,0.014,120,3360,lbm_subcycled_per_fsi_step,28,-98054316032.0,168452947968.0,31249.64453125,-9.91939640045166,-1.538331151008606,-10.039365768432617,2.0579351257765666e-05,0.999992847442627,0.0006486697820946574,0.5214123725891113,224,0.0,1389745408.0,11466,268.4852294921875,120,347718713344.0,1389745408.0,1024,4.210928454995155e-05
29,0.0145,120,3480,lbm_subcycled_per_fsi_step,29,-17674092544.0,14417512448.0,2379.373291015625,0.9123896956443787,-0.025459738448262215,0.9131965041160583,2.976170799229294e-05,0.9999923706054688,0.0005661242175847292,0.5214124321937561,224,0.0,9023105024.0,11466,448.069091796875,120,2823126515712.0,9023105024.0,1024,4.210926272207871e-05
30,0.015,120,3600,lbm_subcycled_per_fsi_step,30,-67318235136.0,114376859648.0,49471.40625,5.177384376525879,-0.5032936930656433,5.340984344482422,-1.1007769899151754e-05,0.9999924898147583,0.0004440481134224683,0.5214126110076904,224,0.0,3912057088.0,11466,166.71678161621094,120,1152659619840.0,3912057088.0,1024,4.2109244532184675e-05
31,0.0155,120,3720,lbm_subcycled_per_fsi_step,31,-648720089088.0,610415738880.0,1245.3104248046875,-0.021026065573096275,-0.050081223249435425,-0.018227694556117058,1.234108549397206e-05,0.9999939203262329,0.0004685189633164555,0.5214124321937561,224,0.0,336259743744.0,11466,6921.146484375,120,83863313317888.0,336259743744.0,1024,4.210924089420587e-05
32,0.016,120,3840,lbm_subcycled_per_fsi_step,32,-925607198720.0,1121072971776.0,2041.126708984375,-0.5544877648353577,-0.37452232837677,-0.547075092792511,4.849696779274382e-06,0.9999960660934448,0.0004177843511570245,0.5214123129844666,224,0.0,8412683264.0,11466,431.8390808105469,120,4491433213952.0,8412683264.0,1024,4.210924089420587e-05
33,0.0165,120,3960,lbm_subcycled_per_fsi_step,33,-29825945600.0,38562054144.0,100562.140625,8.297832489013672,-0.06868018954992294,8.493650436401367,2.628960646688938e-05,0.999995231628418,0.00045139947906136513,0.5214123725891113,224,0.0,9249012736.0,11466,112.65680694580078,120,2170436845568.0,9249012736.0,1024,4.2109233618248254e-05
34,0.017,120,4080,lbm_subcycled_per_fsi_step,34,-56267350016.0,51078266880.0,47621.82421875,1.5480241775512695,-1.1825627088546753,1.6888201236724854,2.4470895368722267e-05,0.9999923706054688,0.0004685468156822026,0.5214123129844666,224,0.0,9497975808.0,11466,81.26199340820312,120,2287194341376.0,9497975808.0,1024,4.2109244532184675e-05
35,0.0175,120,4200,lbm_subcycled_per_fsi_step,35,-118466396160.0,121900212224.0,2537.45556640625,-0.687443196773529,-0.06574537605047226,-0.7078350782394409,-9.631500688556116e-06,0.9999921917915344,0.0005736936582252383,0.521412193775177,224,0.0,27278661632.0,11466,1936.5333251953125,120,10373584388096.0,27278661632.0,1024,4.210926272207871e-05
36,0.018000000000000002,120,4320,lbm_subcycled_per_fsi_step,36,-471507664896.0,201567272960.0,21512.265625,3.105272054672241,-0.24153301119804382,3.1861183643341064,3.656469561974518e-05,0.9999962449073792,0.0005009375745430589,0.5214121341705322,224,0.0,3573909504.0,11466,126.11940002441406,120,1117862887424.0,3573909504.0,1024,4.2109280911972746e-05
37,0.0185,120,4440,lbm_subcycled_per_fsi_step,37,-17597274112.0,14864194560.0,12468.736328125,-0.5623865127563477,0.5131602883338928,-0.573528528213501,1.1379359420971014e-05,0.9999961256980896,0.0004189056053292006,0.521412193775177,224,0.0,4320237056.0,11466,328.9920959472656,120,1083152990208.0,4320237056.0,1024,4.210928818793036e-05
38,0.019,120,4560,lbm_subcycled_per_fsi_step,38,-24127117312.0,29717172224.0,14400.0634765625,-0.04272400587797165,-0.3620910048484802,-0.005233758129179478,4.919362982036546e-05,0.9999936819076538,0.000384424754884094,0.5214121341705322,224,0.0,5350812160.0,11466,128.30911254882812,120,1647437676544.0,5350812160.0,1024,4.2109295463887975e-05
39,0.0195,120,4680,lbm_subcycled_per_fsi_step,39,-6804304896.0,9894104064.0,45783.73828125,3.7212846279144287,-1.3929624557495117,3.8343453407287598,-1.648076249693986e-05,0.9999915361404419,0.00031697354279458523,0.5214122533798218,224,0.0,7001844224.0,11466,30.086116790771484,120,2081737277440.0,7001844224.0,1024,4.2109306377824396e-05
40,0.02,120,4800,lbm_subcycled_per_fsi_step,40,-51068878848.0,49574252544.0,56169.171875,4.486763000488281,-1.8296704292297363,4.616235256195068,-5.446718569146469e-05,0.9999953508377075,0.0002685041690710932,0.5214123725891113,224,0.0,1752310784.0,11466,91.4184341430664,120,438792060928.0,1752310784.0,1024,4.210931365378201e-05
41,0.0205,120,4920,lbm_subcycled_per_fsi_step,41,-41423720448.0,64134959104.0,107422.0234375,22.717575073242188,-0.029120061546564102,23.391799926757812,-8.263295603683218e-05,0.9999955892562866,0.00031771365320309997,0.5214123725891113,224,0.0,562315328.0,11466,32.613895416259766,120,130034032640.0,562315328.0,1024,4.210930273984559e-05
42,0.021,120,5040,lbm_subcycled_per_fsi_step,42,-19624099840.0,12378160128.0,2420.4228515625,0.9500811100006104,-0.017004944384098053,0.9543870091438293,-9.320096432929859e-05,0.9999949932098389,0.0003661410300992429,0.5214122533798218,224,0.0,491307872.0,11466,122.47174835205078,120,98340429824.0,491307872.0,1024,4.210929910186678e-05
43,0.021500000000000002,120,5160,lbm_subcycled_per_fsi_step,43,-160578420736.0,105043853312.0,24642.431640625,5.203449726104736,-0.0976654514670372,5.463082313537598,-9.233922173734754e-05,0.9999922513961792,0.0003223320818506181,0.5214123129844666,224,0.0,6377061888.0,11466,58.31491470336914,120,1683214827520.0,6377061888.0,1024,4.210928818793036e-05
44,0.022,120,5280,lbm_subcycled_per_fsi_step,44,-63239483392.0,52335779840.0,440.9576110839844,0.00022669174359180033,-0.055020060390233994,0.021629493683576584,-5.091157436254434e-05,0.9999922513961792,0.00030145898927003145,0.5214123725891113,224,0.0,17480296448.0,11466,336.6189270019531,120,4428141690880.0,17480296448.0,1024,4.210928818793036e-05
45,0.0225,120,5400,lbm_subcycled_per_fsi_step,45,-24057110528.0,22261508096.0,15045.1875,1.469630479812622,-0.25553739070892334,1.553137183189392,-1.9051532945013605e-05,0.9999929666519165,0.00038687390042468905,0.5214122533798218,224,0.0,608501312.0,11466,35.446380615234375,120,100663812096.0,608501312.0,1024,4.210928454995155e-05
46,0.023,120,5520,lbm_subcycled_per_fsi_step,46,-89426796544.0,92650766336.0,4494.04736328125,0.35819295048713684,-0.11915972828865051,0.3811996877193451,2.151360604329966e-05,0.999992847442627,0.0004240152193233371,0.5214124917984009,224,0.0,3897779968.0,11466,461.80877685546875,120,1048374083584.0,3897779968.0,1024,4.2109295463887975e-05
47,0.0235,120,5640,lbm_subcycled_per_fsi_step,47,-28112564224.0,27524104192.0,10151.681640625,0.44370168447494507,-0.19530844688415527,0.49275457859039307,2.938680336228572e-05,0.999994158744812,0.00033929749042727053,0.5214124321937561,224,0.0,8482273792.0,11466,339.0439147949219,120,1449697607680.0,8482273792.0,1024,4.2109320929739624e-05
48,0.024,120,5760,lbm_subcycled_per_fsi_step,48,-22290780160.0,43723046912.0,17203.345703125,-5.528970241546631,-88.38299560546875,-3.8113508224487305,2.6423196686664596e-05,0.9999945163726807,0.0002752075088210404,0.5214124321937561,224,0.0,23667357696.0,11466,66.96703338623047,120,5993352134656.0,23667357696.0,1024,4.210932456771843e-05
49,0.0245,120,5880,lbm_subcycled_per_fsi_step,49,-17593886720.0,16691137536.0,11112.7216796875,-2.0379750728607178,-0.39118731021881104,-2.0793612003326416,7.770525553496554e-05,0.9999937415122986,0.0003238333447370678,0.5214124321937561,224,0.0,4111624960.0,11466,111.14231872558594,120,783860563968.0,4111624960.0,1024,4.210931729176082e-05
50,0.025,120,6000,lbm_subcycled_per_fsi_step,50,-84718845952.0,139562057728.0,43322.89453125,8.430526733398438,27.556045532226562,8.02118968963623,0.00011329778499202803,0.9999930262565613,0.0004170758475083858,0.5214122533798218,224,0.0,624430464.0,11466,18.91253089904785,120,105631416320.0,624430464.0,1024,4.210932456771843e-05
