official_step,time_s,lbm_substeps_per_fsi_step,total_lbm_substeps,fsi_exchange_mode,step,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,mb_subcycle_force_sample_count,mb_subcycle_force_accum_norm_max,mb_subcycle_force_mean_norm_max,active_reaction_particle_count,max_grid_reaction_norm
0,0.0,120,0,lbm_subcycled_per_fsi_step,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
1,0.0005,120,120,lbm_subcycled_per_fsi_step,1,0.9998376369476318,1.06082284450531,0.03822769969701767,0.021466955542564392,0.0032319147139787674,0.0216755922883749,1.1222981811442878e-05,0.9999964237213135,9.527381916996092e-05,0.521412193775177,224,0.0,0.4156987965106964,11466,0.0,120,49.88385009765625,0.4156987965106964,1024,4.210937549942173e-05
2,0.001,120,240,lbm_subcycled_per_fsi_step,2,0.9999598264694214,1.0280115604400635,0.05704966187477112,0.025136586278676987,0.003880030009895563,0.02535749413073063,2.1716279661632143e-05,0.9999945163726807,0.00019891328702215105,0.5214123129844666,224,0.0,0.4150502383708954,11466,5.392889246280674e-09,120,49.806026458740234,0.4150502383708954,1024,4.2109382775379345e-05
3,0.0015,120,360,lbm_subcycled_per_fsi_step,3,0.9999873042106628,1.0227280855178833,0.038516104221343994,0.01712989993393421,0.0024583253543823957,0.017295217141509056,3.126299270661548e-05,0.9999959468841553,0.00030712521402165294,0.5214122533798218,224,0.0,0.4093819856643677,11466,1.0806322059409013e-08,120,49.12583541870117,0.4093819856643677,1024,4.210938641335815e-05
4,0.002,120,480,lbm_subcycled_per_fsi_step,4,0.9999816417694092,1.036751627922058,0.04147448390722275,0.019379429519176483,0.003216335317119956,0.019537227228283882,4.036045356770046e-05,0.9999971389770508,0.00038269252399913967,0.5214123725891113,224,0.0,0.41210511326789856,11466,1.694599660595486e-08,120,49.452606201171875,0.41210511326789856,1024,4.2109408241230994e-05
5,0.0025,120,600,lbm_subcycled_per_fsi_step,5,0.9999735951423645,1.0330063104629517,0.04766996204853058,0.021338753402233124,0.003574519418179989,0.02150708995759487,4.9133977881865576e-05,0.9999967217445374,0.0004503496747929603,0.521412193775177,224,0.0,0.4130341410636902,11466,2.198481219295445e-08,120,49.56409454345703,0.4130341410636902,1024,4.210942279314622e-05
6,0.003,120,720,lbm_subcycled_per_fsi_step,6,0.9999721646308899,1.0309861898422241,0.06269586086273193,0.019852565601468086,0.003183000721037388,0.0200200155377388,5.746235910919495e-05,0.9999953508377075,0.0005213196272961795,0.521412193775177,224,0.0,0.4117249846458435,11466,2.592416592506197e-08,120,49.4069938659668,0.4117249846458435,1024,4.210944098304026e-05
7,0.0035,120,840,lbm_subcycled_per_fsi_step,7,0.9999763369560242,1.0543866157531738,0.22376728057861328,0.018749041482806206,0.002966836327686906,0.018910270184278488,6.538173329317942e-05,0.999994695186615,0.0005848453147336841,0.5214121341705322,224,0.0,0.41171517968177795,11466,2.964493539536761e-08,120,49.405818939208984,0.41171517968177795,1024,4.210946644889191e-05
8,0.004,120,960,lbm_subcycled_per_fsi_step,8,0.877274215221405,1.0839130878448486,0.4984346926212311,0.005533202551305294,-0.00027321046218276024,0.005659454967826605,7.272495713550597e-05,0.9999949932098389,0.0006333294440992177,0.5214120745658875,224,0.0,0.40896862745285034,11466,3.2660125270922435e-08,120,49.07623291015625,0.40896862745285034,1024,4.210948827676475e-05
9,0.0045000000000000005,120,1080,lbm_subcycled_per_fsi_step,9,-976221632.0,837095488.0,3770.954345703125,-0.35349613428115845,-0.05626771226525307,-0.36348626017570496,8.520752453478053e-05,0.999995768070221,0.00066335778683424,0.5214123129844666,224,0.0,219453984.0,11466,27.850114822387695,120,54544158720.0,219453984.0,1024,4.2109521018574014e-05
