official_step,time_s,lbm_substeps_per_fsi_step,total_lbm_substeps,fsi_exchange_mode,step,fluid_force_x_n,fluid_force_y_n,fluid_force_magnitude_n,force_proxy_source,force_is_direct_fluent_wall_integral
28,0.014,120,3360,lbm_subcycled_per_fsi_step,28,0.0,1389745408.0,1389745408.0,max of driver diagnostics hydro/cell/reaction force norms,False
29,0.0145,120,3480,lbm_subcycled_per_fsi_step,29,0.0,9023105024.0,9023105024.0,max of driver diagnostics hydro/cell/reaction force norms,False
30,0.015,120,3600,lbm_subcycled_per_fsi_step,30,0.0,3912057088.0,3912057088.0,max of driver diagnostics hydro/cell/reaction force norms,False
31,0.0155,120,3720,lbm_subcycled_per_fsi_step,31,0.0,336259743744.0,336259743744.0,max of driver diagnostics hydro/cell/reaction force norms,False
32,0.016,120,3840,lbm_subcycled_per_fsi_step,32,0.0,8412683264.0,8412683264.0,max of driver diagnostics hydro/cell/reaction force norms,False
33,0.0165,120,3960,lbm_subcycled_per_fsi_step,33,0.0,9249012736.0,9249012736.0,max of driver diagnostics hydro/cell/reaction force norms,False
34,0.017,120,4080,lbm_subcycled_per_fsi_step,34,0.0,9497975808.0,9497975808.0,max of driver diagnostics hydro/cell/reaction force norms,False
35,0.0175,120,4200,lbm_subcycled_per_fsi_step,35,0.0,27278661632.0,27278661632.0,max of driver diagnostics hydro/cell/reaction force norms,False
36,0.018000000000000002,120,4320,lbm_subcycled_per_fsi_step,36,0.0,3573909504.0,3573909504.0,max of driver diagnostics hydro/cell/reaction force norms,False
37,0.0185,120,4440,lbm_subcycled_per_fsi_step,37,0.0,4320237056.0,4320237056.0,max of driver diagnostics hydro/cell/reaction force norms,False
38,0.019,120,4560,lbm_subcycled_per_fsi_step,38,0.0,5350812160.0,5350812160.0,max of driver diagnostics hydro/cell/reaction force norms,False
39,0.0195,120,4680,lbm_subcycled_per_fsi_step,39,0.0,7001844224.0,7001844224.0,max of driver diagnostics hydro/cell/reaction force norms,False
40,0.02,120,4800,lbm_subcycled_per_fsi_step,40,0.0,1752310784.0,1752310784.0,max of driver diagnostics hydro/cell/reaction force norms,False
41,0.0205,120,4920,lbm_subcycled_per_fsi_step,41,0.0,562315328.0,562315328.0,max of driver diagnostics hydro/cell/reaction force norms,False
42,0.021,120,5040,lbm_subcycled_per_fsi_step,42,0.0,491307872.0,491307872.0,max of driver diagnostics hydro/cell/reaction force norms,False
43,0.021500000000000002,120,5160,lbm_subcycled_per_fsi_step,43,0.0,6377061888.0,6377061888.0,max of driver diagnostics hydro/cell/reaction force norms,False
44,0.022,120,5280,lbm_subcycled_per_fsi_step,44,0.0,17480296448.0,17480296448.0,max of driver diagnostics hydro/cell/reaction force norms,False
45,0.0225,120,5400,lbm_subcycled_per_fsi_step,45,0.0,608501312.0,608501312.0,max of driver diagnostics hydro/cell/reaction force norms,False
46,0.023,120,5520,lbm_subcycled_per_fsi_step,46,0.0,3897779968.0,3897779968.0,max of driver diagnostics hydro/cell/reaction force norms,False
47,0.0235,120,5640,lbm_subcycled_per_fsi_step,47,0.0,8482273792.0,8482273792.0,max of driver diagnostics hydro/cell/reaction force norms,False
48,0.024,120,5760,lbm_subcycled_per_fsi_step,48,0.0,23667357696.0,23667357696.0,max of driver diagnostics hydro/cell/reaction force norms,False
49,0.0245,120,5880,lbm_subcycled_per_fsi_step,49,0.0,4111624960.0,4111624960.0,max of driver diagnostics hydro/cell/reaction force norms,False
50,0.025,120,6000,lbm_subcycled_per_fsi_step,50,0.0,624430464.0,624430464.0,max of driver diagnostics hydro/cell/reaction force norms,False
