case,mode_class,reaction_transfer_mode,geometry_type,quality_kind,strict,pass,severity,warnings_count,reasons_count,occupied_count,connected_component_count,largest_component_fraction,report_size_bytes,source_report_path
experimental_48_link_area,experimental,link_area_experimental,squid_proxy,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step38_cycle_driver/experimental_48_link_area/geometry_quality_report.json
experimental_48_moving_boundary,experimental,engineering,squid_proxy,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step38_cycle_driver/experimental_48_moving_boundary/geometry_quality_report.json
static_48_link_area,static,link_area_experimental,squid_proxy,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step38_cycle_driver/static_48_link_area/geometry_quality_report.json
static_48_moving_boundary,static,engineering,squid_proxy,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step38_cycle_driver/static_48_moving_boundary/geometry_quality_report.json
