actual_module,check,expected_module,pass,symbol,symbol_present_in_target_source
src.mpm_lbm.sim.squid_proxy.region_config,required_export,src.mpm_lbm.sim.squid_proxy.region_config,True,SquidProxyRegionConfig,True
src.mpm_lbm.sim.squid_proxy.region_config,required_export,src.mpm_lbm.sim.squid_proxy.region_config,True,SquidRegion,True
src.mpm_lbm.sim.squid_proxy.region_config,required_export,src.mpm_lbm.sim.squid_proxy.region_config,True,default_squid_proxy_region_config,True
src.mpm_lbm.sim.squid_proxy.regions,required_export,src.mpm_lbm.sim.squid_proxy.regions,True,sample_squid_proxy_regions,True
src.mpm_lbm.sim.squid_proxy.regions,required_export,src.mpm_lbm.sim.squid_proxy.regions,True,summarize_region_masks,True
src.mpm_lbm.diagnostics.fsi_diagnostics,forbidden_stale_export_target,,True,FSIDiagnostics3D,
src.mpm_lbm.sim.drivers.fsi_driver,forbidden_stale_export_target,,True,FSIDriver3D,
src.mpm_lbm.sim.drivers.fsi_config,forbidden_stale_export_target,,True,FSIDriverConfig,
src.mpm_lbm.sim.geometry.config,forbidden_stale_export_target,,True,GeometryConfig,
src.mpm_lbm.sim.geometry.quality,forbidden_stale_export_target,,True,GeometryQualityGate,
src.mpm_lbm.sim.geometry.sampler,forbidden_stale_export_target,,True,GeometrySampler3D,
src.units,forbidden_stale_export_target,,True,GridUnitMapper,
src.mpm_lbm.sim.geometry.importers,forbidden_stale_export_target,,True,ImportedGeometrySampler3D,
src.lbm_config,forbidden_stale_export_target,,True,LBMConfig,
src.lbm_fluid,forbidden_stale_export_target,,True,LBMFluid3D,
src.mpm_lbm.sim.coupling.link_area_accounting,forbidden_stale_export_target,,True,LinkAreaMomentumAccounting3D,
src.mpm_lbm.sim.coupling.link_area,forbidden_stale_export_target,,True,LinkAreaMovingBoundaryCoupler3D,
src.mpm_config,forbidden_stale_export_target,,True,MPMConfig,
src.mpm_solid,forbidden_stale_export_target,,True,MPMSolid3D,
src.projection,forbidden_stale_export_target,,True,MPMToLBMProjector3D,
src.mpm_lbm.sim.coupling.momentum_accounting,forbidden_stale_export_target,,True,MomentumAccounting3D,
src.moving_boundary_coupling,forbidden_stale_export_target,,True,MovingBoundaryFSICoupler3D,
src.coupling,forbidden_stale_export_target,,True,PenaltyFSICoupler3D,
src.mpm_lbm.sim.squid_proxy.region_config,forbidden_stale_export_target,,True,SquidProxyRegionConfig,
src.mpm_lbm.sim.squid_proxy.region_config,forbidden_stale_export_target,,True,SquidRegion,
src.mpm_lbm.sim.drivers.sim_config,forbidden_stale_export_target,,True,UnifiedSimConfig,
src.mpm_lbm.sim.geometry.voxel_io,forbidden_stale_export_target,,True,VoxelGeometry,
src.mpm_lbm.sim.geometry.quality,forbidden_stale_export_target,,True,analyze_geometry_config,
src.mpm_lbm.sim.geometry.mesh_quality,forbidden_stale_export_target,,True,analyze_mesh,
src.mpm_lbm.sim.geometry.voxel_quality,forbidden_stale_export_target,,True,analyze_voxel_occupancy,
src.calibration,forbidden_stale_export_target,,True,choose_recommended_row,
src.calibration,forbidden_stale_export_target,,True,classify_calibration_row,
src.mpm_lbm.sim.squid_proxy.region_config,forbidden_stale_export_target,,True,default_squid_proxy_region_config,
src.mpm_lbm.sim.geometry.mesh_io,forbidden_stale_export_target,,True,load_obj,
src.mpm_lbm.sim.geometry.voxel_io,forbidden_stale_export_target,,True,load_voxel_geometry,
src.mpm_lbm.sim.geometry.mesh_io,forbidden_stale_export_target,,True,mesh_bounds,
src.mpm_lbm.sim.geometry.mesh_io,forbidden_stale_export_target,,True,normalize_vertices,
src.mpm_lbm.sim.squid_proxy.regions,forbidden_stale_export_target,,True,sample_squid_proxy_regions,
src.mpm_lbm.sim.geometry.voxel_io,forbidden_stale_export_target,,True,save_voxel_geometry,
src.mpm_lbm.sim.squid_proxy.regions,forbidden_stale_export_target,,True,summarize_region_masks,
src.mpm_lbm.sim.geometry.voxel_io,forbidden_stale_export_target,,True,voxel_centers_to_points,
src.calibration,forbidden_stale_export_target,,True,write_calibration_summary,
src.mpm_lbm.sim.geometry.mesh_io,forbidden_stale_export_target,,True,write_obj,
