step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
5,1.9738331052726537,0.009405314917092051,1.9644277903555616,0.9952349999136362
10,4.308611787496796,0.09931650857637775,4.209295278920418,0.9769493021245068
15,6.3307130960754066,0.30994993729523557,6.020763158780171,0.9510402805195227
20,8.507678102257021,0.6149887270332675,7.892689375223753,0.9277136817306104
25,10.643354811629223,0.9998344687520435,9.64352034287718,0.9060602144297965
30,12.798019268740049,1.4516551014788082,11.34636416726124,0.8865718928065247
35,14.95962004988544,1.9593784547574484,13.000241595127992,0.8690221778211237
40,17.128029580064535,2.5141001325251557,14.613929447539379,0.8532172004506964
45,19.30480160643519,3.108382870187656,16.196418736247537,0.8389839515806531
50,21.48915954453686,3.735947803448385,17.753211741088474,0.8261473281118541
55,23.68133799663361,4.391696115628658,19.28964188100495,0.8145503384879286
60,25.881533555053068,5.071138551461923,20.810395003591147,0.8040634438962045
65,28.089509675764646,5.770752653613095,22.31875702215155,0.794558441203691
70,30.305475741002702,6.487909740379226,23.817566000623476,0.7859162550086216
75,32.52944069665778,7.235557369837673,25.293883326820108,0.7775689586147393
80,34.7614593936825,8.254459170416958,26.507000223265543,0.7625399130418238
85,37.00170527070468,10.761137010946676,26.240568259758007,0.709171862966365
90,39.2498070030565,15.675101331098734,23.57470567195777,0.6006323972528561
95,41.49935292389397,20.514097637895773,20.9852552859982,0.5056766866819163
100,43.74333801743439,24.762003338039733,18.981334679394656,0.43392515385610114
105,43.84658578414009,29.066975326448386,14.779610457691703,0.33707551439587097
110,43.62567569253968,33.1291729189592,10.496502773580481,0.24060378680565542
115,43.69827531937196,36.94805885781351,6.750216461558452,0.15447329241769872
120,43.62487519816604,40.601609143615164,3.0232660545508736,0.06930142586810127
125,43.6002033862031,44.108073557135505,0.5078701709324065,0.011514222453504698
130,43.558050533066634,47.489086355462604,3.9310358223959696,0.08277766796715363
135,43.51657556012921,50.7655272268611,7.248951666731891,0.14279279784365795
140,43.4730624494929,53.954690002244476,10.481627552751576,0.19426721851827056
145,43.427646233569824,57.07172472083454,13.644078487264714,0.23906897073821606
150,43.380852350386306,60.12908130193288,16.748228951546572,0.27853791524681404
155,43.33280161750595,63.136926095773916,19.804124478267966,0.3136694435872062
160,43.283528194839676,66.10050117764581,22.816972982806135,0.34518608144112667
165,43.22959443020636,69.00620719518182,25.776612764975454,0.37354049458285893
170,43.140727507810624,71.79300118418502,28.652273676374392,0.3990956389031147
175,42.95229309484003,74.26986299251216,31.31756989767213,0.42167264938713495
180,42.70778386765938,75.55344040302471,32.84565653536533,0.4347340949684984
185,42.56248361063507,74.2216431660872,31.659159555452135,0.42654889065993623
190,42.45002549162173,71.90957573271925,29.459550241097517,0.4096749277258392
195,42.296608639162514,70.30205078576694,28.005442146604423,0.39835882216218776
200,42.181654848167014,68.64554294138617,26.463888093219154,0.3855150233980328
205,42.0846369505647,67.07552810977249,24.99089115920779,0.37257837341673905
210,41.988424145495664,65.59227446771922,23.603850322223558,0.3598571708904534
215,41.90295343068158,64.1650570962374,22.262103665555827,0.346950578290084
220,41.82547698819211,62.79709402982249,20.97161704163038,0.333958399916896
225,41.75347809888306,61.48050636345967,19.72702826457661,0.3208663921528983
230,41.687338648747584,60.20448896904528,18.517150320297695,0.307570924317927
235,41.62554864434524,58.93326433842175,17.307715694076514,0.29368330243320134
240,41.56779614551153,57.52328853301991,15.955492387508379,0.2773744824819864
245,41.513434573583936,55.583152756601024,14.069718183017088,0.2531291854679146
250,41.462250918788655,52.59988538847416,11.137634469685509,0.21174256155558124
