check,artifact_path,summary_key,actual,expected,pass
step77_matrix_pass,outputs/step77_post_gate_3step_rebaseline_matrix/post_gate_3step_rebaseline_matrix.json,post_gate_3step_rebaseline_matrix_pass,True,True,True
step77_optional_row_count,outputs/step77_post_gate_3step_rebaseline_matrix/post_gate_3step_rebaseline_matrix.json,optional_row_count,0,0,True
step77_activation_feature_count,outputs/step77_post_gate_3step_rebaseline_matrix/post_gate_3step_rebaseline_matrix.json,activation_feature_count,0,0,True
step77_quality_pass,outputs/step77_post_gate_3step_rebaseline_quality/post_gate_3step_rebaseline_quality.json,post_gate_3step_rebaseline_quality_pass,True,True,True
step77_activation_guard_pass,outputs/step77_activation_guard/activation_guard.json,post_gate_3step_activation_guard_pass,True,True,True
step77_activation_guard_feature_count,outputs/step77_activation_guard/activation_guard.json,activation_feature_count,0,0,True
step77_output_guard_pass,outputs/step77_output_guard/output_guard.json,output_guard_pass,True,True,True
step77_vtr_count,outputs/step77_output_guard/output_guard.json,step77_vtr_count,0,0,True
step77_particle_npy_count,outputs/step77_output_guard/output_guard.json,step77_particle_npy_count,0,0,True
step77_protected_external_edit_count,outputs/step77_output_guard/output_guard.json,protected_external_edit_count,0,0,True
step77_protected_real_geometry_candidate_edit_count,outputs/step77_output_guard/output_guard.json,protected_real_geometry_candidate_edit_count,0,0,True
step77_step76_regression_guard_pass,outputs/step77_step76_regression_guard/step76_regression_guard.json,step77_step76_regression_guard_pass,True,True,True
step77_artifact_budget_pass,outputs/step77_artifact_manifest/artifact_summary.json,artifact_budget_pass,True,True,True
