step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.999980092048645,1.0019539594650269,0.0011152910301461816,0.027748383581638336,0.3338790237903595,0.027748383581638336,0.3338790237903595,0,0.0,3859584,101568,101575.078125,6.968853379017013e-05,0,0,True
10,lightweight_reduction,0.9997702836990356,1.004794716835022,0.002510356716811657,0.027685755863785744,0.3348464071750641,0.027685755863785744,0.3348464071750641,0,0.0,3859584,101568,101596.0546875,0.00027621581108223063,0,0,True
15,lightweight_reduction,0.9992759823799133,1.0070195198059082,0.003710749326273799,0.027620771899819374,0.3355870246887207,0.027620771899819374,0.3355870246887207,0,0.0,3859584,101568,101628.5,0.0005956600504095778,0,0,True
20,lightweight_reduction,0.9985824227333069,1.0094428062438965,0.004995422903448343,0.02755139395594597,0.3363851308822632,0.02755139395594597,0.3363851308822632,0,0.0,3859584,101568,101672.5625,0.0010294827110901071,0,0,True
25,lightweight_reduction,0.9977471232414246,1.0118571519851685,0.006279665045440197,0.027478592470288277,0.3371882140636444,0.027478592470288277,0.3371882140636444,0,0.0,3859584,101568,101733.8125,0.0016325269770006302,0,0,True
30,lightweight_reduction,0.9968140125274658,1.0142618417739868,0.0076790787279605865,0.02740473672747612,0.33798298239707947,0.02740473672747612,0.33798298239707947,0,0.0,3859584,101568,101801.7109375,0.0023010292365705735,0,0,True
35,lightweight_reduction,0.9958134889602661,1.0166847705841064,0.009086753241717815,0.027329685166478157,0.3387838900089264,0.027329685166478157,0.3387838900089264,0,0.0,3859584,101568,101871.046875,0.0029836845758506618,0,0,True
40,lightweight_reduction,0.9947657585144043,1.0191066265106201,0.010494534857571125,0.027254225686192513,0.3395828902721405,0.027254225686192513,0.3395828902721405,0,0.0,3859584,101568,101913.5078125,0.0034017388596802142,0,0,True
45,lightweight_reduction,0.9936842322349548,1.0215330123901367,0.011901630088686943,0.02717861533164978,0.34038224816322327,0.02717861533164978,0.34038224816322327,0,0.0,3859584,101568,101975.6484375,0.0040135518814981095,0,0,True
50,lightweight_reduction,0.9925777912139893,1.0239628553390503,0.013308391906321049,0.027103174477815628,0.3411816358566284,0.027103174477815628,0.3411816358566284,0,0.0,3859584,101568,102049.9453125,0.004745050729560492,0,0,True
55,lightweight_reduction,0.9914522767066956,1.0263968706130981,0.014713944867253304,0.02702808752655983,0.3419812321662903,0.02702808752655983,0.3419812321662903,0,0.0,3859584,101568,102120.1796875,0.00543655174365942,0,0,True
60,lightweight_reduction,0.9903116226196289,1.0288344621658325,0.016119075939059258,0.02695354074239731,0.342780739068985,0.02695354074239731,0.342780739068985,0,0.0,3859584,101568,102227.71875,0.006495340560018903,0,0,True
65,lightweight_reduction,0.9891585111618042,1.0312761068344116,0.017523860558867455,0.026879630982875824,0.34358033537864685,0.026879630982875824,0.34358033537864685,0,0.0,3859584,101568,102354.1484375,0.007740119304308443,0,0,True
70,lightweight_reduction,0.987994909286499,1.0337218046188354,0.01892889477312565,0.02680649608373642,0.34438008069992065,0.02680649608373642,0.34438008069992065,0,0.0,3859584,101568,102464.203125,0.00882367601016068,0,0,True
75,lightweight_reduction,0.9868232607841492,1.0361720323562622,0.020334787666797638,0.026734178885817528,0.3451800048351288,0.026734178885817528,0.3451800048351288,0,0.0,3859584,101568,102537.4140625,0.009544483129528986,0,0,True
80,lightweight_reduction,0.98566734790802,1.038622260093689,0.021742939949035645,0.026651034131646156,0.3459790349006653,0.026651034131646156,0.3459790349006653,0,0.0,3859584,101568,102645.859375,0.010612194539618777,0,0,True
85,lightweight_reduction,0.9846535921096802,1.0410560369491577,0.023160109296441078,0.026488233357667923,0.34677228331565857,0.026488233357667923,0.34677228331565857,0,0.0,3859584,101568,102764.546875,0.011780746642643352,0,0,True
90,lightweight_reduction,0.9838355779647827,1.0413506031036377,0.024465037509799004,0.026208771392703056,0.3469790518283844,0.026208771392703056,0.3469790518283844,0,0.0,3859584,101568,102878.375,0.012901455182734719,0,0,True
95,lightweight_reduction,0.9835378527641296,1.040450930595398,0.024790290743112564,0.026015006005764008,0.3466731011867523,0.026015006005764008,0.3466731011867523,0,0.0,3859584,101568,102958.328125,0.013688643322700063,0,0,True
100,lightweight_reduction,0.9842036962509155,1.0396422147750854,0.025165440514683723,0.0258856900036335,0.3464207649230957,0.0258856900036335,0.3464207649230957,0,0.0,3859584,101568,103008.5078125,0.014182693491060177,0,0,True
105,lightweight_reduction,0.9854950308799744,1.038209080696106,0.025503823533654213,0.025783127173781395,0.34595799446105957,0.025783127173781395,0.34595799446105957,0,0.0,3859584,101568,103026.8984375,0.01436376060865627,0,0,True
110,lightweight_reduction,0.9872065186500549,1.0365736484527588,0.025948166847229004,0.025700869038701057,0.34541624784469604,0.025700869038701057,0.34541624784469604,0,0.0,3859584,101568,103036.9140625,0.014462370653158476,0,0,True
115,lightweight_reduction,0.9892405867576599,1.034764051437378,0.027080638334155083,0.02561947889626026,0.34481891989707947,0.02561947889626026,0.34481891989707947,0,0.0,3859584,101568,103068.1953125,0.014770353974677063,0,0,True
