step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9999998807907104,1.0495233535766602,1.0123634561896324,129.58252239227295,1.5825223922729492,0.012363456189632416,0.023527135024778545,-2.2351743567128324e-08,0.00010870609003177378,0.3942313736179406,-3.576278757577694e-07,0.39423173124581634,1.0000009071522453,0.026617894111101523,0.04610354499091626
