actual,artifact_path,check,expected,pass,summary_key
True,outputs/step84_runtime_geometry_wall_velocity_combined_smoke_matrix/runtime_geometry_wall_velocity_combined_smoke_matrix.json,step84_smoke_matrix_pass,True,True,step84_runtime_geometry_wall_velocity_combined_smoke_matrix_pass
True,outputs/step84_runtime_geometry_wall_velocity_combined_quality/runtime_geometry_wall_velocity_combined_quality.json,step84_quality_pass,True,True,step84_runtime_geometry_wall_velocity_combined_quality_pass
True,outputs/step84_activation_guard/activation_guard.json,step84_activation_guard_pass,True,True,step84_activation_guard_pass
True,outputs/step84_output_guard/output_guard.json,step84_output_guard_pass,True,True,output_guard_pass
True,outputs/step84_artifact_manifest/artifact_summary.json,step84_artifact_budget_pass,True,True,artifact_budget_pass
