canonical_module,class_import_pass,class_name,default_values_repr,error,from_json_available,init_signature,is_dataclass,pass,public_fields_or_constructor_params,schema_hash,to_json_or_to_dict_available
src.mpm_lbm.sim.drivers.fsi_config,True,FSIDriverConfig,"{""beta_lbm"": ""0.001"", ""boundary_motion_config_path"": ""None"", ""boundary_motion_mode"": ""'static'"", ""boundary_motion_report_enabled"": ""False"", ""box_max"": ""(0.55, 0.65, 0.55)"", ""box_min"": ""(0.25, 0.35, 0.25)"", ""coupling_mode"": ""'penalty'"", ""dynamic_solid_threshold"": ""0.5"", ""geometry_config_path"": ""None"", ""geometry_motion_application_config_path"": ""None"", ""geometry_motion_application_mode"": ""'disabled'"", ""geometry_motion_application_report_enabled"": ""False"", ""geometry_motion_config_path"": ""None"", ""geometry_motion_mode"": ""'static'"", ""geometry_motion_report_enabled"": ""False"", ""geometry_type"": ""'box'"", ""gravity"": ""(0.0, 0.0, 0.0)"", ""link_area_policy"": ""'inverse_length'"", ""link_area_scale_max"": ""2.0"", ""link_area_scale_min"": ""0.25"", ""mb_force_cap_norm"": ""0.0001"", ""mb_reaction_scale"": ""1.0"", ""mpm_dt"": ""0.0004"", ""mpm_substeps_per_lbm_step"": ""10"", ""n_grid"": ""32"", ""n_lbm_steps"": ""20"", ""n_particles"": ""4096"", ""output_interval"": ""10"", ""penalty_force_cap_lbm"": ""0.0001"", ""quality_check_enabled"": ""False"", ""quality_check_strict"": ""False"", ""quality_report_path"": ""None"", ""reaction_transfer_mode"": ""'engineering'"", ""target_u_lbm"": ""(0.02, 0.0, 0.0)"", ""wall_velocity_application_config_path"": ""None"", ""wall_velocity_application_mode"": ""'disabled'"", ""wall_velocity_application_report_enabled"": ""False"", ""write_particles"": ""True"", ""write_vtk"": ""True""}",,True,"(coupling_mode: str = 'penalty', geometry_type: str = 'box', geometry_config_path: Optional[str] = None, n_grid: int = 32, n_particles: int = 4096, n_lbm_steps: int = 20, mpm_substeps_per_lbm_step: int = 10, mpm_dt: float = 0.0004, target_u_lbm: Tuple[float, float, float] = (0.02, 0.0, 0.0), gravity: Tuple[float, float, float] = (0.0, 0.0, 0.0), box_min: Tuple[float, float, float] = (0.25, 0.35, 0.25), box_max: Tuple[float, float, float] = (0.55, 0.65, 0.55), dynamic_solid_threshold: float = 0.5, beta_lbm: float = 0.001, penalty_force_cap_lbm: float = 0.0001, mb_reaction_scale: float = 1.0, mb_force_cap_norm: float = 0.0001, reaction_transfer_mode: str = 'engineering', link_area_policy: str = 'inverse_length', link_area_scale_min: float = 0.25, link_area_scale_max: float = 2.0, boundary_motion_mode: str = 'static', boundary_motion_config_path: Optional[str] = None, boundary_motion_report_enabled: bool = False, wall_velocity_application_mode: str = 'disabled', wall_velocity_application_config_path: Optional[str] = None, wall_velocity_application_report_enabled: bool = False, geometry_motion_mode: str = 'static', geometry_motion_config_path: Optional[str] = None, geometry_motion_report_enabled: bool = False, geometry_motion_application_mode: str = 'disabled', geometry_motion_application_config_path: Optional[str] = None, geometry_motion_application_report_enabled: bool = False, output_interval: int = 10, write_vtk: bool = True, write_particles: bool = True, quality_check_enabled: bool = False, quality_check_strict: bool = False, quality_report_path: Optional[str] = None) -> None",True,True,"[""coupling_mode"", ""geometry_type"", ""geometry_config_path"", ""n_grid"", ""n_particles"", ""n_lbm_steps"", ""mpm_substeps_per_lbm_step"", ""mpm_dt"", ""target_u_lbm"", ""gravity"", ""box_min"", ""box_max"", ""dynamic_solid_threshold"", ""beta_lbm"", ""penalty_force_cap_lbm"", ""mb_reaction_scale"", ""mb_force_cap_norm"", ""reaction_transfer_mode"", ""link_area_policy"", ""link_area_scale_min"", ""link_area_scale_max"", ""boundary_motion_mode"", ""boundary_motion_config_path"", ""boundary_motion_report_enabled"", ""wall_velocity_application_mode"", ""wall_velocity_application_config_path"", ""wall_velocity_application_report_enabled"", ""geometry_motion_mode"", ""geometry_motion_config_path"", ""geometry_motion_report_enabled"", ""geometry_motion_application_mode"", ""geometry_motion_application_config_path"", ""geometry_motion_application_report_enabled"", ""output_interval"", ""write_vtk"", ""write_particles"", ""quality_check_enabled"", ""quality_check_strict"", ""quality_report_path""]",9a69aa348721586ab93643176305438137db19c559fcb679a1a209577f97cd87,True
src.mpm_lbm.sim.drivers.sim_config,True,UnifiedSimConfig,"{""domain_length"": ""1.0"", ""lbm_niu"": ""0.1"", ""lbm_rho0"": ""1.0"", ""mpm_dt"": ""0.0004"", ""mpm_substeps_per_lbm_step"": ""10"", ""n_grid"": ""32""}",,False,"(n_grid: int = 32, domain_length: float = 1.0, mpm_dt: float = 0.0004, mpm_substeps_per_lbm_step: int = 10, lbm_niu: float = 0.1, lbm_rho0: float = 1.0) -> None",True,True,"[""n_grid"", ""domain_length"", ""mpm_dt"", ""mpm_substeps_per_lbm_step"", ""lbm_niu"", ""lbm_rho0""]",741f3622b9003a832075e05cdfcf806f10f67fa6e93486d0b2efbb8c4746d6c7,False
src.mpm_lbm.sim.lbm.config,True,LBMConfig,"{""bc_x_left"": ""0"", ""bc_x_right"": ""0"", ""bc_y_left"": ""0"", ""bc_y_right"": ""0"", ""bc_z_left"": ""0"", ""bc_z_right"": ""0"", ""force"": ""(0.0, 0.0, 0.0)"", ""niu"": ""0.1"", ""nx"": ""<required>"", ""ny"": ""<required>"", ""nz"": ""<required>"", ""rho0"": ""1.0"", ""rho_bc_x_left"": ""1.0"", ""rho_bc_x_right"": ""1.0"", ""rho_bc_y_left"": ""1.0"", ""rho_bc_y_right"": ""1.0"", ""rho_bc_z_left"": ""1.0"", ""rho_bc_z_right"": ""1.0"", ""sparse_storage"": ""False"", ""vel_bc_x_left"": ""(0.0, 0.0, 0.0)"", ""vel_bc_x_right"": ""(0.0, 0.0, 0.0)"", ""vel_bc_y_left"": ""(0.0, 0.0, 0.0)"", ""vel_bc_y_right"": ""(0.0, 0.0, 0.0)"", ""vel_bc_z_left"": ""(0.0, 0.0, 0.0)"", ""vel_bc_z_right"": ""(0.0, 0.0, 0.0)""}",,False,"(nx: int, ny: int, nz: int, niu: float = 0.1, rho0: float = 1.0, sparse_storage: bool = False, force: Tuple[float, float, float] = (0.0, 0.0, 0.0), bc_x_left: int = 0, bc_x_right: int = 0, bc_y_left: int = 0, bc_y_right: int = 0, bc_z_left: int = 0, bc_z_right: int = 0, rho_bc_x_left: float = 1.0, rho_bc_x_right: float = 1.0, rho_bc_y_left: float = 1.0, rho_bc_y_right: float = 1.0, rho_bc_z_left: float = 1.0, rho_bc_z_right: float = 1.0, vel_bc_x_left: Tuple[float, float, float] = (0.0, 0.0, 0.0), vel_bc_x_right: Tuple[float, float, float] = (0.0, 0.0, 0.0), vel_bc_y_left: Tuple[float, float, float] = (0.0, 0.0, 0.0), vel_bc_y_right: Tuple[float, float, float] = (0.0, 0.0, 0.0), vel_bc_z_left: Tuple[float, float, float] = (0.0, 0.0, 0.0), vel_bc_z_right: Tuple[float, float, float] = (0.0, 0.0, 0.0)) -> None",True,True,"[""nx"", ""ny"", ""nz"", ""niu"", ""rho0"", ""sparse_storage"", ""force"", ""bc_x_left"", ""bc_x_right"", ""bc_y_left"", ""bc_y_right"", ""bc_z_left"", ""bc_z_right"", ""rho_bc_x_left"", ""rho_bc_x_right"", ""rho_bc_y_left"", ""rho_bc_y_right"", ""rho_bc_z_left"", ""rho_bc_z_right"", ""vel_bc_x_left"", ""vel_bc_x_right"", ""vel_bc_y_left"", ""vel_bc_y_right"", ""vel_bc_z_left"", ""vel_bc_z_right""]",9d489a94e4b50a5bf05d61de6017c0735d93abaa0ae1bc842f6b4817b85dcc6e,False
src.mpm_lbm.sim.mpm.config,True,MPMConfig,"{""bound"": ""3"", ""box_max"": ""(0.55, 0.65, 0.55)"", ""box_min"": ""(0.25, 0.35, 0.25)"", ""dt"": ""0.0004"", ""dx"": ""0.03125"", ""gravity"": ""(0.0, -9.8, 0.0)"", ""n_grid"": ""32"", ""output_interval"": ""10"", ""p_rho"": ""1.0"", ""particles_per_cell"": ""2"", ""poisson_ratio"": ""0.2"", ""use_apic"": ""True"", ""young_modulus"": ""400.0""}",,False,"(n_grid: int = 32, dx: float = 0.03125, dt: float = 0.0004, gravity: Tuple[float, float, float] = (0.0, -9.8, 0.0), p_rho: float = 1.0, particles_per_cell: int = 2, young_modulus: float = 400.0, poisson_ratio: float = 0.2, bound: int = 3, use_apic: bool = True, box_min: Tuple[float, float, float] = (0.25, 0.35, 0.25), box_max: Tuple[float, float, float] = (0.55, 0.65, 0.55), output_interval: int = 10) -> None",True,True,"[""n_grid"", ""dx"", ""dt"", ""gravity"", ""p_rho"", ""particles_per_cell"", ""young_modulus"", ""poisson_ratio"", ""bound"", ""use_apic"", ""box_min"", ""box_max"", ""output_interval""]",40d092510e3accdbe571c2ccc7a6f03bc6b422ecf2aab3147d116dc38ee32246,False
src.mpm_lbm.sim.geometry.config,True,GeometryConfig,"{""arm_length"": ""0.22"", ""arm_radius"": ""0.018"", ""box_max"": ""(0.55, 0.65, 0.55)"", ""box_min"": ""(0.25, 0.35, 0.25)"", ""center"": ""(0.5, 0.5, 0.5)"", ""deterministic"": ""True"", ""domain_max"": ""(1.0, 1.0, 1.0)"", ""domain_min"": ""(0.0, 0.0, 0.0)"", ""ellipsoid_radii"": ""(0.15, 0.2, 0.12)"", ""fin_radius"": ""0.07"", ""geometry_file"": ""None"", ""geometry_type"": ""'box'"", ""head_center"": ""(0.5, 0.36, 0.5)"", ""head_radii"": ""(0.11, 0.1, 0.09)"", ""mantle_center"": ""(0.5, 0.58, 0.5)"", ""mantle_radii"": ""(0.16, 0.24, 0.12)"", ""mesh_inside_method"": ""'ray_cast'"", ""mesh_voxel_resolution"": ""32"", ""metadata_file"": ""None"", ""n_particles"": ""4096"", ""normalize_to_domain"": ""True"", ""p_rho"": ""1.0"", ""padding"": ""0.05"", ""particles_per_axis_hint"": ""32"", ""preserve_aspect_ratio"": ""True"", ""quality_check_enabled"": ""False"", ""quality_check_strict"": ""False"", ""quality_report_path"": ""None"", ""scale"": ""(0.3, 0.3, 0.3)"", ""voxel_spacing"": ""(1.0, 1.0, 1.0)"", ""voxel_threshold"": ""0.5""}",,True,"(geometry_type: str = 'box', n_particles: int = 4096, domain_min: Tuple[float, float, float] = (0.0, 0.0, 0.0), domain_max: Tuple[float, float, float] = (1.0, 1.0, 1.0), center: Tuple[float, float, float] = (0.5, 0.5, 0.5), scale: Tuple[float, float, float] = (0.3, 0.3, 0.3), box_min: Tuple[float, float, float] = (0.25, 0.35, 0.25), box_max: Tuple[float, float, float] = (0.55, 0.65, 0.55), ellipsoid_radii: Tuple[float, float, float] = (0.15, 0.2, 0.12), mantle_center: Tuple[float, float, float] = (0.5, 0.58, 0.5), mantle_radii: Tuple[float, float, float] = (0.16, 0.24, 0.12), head_center: Tuple[float, float, float] = (0.5, 0.36, 0.5), head_radii: Tuple[float, float, float] = (0.11, 0.1, 0.09), arm_length: float = 0.22, arm_radius: float = 0.018, fin_radius: float = 0.07, geometry_file: Optional[str] = None, metadata_file: Optional[str] = None, normalize_to_domain: bool = True, preserve_aspect_ratio: bool = True, padding: float = 0.05, voxel_threshold: float = 0.5, voxel_spacing: Tuple[float, float, float] = (1.0, 1.0, 1.0), mesh_inside_method: str = 'ray_cast', mesh_voxel_resolution: int = 32, p_rho: float = 1.0, particles_per_axis_hint: int = 32, deterministic: bool = True, quality_check_enabled: bool = False, quality_check_strict: bool = False, quality_report_path: Optional[str] = None) -> None",True,True,"[""geometry_type"", ""n_particles"", ""domain_min"", ""domain_max"", ""center"", ""scale"", ""box_min"", ""box_max"", ""ellipsoid_radii"", ""mantle_center"", ""mantle_radii"", ""head_center"", ""head_radii"", ""arm_length"", ""arm_radius"", ""fin_radius"", ""geometry_file"", ""metadata_file"", ""normalize_to_domain"", ""preserve_aspect_ratio"", ""padding"", ""voxel_threshold"", ""voxel_spacing"", ""mesh_inside_method"", ""mesh_voxel_resolution"", ""p_rho"", ""particles_per_axis_hint"", ""deterministic"", ""quality_check_enabled"", ""quality_check_strict"", ""quality_report_path""]",e7cfc782d3ec8aa8fe1153a2bf0bded0d23736c3e58f76ce7eed9329e0b19640,True
src.mpm_lbm.sim.motion.boundary_motion_config,True,BoundaryMotionInterfaceConfig,"{""actuation_enabled"": ""False"", ""coupling_integration_enabled"": ""False"", ""deterministic"": ""True"", ""diagnostic_only"": ""True"", ""driver_integration_enabled"": ""False"", ""expected_motion_row_count"": ""243"", ""expected_schedule_row_count"": ""81"", ""expected_tracked_region_count"": ""3"", ""interface_id"": ""<required>"", ""jet_model_enabled"": ""False"", ""lbm_population_update_enabled"": ""False"", ""lbm_wall_velocity_enabled"": ""False"", ""motion_mapping_config_path"": ""<required>"", ""motion_mapping_output_path"": ""'outputs/step33_motion_mapping/motion_mapping.json'"", ""moving_bounceback_update_enabled"": ""False"", ""mpm_grid_velocity_enabled"": ""False"", ""projector_integration_enabled"": ""False"", ""schedule_config_path"": ""<required>"", ""schedule_output_path"": ""'outputs/step32_kinematics_schedule/kinematics_schedule.json'"", ""scope_note"": ""'Step 34 diagnostic-only boundary-motion interface; no-op driver report'""}",,True,"(interface_id: str, schedule_config_path: str, motion_mapping_config_path: str, schedule_output_path: Optional[str] = 'outputs/step32_kinematics_schedule/kinematics_schedule.json', motion_mapping_output_path: Optional[str] = 'outputs/step33_motion_mapping/motion_mapping.json', expected_schedule_row_count: int = 81, expected_motion_row_count: int = 243, expected_tracked_region_count: int = 3, diagnostic_only: bool = True, driver_integration_enabled: bool = False, lbm_wall_velocity_enabled: bool = False, lbm_population_update_enabled: bool = False, mpm_grid_velocity_enabled: bool = False, projector_integration_enabled: bool = False, coupling_integration_enabled: bool = False, moving_bounceback_update_enabled: bool = False, jet_model_enabled: bool = False, actuation_enabled: bool = False, deterministic: bool = True, scope_note: str = 'Step 34 diagnostic-only boundary-motion interface; no-op driver report') -> None",True,True,"[""interface_id"", ""schedule_config_path"", ""motion_mapping_config_path"", ""schedule_output_path"", ""motion_mapping_output_path"", ""expected_schedule_row_count"", ""expected_motion_row_count"", ""expected_tracked_region_count"", ""diagnostic_only"", ""driver_integration_enabled"", ""lbm_wall_velocity_enabled"", ""lbm_population_update_enabled"", ""mpm_grid_velocity_enabled"", ""projector_integration_enabled"", ""coupling_integration_enabled"", ""moving_bounceback_update_enabled"", ""jet_model_enabled"", ""actuation_enabled"", ""deterministic"", ""scope_note""]",fb13e950f6fe9bedbae8cec760f0b98c76c14ba9cbb26581762d2db01baf5a2b,True
src.mpm_lbm.sim.motion.geometry_motion_config,True,GeometryMotionInterfaceConfig,"{""application_mode"": ""'diagnostic_only'"", ""apply_to_driver"": ""False"", ""apply_to_lbm_solid_phi"": ""False"", ""apply_to_lbm_solid_vel"": ""False"", ""apply_to_mpm_particles"": ""False"", ""apply_to_projection"": ""False"", ""deterministic"": ""True"", ""diagnostic_only"": ""True"", ""displacement_artifact_path"": ""<required>"", ""displacement_config_path"": ""<required>"", ""geometry_config_path"": ""<required>"", ""geometry_motion_id"": ""<required>"", ""geometry_motion_mode"": ""<required>"", ""motion_mapping_config_path"": ""<required>"", ""mutate_geometry_state"": ""False"", ""recompute_boundary_links"": ""False"", ""region_config_path"": ""<required>"", ""schedule_config_path"": ""<required>"", ""scope_note"": ""'Step 43 geometry motion driver interface only; no geometry mutation'"", ""update_dynamic_solid"": ""False""}",,True,"(geometry_motion_id: str, geometry_motion_mode: str, displacement_config_path: str, displacement_artifact_path: str, schedule_config_path: str, motion_mapping_config_path: str, region_config_path: str, geometry_config_path: str, application_mode: str = 'diagnostic_only', apply_to_driver: bool = False, apply_to_mpm_particles: bool = False, apply_to_lbm_solid_phi: bool = False, apply_to_lbm_solid_vel: bool = False, apply_to_projection: bool = False, update_dynamic_solid: bool = False, recompute_boundary_links: bool = False, mutate_geometry_state: bool = False, diagnostic_only: bool = True, deterministic: bool = True, scope_note: str = 'Step 43 geometry motion driver interface only; no geometry mutation') -> None",True,True,"[""geometry_motion_id"", ""geometry_motion_mode"", ""displacement_config_path"", ""displacement_artifact_path"", ""schedule_config_path"", ""motion_mapping_config_path"", ""region_config_path"", ""geometry_config_path"", ""application_mode"", ""apply_to_driver"", ""apply_to_mpm_particles"", ""apply_to_lbm_solid_phi"", ""apply_to_lbm_solid_vel"", ""apply_to_projection"", ""update_dynamic_solid"", ""recompute_boundary_links"", ""mutate_geometry_state"", ""diagnostic_only"", ""deterministic"", ""scope_note""]",6cfae589410992131d73a8c616f48ffb783c5f389d72f9fc5e6d5ff22fe59b24,True
src.mpm_lbm.sim.wall_velocity.application_config,True,WallVelocityApplicationConfig,"{""actuation_claim_enabled"": ""False"", ""application_id"": ""<required>"", ""application_mode"": ""'solid_vel_experimental'"", ""application_policy"": ""'additive_capped'"", ""apply_to_lbm_populations"": ""False"", ""apply_to_lbm_solid_vel"": ""True"", ""apply_to_mpm"": ""False"", ""apply_to_projector"": ""False"", ""boundary_motion_config_path"": ""<required>"", ""diagnostic_report_enabled"": ""True"", ""geometry_config_path"": ""<required>"", ""jet_model_enabled"": ""False"", ""modify_bounceback_formula"": ""False"", ""region_config_path"": ""<required>"", ""scope_note"": ""'Step 36 opt-in experimental solid_vel application smoke only'"", ""target_lbm_field"": ""'solid_vel'"", ""wall_velocity_cap_lbm"": ""0.01"", ""wall_velocity_config_path"": ""<required>"", ""wall_velocity_scale"": ""0.05""}",,True,"(application_id: str, wall_velocity_config_path: str, boundary_motion_config_path: str, geometry_config_path: str, region_config_path: str, application_mode: str = 'solid_vel_experimental', target_lbm_field: str = 'solid_vel', application_policy: str = 'additive_capped', wall_velocity_scale: float = 0.05, wall_velocity_cap_lbm: float = 0.01, apply_to_lbm_solid_vel: bool = True, apply_to_lbm_populations: bool = False, apply_to_mpm: bool = False, apply_to_projector: bool = False, modify_bounceback_formula: bool = False, jet_model_enabled: bool = False, actuation_claim_enabled: bool = False, diagnostic_report_enabled: bool = True, scope_note: str = 'Step 36 opt-in experimental solid_vel application smoke only') -> None",True,True,"[""application_id"", ""wall_velocity_config_path"", ""boundary_motion_config_path"", ""geometry_config_path"", ""region_config_path"", ""application_mode"", ""target_lbm_field"", ""application_policy"", ""wall_velocity_scale"", ""wall_velocity_cap_lbm"", ""apply_to_lbm_solid_vel"", ""apply_to_lbm_populations"", ""apply_to_mpm"", ""apply_to_projector"", ""modify_bounceback_formula"", ""jet_model_enabled"", ""actuation_claim_enabled"", ""diagnostic_report_enabled"", ""scope_note""]",d2ebebff6aabe7c00e7e0574f2afa2342aee5e2ff8038772ee9feeae3a38eafc,True
src.mpm_lbm.sim.wall_velocity.config,True,WallVelocityFieldConfig,"{""actuation_enabled"": ""False"", ""apply_to_lbm"": ""False"", ""boundary_motion_config_path"": ""<required>"", ""deterministic"": ""True"", ""driver_integration_enabled"": ""False"", ""funnel_axis"": ""<required>"", ""geometry_config_path"": ""<required>"", ""grid_sizes"": ""<required>"", ""jet_model_enabled"": ""False"", ""lbm_population_update_enabled"": ""False"", ""max_velocity_norm_allowed"": ""<required>"", ""motion_mapping_config_path"": ""<required>"", ""moving_bounceback_update_enabled"": ""False"", ""phase_samples"": ""<required>"", ""region_config_path"": ""<required>"", ""schedule_config_path"": ""<required>"", ""scope_note"": ""'velocity field diagnostics only; no LBM population update'"", ""tracked_regions"": ""<required>"", ""velocity_field_id"": ""<required>"", ""wall_velocity_model"": ""<required>"", ""write_dense_field"": ""False"", ""write_sparse_samples"": ""False""}",,True,"(velocity_field_id: str, boundary_motion_config_path: str, motion_mapping_config_path: str, schedule_config_path: str, region_config_path: str, geometry_config_path: str, grid_sizes: tuple[int, ...], phase_samples: tuple[float, ...], tracked_regions: tuple[str, ...], wall_velocity_model: str, funnel_axis: str, max_velocity_norm_allowed: float, write_dense_field: bool = False, write_sparse_samples: bool = False, apply_to_lbm: bool = False, lbm_population_update_enabled: bool = False, moving_bounceback_update_enabled: bool = False, driver_integration_enabled: bool = False, jet_model_enabled: bool = False, actuation_enabled: bool = False, deterministic: bool = True, scope_note: str = 'velocity field diagnostics only; no LBM population update') -> None",True,True,"[""velocity_field_id"", ""boundary_motion_config_path"", ""motion_mapping_config_path"", ""schedule_config_path"", ""region_config_path"", ""geometry_config_path"", ""grid_sizes"", ""phase_samples"", ""tracked_regions"", ""wall_velocity_model"", ""funnel_axis"", ""max_velocity_norm_allowed"", ""write_dense_field"", ""write_sparse_samples"", ""apply_to_lbm"", ""lbm_population_update_enabled"", ""moving_bounceback_update_enabled"", ""driver_integration_enabled"", ""jet_model_enabled"", ""actuation_enabled"", ""deterministic"", ""scope_note""]",d30bbf4f00c4120205c544f5fe97cdc0319fe1cb2813baed7427a9208adc1c1e,True
src.mpm_lbm.sim.runtime_geometry.projection_config,True,RuntimeGeometryProjectionIntegrationConfig,"{""apply_to_default_lbm_state"": ""False"", ""apply_to_default_mpm_state"": ""False"", ""apply_to_default_projection_state"": ""False"", ""apply_to_driver_state"": ""False"", ""deterministic"": ""True"", ""diagnostic_geometry_update_config_path"": ""<required>"", ""diagnostic_only"": ""True"", ""displacement_artifact_path"": ""<required>"", ""geometry_config_path"": ""<required>"", ""geometry_motion_interface_config_path"": ""<required>"", ""grid_sizes"": ""<required>"", ""integration_mode"": ""<required>"", ""mutate_original_geometry"": ""False"", ""persist_displaced_geometry"": ""False"", ""persist_projected_state"": ""False"", ""projection_integration_id"": ""<required>"", ""recompute_production_boundary_links"": ""False"", ""region_config_path"": ""<required>"", ""scope_note"": ""'transient projection integration smoke only; no persistent moving-geometry coupling'"", ""selected_phases"": ""<required>"", ""step44_projection_artifact_path"": ""<required>"", ""tracked_regions"": ""<required>"", ""update_dynamic_solid"": ""False"", ""write_dense_displacement_field"": ""False"", ""write_displaced_particles"": ""False"", ""write_vtk"": ""False""}",,True,"(projection_integration_id: str, diagnostic_geometry_update_config_path: str, geometry_motion_interface_config_path: str, displacement_artifact_path: str, geometry_config_path: str, region_config_path: str, step44_projection_artifact_path: str, selected_phases: tuple[float, ...], grid_sizes: tuple[int, ...], tracked_regions: tuple[str, ...], integration_mode: str, persist_projected_state: bool = False, persist_displaced_geometry: bool = False, write_displaced_particles: bool = False, write_dense_displacement_field: bool = False, write_vtk: bool = False, apply_to_driver_state: bool = False, apply_to_default_lbm_state: bool = False, apply_to_default_mpm_state: bool = False, apply_to_default_projection_state: bool = False, update_dynamic_solid: bool = False, recompute_production_boundary_links: bool = False, mutate_original_geometry: bool = False, diagnostic_only: bool = True, deterministic: bool = True, scope_note: str = 'transient projection integration smoke only; no persistent moving-geometry coupling') -> None",True,True,"[""projection_integration_id"", ""diagnostic_geometry_update_config_path"", ""geometry_motion_interface_config_path"", ""displacement_artifact_path"", ""geometry_config_path"", ""region_config_path"", ""step44_projection_artifact_path"", ""selected_phases"", ""grid_sizes"", ""tracked_regions"", ""integration_mode"", ""persist_projected_state"", ""persist_displaced_geometry"", ""write_displaced_particles"", ""write_dense_displacement_field"", ""write_vtk"", ""apply_to_driver_state"", ""apply_to_default_lbm_state"", ""apply_to_default_mpm_state"", ""apply_to_default_projection_state"", ""update_dynamic_solid"", ""recompute_production_boundary_links"", ""mutate_original_geometry"", ""diagnostic_only"", ""deterministic"", ""scope_note""]",9cd528240c3f3518a796eb7fe259520cb09324585eccedc5e414d05bc96b16f8,True
