grid_size,region_id,particle_count,estimated_volume,projected_mass,active_cell_count,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,solid_phi_min,solid_phi_max,has_nan,has_inf,projection_pass
32,mantle_outer,648,0.019775390625,0.019775390625,648,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.0,1.0,False,False,True
32,mantle_cavity_proxy,100,0.0030517578125,0.0030517578125,100,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.0,1.0,False,False,True
32,funnel_outlet_proxy,8,0.000244140625,0.000244140625,8,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.0,1.0,False,False,True
32,head_proxy,136,0.004150390625,0.004150390625,136,0.421875,0.265625,0.421875,0.578125,0.453125,0.578125,0.0,1.0,False,False,True
32,arms_proxy,34,0.00103759765625,0.00103759765625,34,0.421875,0.140625,0.453125,0.578125,0.296875,0.546875,0.0,1.0,False,False,True
32,left_fin_proxy,18,0.00054931640625,0.00054931640625,18,0.328125,0.578125,0.484375,0.390625,0.640625,0.515625,0.0,1.0,False,False,True
32,right_fin_proxy,18,0.00054931640625,0.00054931640625,18,0.609375,0.578125,0.484375,0.671875,0.640625,0.515625,0.0,1.0,False,False,True
48,mantle_outer,648,0.019775390625,0.019775390625,648,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.0,1.0,False,False,True
48,mantle_cavity_proxy,100,0.0030517578125,0.0030517578125,100,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.0,1.0,False,False,True
48,funnel_outlet_proxy,8,0.000244140625,0.000244140625,8,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.0,1.0,False,False,True
48,head_proxy,136,0.004150390625,0.004150390625,136,0.421875,0.265625,0.421875,0.578125,0.453125,0.578125,0.0,1.0,False,False,True
48,arms_proxy,34,0.00103759765625,0.00103759765625,34,0.421875,0.140625,0.453125,0.578125,0.296875,0.546875,0.0,1.0,False,False,True
48,left_fin_proxy,18,0.00054931640625,0.00054931640625,18,0.328125,0.578125,0.484375,0.390625,0.640625,0.515625,0.0,1.0,False,False,True
48,right_fin_proxy,18,0.00054931640625,0.00054931640625,18,0.609375,0.578125,0.484375,0.671875,0.640625,0.515625,0.0,1.0,False,False,True
64,mantle_outer,648,0.019775390625,0.019775390625,648,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.0,1.0,False,False,True
64,mantle_cavity_proxy,100,0.0030517578125,0.0030517578125,100,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.0,1.0,False,False,True
64,funnel_outlet_proxy,8,0.000244140625,0.000244140625,8,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.0,1.0,False,False,True
64,head_proxy,136,0.004150390625,0.004150390625,136,0.421875,0.265625,0.421875,0.578125,0.453125,0.578125,0.0,1.0,False,False,True
64,arms_proxy,34,0.00103759765625,0.00103759765625,34,0.421875,0.140625,0.453125,0.578125,0.296875,0.546875,0.0,1.0,False,False,True
64,left_fin_proxy,18,0.00054931640625,0.00054931640625,18,0.328125,0.578125,0.484375,0.390625,0.640625,0.515625,0.0,1.0,False,False,True
64,right_fin_proxy,18,0.00054931640625,0.00054931640625,18,0.609375,0.578125,0.484375,0.671875,0.640625,0.515625,0.0,1.0,False,False,True
