case,geometry_type,geometry_source,mode,reaction_transfer_mode,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,completed_lbm_steps,total_mpm_substeps,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,active_reaction_particle_count,area_scale_final,stable,notes
mesh_ellipsoid,mesh,configs/step20_mesh_ellipsoid_geometry.json,none,engineering,48,4096,10,10,10,100,1.0,1.0000003576278687,0.0,0.9954364895820618,0.02604341320693493,0.13391706347465515,18342,0.0,0.0,0,0,1.0,True,Step 21 imported geometry scale validation; no new FSI physics
mesh_ellipsoid,mesh,configs/step20_mesh_ellipsoid_geometry.json,penalty,engineering,48,4096,10,10,10,100,0.9999971389770508,1.000003695487976,8.149020686687436e-06,0.9954659342765808,0.02604166604578495,0.13391706347465515,18342,4.957214969181223e-06,4.957214969181223e-06,0,0,1.0,True,Step 21 imported geometry scale validation; no new FSI physics
mesh_ellipsoid,mesh,configs/step20_mesh_ellipsoid_geometry.json,moving_boundary,engineering,48,4096,10,10,10,100,0.9886513948440552,1.0153928995132446,0.007571428548544645,0.995670735836029,0.02793608047068119,0.13391727209091187,18342,0.0,0.41852858662605286,54714,4096,1.0,True,Step 21 imported geometry scale validation; no new FSI physics
mesh_ellipsoid,mesh,configs/step20_mesh_ellipsoid_geometry.json,moving_boundary,link_area_experimental,48,4096,10,10,10,100,0.9886519312858582,1.0153920650482178,0.007571499794721603,0.9956708550453186,0.02793603017926216,0.1339171975851059,18342,0.0,0.4185284972190857,54714,4096,0.7909331917762756,True,Step 21 imported geometry scale validation; no new FSI physics
