candidate_id,geometry_type,source_file_redacted,sha256,step25_sha256,size_bytes,step25_size_bytes,validation_scope,quality_check_enabled,quality_check_strict,sha256_matches_step25,size_matches_step25,fingerprint_match,no_private_absolute_path,guard_pass
real_candidate_smoke_mesh,mesh,data/geometry_fixtures/step25_real_candidate_smoke_mesh.obj,d5a3dd8a698a81951052c6fc3aeb1dd37f7a3c205c07b23d514a3b6a77c2c126,d5a3dd8a698a81951052c6fc3aeb1dd37f7a3c205c07b23d514a3b6a77c2c126,323,323,intake_qa_normalization_sampling_projection_only,True,True,True,True,True,True,True
real_candidate_smoke_voxel,voxel,data/geometry_fixtures/voxel_sphere.npy,7df9048eb5967888f0788817414b05235fe4a67367198ad82fdb571d92e3b01f,7df9048eb5967888f0788817414b05235fe4a67367198ad82fdb571d92e3b01f,32896,32896,intake_qa_normalization_sampling_projection_only,True,True,True,True,True,True,True
