step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9999904632568359,1.001845359802246,1.000062431788592,101574.3410719037,6.341071903705597,6.243178859193444e-05,0.0010347002087291225,6.011468722711716e-06,0.0,2.193351174853649,0.012720148677883295,2.180631026175766,0.9942005872913935,0.001053276522676552,0.0018243284516952607
10,0.999891459941864,1.0045276880264282,1.0002566547060847,101594.0679051876,26.06790518760681,0.0002566547060846606,0.002254396047846314,6.342622981460005e-05,0.0,4.789135467070187,0.13419537078280652,4.654940096287381,0.9719792075823444,0.002371021892475465,0.004106730383625618
15,0.9996559619903564,1.006628155708313,1.0005507198946988,101623.93551826477,55.93551826477051,0.0005507198946988275,0.0033069679671801654,0.00019740933487162086,0.0,7.038213695868029,0.4175751138838607,6.620638581984168,0.9406702990378071,0.0035048004267025958,0.006070492409437977
20,0.9993168711662292,1.0089155435562134,1.0009442574251266,101663.90633815527,95.90633815526962,0.0009442574251267094,0.004436114541737324,0.0003901871322408373,0.0,9.460303405284064,0.8250742275722938,8.63522917771177,0.9127856483850774,0.004718407808019596,0.008172522054319637
25,0.9988927841186523,1.0111948251724243,1.001432010040119,101713.44639575481,145.44639575481415,0.0014320100401190743,0.005539985904637337,0.0006309406173200697,0.0,11.837581528670814,1.3335974702619593,10.503984058408854,0.8873420667023948,0.005930853654713465,0.010272539862219284
30,0.9983994960784912,1.013464331626892,1.0020095984379291,101772.11089414358,204.1108941435814,0.002009598437929086,0.006649653941598881,0.0009106912989675953,1.8326283131337986e-08,14.236817568773986,1.923948426658717,12.31286914211527,0.8648610606011721,0.007252797040054391,0.012562212970359372
35,0.9978500008583069,1.0157510042190552,1.0026743757352468,101839.63099467754,271.63099467754364,0.0026743757352467672,0.007758898249895986,0.0012218368545098455,7.757329284454211e-07,16.644689806454018,2.579864103927309,14.064825702526708,0.8450037739407459,0.008582594782297637,0.014865490223715055
40,0.997254490852356,1.0180363655090332,1.0034238347794249,101915.75205087662,347.75205087661743,0.0034238347794247935,0.008867682389112185,0.0015586121664974497,4.415574323419844e-05,19.06116523043896,3.2889921282898245,15.772173102149136,0.8274506259964842,0.00991255919701799,0.01716905616226931
45,0.9966211318969727,1.020325779914856,1.0042562153050705,102000.2952761054,432.2952761054039,0.004256215305070533,0.00997671662937209,0.001916342982467764,0.000546930380831444,21.487860121594824,4.041313484683313,17.446546636911513,0.8119257356565776,0.011242035256052439,0.01947177624396342
50,0.9959566593170166,1.0226185321807861,1.0051701245031355,102093.11920553446,525.1192055344582,0.005170124503135419,0.011085626274868423,0.002291262694255982,0.0018476854432889194,23.924011467039172,4.828751821744405,19.095259645294767,0.7981629532155542,0.012571224798045708,0.021774000063584965
55,0.9952664375305176,1.024914264678955,1.006164527682455,102194.11874765158,626.118747651577,0.006164527682454878,0.012194497975571846,0.0026804118652454805,0.003050905812222736,26.369871415591284,5.644957815349761,20.72491360024152,0.7859315380653634,0.013899317084036607,0.024074323380061498
60,0.9945544600486755,1.027213454246521,1.0072386614707192,102303.216368258,735.2163682579994,0.007238661470719119,0.013303346738275598,0.0030813562070985197,0.004321828833561116,28.82552770978942,6.4847095979118015,22.340818111877617,0.7750358757279738,0.015227041994259326,0.026374010383042074
65,0.993824303150177,1.0295159816741943,1.008391986701405,102420.35730528831,852.3573052883148,0.008391986701405115,0.014412124278569605,0.003492210831306963,0.005660268196850198,31.290933458993308,7.343959908380279,23.94697355061303,0.7653007086540093,0.01655435361643993,0.02867298155013555
70,0.9930787682533264,1.0318225622177124,1.0096241396047274,102545.50461137295,977.5046113729477,0.009624139604727352,0.015520901993156493,0.003911596425810727,0.0070261658043450975,33.766302221204654,8.219739814785019,25.546562406419635,0.7565697374578623,0.017882051466995896,0.03097262168439847
75,0.9923208951950073,1.0341322422027588,1.010934671562543,102678.61272126436,1110.6127212643623,0.01093467156254295,0.016629593870259245,0.00434650260064265,0.008430460540336577,36.25149859126014,9.126681891250815,27.124816700009323,0.7482398729455239,0.019210403458623973,0.03327339482423361
80,0.9915680885314941,1.0364419221878052,1.0123184447440248,102819.15979576111,1251.1597957611084,0.012318444744024775,0.017738269700093057,0.004925076600367957,0.009859533060389608,38.74670424432723,10.33380466304014,28.412899581287093,0.733298486553135,0.020540582733490687,0.03557733291147788
