comparison,reaction_transfer_mode,static_case,diagnostic_case,both_stable,rho_min_delta,rho_max_delta,lbm_max_v_delta,mpm_min_J_delta,projected_mass_delta,active_cell_count_delta,bb_link_count_delta,area_scale_delta,diagnostic_no_op_pass,comparison_pass,notes
static_vs_diagnostic_noop_engineering,engineering,static_48_moving_boundary,diagnostic_geometry_motion_48_moving_boundary,True,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True,True,Step 43 diagnostic geometry motion is report-only; physics diagnostics must match static row
static_vs_diagnostic_noop_link_area_experimental,link_area_experimental,static_48_link_area,diagnostic_geometry_motion_48_link_area,True,0.0,0.0,0.0,0.0,0.0,0,0,0.0,True,True,Step 43 diagnostic geometry motion is report-only; physics diagnostics must match static row
