actual,check,expected,pass,summary_key
True,step72_runtime_geometry_readiness,True,True,runtime_geometry_readiness_audit_pass
True,step72_runtime_geometry_api,True,True,runtime_geometry_api_audit_pass
True,step72_runtime_geometry_config_schema,True,True,runtime_geometry_config_schema_audit_pass
True,step72_runtime_geometry_driver_gate,True,True,runtime_geometry_driver_gate_audit_pass
True,step72_runtime_geometry_state_guard,True,True,runtime_geometry_state_guard_audit_pass
True,step72_runtime_geometry_output_policy,True,True,runtime_geometry_output_policy_audit_pass
True,step72_no_simulation,True,True,no_simulation_audit_pass
True,step72_step71_regression_guard,True,True,step72_step71_regression_guard_pass
True,step72_artifact_manifest,True,True,artifact_budget_pass
False,runtime_geometry_activation_allowed_still_closed,False,True,runtime_geometry_activation_allowed
False,wall_velocity_activation_allowed_still_closed,False,True,wall_velocity_activation_allowed
False,combined_runtime_geometry_wall_velocity_activation_allowed_still_closed,False,True,combined_runtime_geometry_wall_velocity_activation_allowed
