step,time_s,rho_min,rho_max,rho_finite,velocity_finite,population_finite,lbm_max_v,mpm_min_J,mpm_max_speed,density_gate_pass_step,mpm_j_gate_pass_step,finite_gate_pass_step
0,0.0,1.0,1.0,True,True,True,0.0,1.0,0.0,True,True,True
1,0.0005,0.9999998807907104,1.0101999044418335,True,True,True,0.01009702030569315,0.9999964237213135,9.527241491014138e-05,True,True,True
2,0.001,0.9999974966049194,1.026679515838623,True,True,True,0.013753660023212433,0.9999945163726807,0.00019878143211826682,True,True,True
3,0.0015,0.999993622303009,1.03751802444458,True,True,True,0.01942959427833557,0.9999959468841553,0.0003073907282669097,True,True,True
4,0.002,0.9999895095825195,1.0446646213531494,True,True,True,0.024445462971925735,0.999997079372406,0.00038234933163039386,True,True,True
5,0.0025,0.999986469745636,1.049530267715454,True,True,True,0.026579400524497032,0.9999966025352478,0.00045005290303379297,True,True,True
6,0.003,0.9999850988388062,1.052465796470642,True,True,True,0.02653064951300621,0.999995231628418,0.0005214698612689972,True,True,True
7,0.0035,0.9999849200248718,1.0528934001922607,True,True,True,0.027729559689760208,0.9999945759773254,0.0005847642896696925,True,True,True
8,0.004,0.9999852180480957,1.0523107051849365,True,True,True,0.028172722086310387,0.9999949336051941,0.0006327691371552646,True,True,True
9,0.0045000000000000005,0.9999858736991882,1.0521494150161743,True,True,True,0.02810845710337162,0.999995231628418,0.0006667712004855275,True,True,True
10,0.005,0.9999866485595703,1.052103877067566,True,True,True,0.028364764526486397,0.9999949932098389,0.0006875628023408353,True,True,True
11,0.0055,0.9999878406524658,1.0519722700119019,True,True,True,0.028017621487379074,0.9999943375587463,0.0006977852899581194,True,True,True
12,0.006,0.9999896287918091,1.0516903400421143,True,True,True,0.02833404578268528,0.9999940991401672,0.0007014319999143481,True,True,True
13,0.006500000000000001,0.999991774559021,1.0516191720962524,True,True,True,0.027965156361460686,0.9999943375587463,0.0006974830757826567,True,True,True
14,0.007,0.9999927878379822,1.0512104034423828,True,True,True,0.02805483341217041,0.9999936819076538,0.0006800739211030304,True,True,True
15,0.0075,0.9999931454658508,1.0512553453445435,True,True,True,0.02782491035759449,0.9999927878379822,0.0006577855674549937,True,True,True
16,0.008,0.9999927282333374,1.0507041215896606,True,True,True,0.027758905664086342,0.999991774559021,0.0006331317708827555,True,True,True
17,0.0085,0.9999925494194031,1.0509012937545776,True,True,True,0.027658838778734207,0.9999908804893494,0.0006067805807106197,True,True,True
18,0.009000000000000001,0.9999924898147583,1.050134539604187,True,True,True,0.02741578035056591,0.9999898672103882,0.0005780385690741241,True,True,True
19,0.0095,0.9999924898147583,1.0505284070968628,True,True,True,0.027457334101200104,0.9999889731407166,0.0005937823443673551,True,True,True
20,0.01,0.9999927282333374,1.0494787693023682,True,True,True,0.02706744335591793,0.9999881386756897,0.0006415156531147659,True,True,True
21,0.0105,0.9999927878379822,1.0501128435134888,True,True,True,0.027237586677074432,0.9999872446060181,0.0006914894329383969,True,True,True
