step,time_s,rho_min,rho_max,lbm_max_v,fluid_mean_ux,projection_zone_fluid_mean_ux,far_field_fluid_mean_ux,solid_mean_vx_norm,mpm_min_J,mpm_max_speed,projected_mass,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count,bb_max_correction,mb_subcycle_force_sample_count,mb_subcycle_force_accum_norm_max,mb_subcycle_force_mean_norm_max,active_reaction_particle_count,max_grid_reaction_norm
0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
1,0.0005,0.9999998807907104,1.0101999044418335,0.01009702030569315,0.00021173316054046154,5.298143590515281e-10,0.0002166743652196601,1.0885141819017008e-05,0.9999964237213135,9.527241491014138e-05,0.521412193775177,224,0.0,0.40824824571609497,11466,0.0,0,0.0,0.0,1024,4.2109371861442924e-05
2,0.001,0.9999974966049194,1.026679515838623,0.013753660023212433,0.0003461292071733624,5.594593943669679e-08,0.0003542044141795486,2.0831095753237605e-05,0.9999945163726807,0.00019878143211826682,0.5214123129844666,224,0.0,0.40824803709983826,11466,6.409277943930647e-07,0,0.0,0.0,1024,4.210938641335815e-05
3,0.0015,0.999993622303009,1.03751802444458,0.01942959427833557,0.0005748218973167241,6.41273274482046e-08,0.000588232884183526,3.016531809407752e-05,0.9999959468841553,0.0003073907282669097,0.5214123129844666,224,0.0,0.4082486629486084,11466,1.2879114592578844e-06,0,0.0,0.0,1024,4.2109382775379345e-05
4,0.002,0.9999895095825195,1.0446646213531494,0.024445462971925735,0.0008642259635962546,1.2539825888779887e-07,0.0008843879331834614,3.9030190237099305e-05,0.999997079372406,0.00038234933163039386,0.5214123725891113,224,0.0,0.4082481265068054,11466,2.008005594689166e-06,0,0.0,0.0,1024,4.210940460325219e-05
5,0.0025,0.999986469745636,1.049530267715454,0.026579400524497032,0.0011456714710220695,1.343770463790861e-07,0.0011724010109901428,4.749065192299895e-05,0.9999966025352478,0.00045005290303379297,0.5214122533798218,224,0.0,0.4082481563091278,11466,2.6118570986000123e-06,0,0.0,0.0,1024,4.210942279314622e-05
6,0.003,0.9999850988388062,1.052465796470642,0.02653064951300621,0.0014205299085006118,1.8386940325854084e-07,0.001453672768548131,5.556568066822365e-05,0.999995231628418,0.0005214698612689972,0.5214121341705322,224,0.0,0.4082476794719696,11466,3.084127911279211e-06,0,0.0,0.0,1024,4.210943734506145e-05
7,0.0035,0.9999849200248718,1.0528934001922607,0.027729559689760208,0.0016651288606226444,1.855808875461662e-07,0.0017039800295606256,6.326628499664366e-05,0.9999945759773254,0.0005847642896696925,0.5214120745658875,224,0.0,0.40824800729751587,11466,3.5269747513666516e-06,0,0.0,0.0,1024,4.2109470086870715e-05
8,0.004,0.9999852180480957,1.0523107051849365,0.028172722086310387,0.0019014576682820916,2.3002357352197578e-07,0.0019458229653537273,7.059795461827889e-05,0.9999949336051941,0.0006327691371552646,0.5214120745658875,224,0.0,0.40824779868125916,11466,3.974302671849728e-06,0,0.0,0.0,1024,4.2109484638785943e-05
9,0.0045000000000000005,0.9999858736991882,1.0521494150161743,0.02810845710337162,0.002116754651069641,2.3212741950828786e-07,0.0021661457139998674,7.75679072830826e-05,0.999995231628418,0.0006667712004855275,0.5214123725891113,224,0.0,0.4082479178905487,11466,4.343509772297693e-06,0,0.0,0.0,1024,4.210951738059521e-05
10,0.005,0.9999866485595703,1.052103877067566,0.028364764526486397,0.002329146256670356,2.709319915084052e-07,0.0023834933526813984,8.418913785135373e-05,0.9999949932098389,0.0006875628023408353,0.5214123129844666,224,0.0,0.40824753046035767,11466,4.565208655549213e-06,0,0.0,0.0,1024,4.210955012240447e-05
11,0.0055,0.9999878406524658,1.0519722700119019,0.028017621487379074,0.0025289494078606367,2.632995403928362e-07,0.0025879587046802044,9.047328057931736e-05,0.9999943375587463,0.0006977852899581194,0.5214123725891113,224,0.0,0.4082476794719696,11466,4.6672830649185926e-06,0,0.0,0.0,1024,4.2109568312298506e-05
12,0.006,0.9999896287918091,1.0516903400421143,0.02833404578268528,0.0027332480531185865,2.843597712853807e-07,0.002797025488689542,9.643223165767267e-05,0.9999940991401672,0.0007014319999143481,0.5214122533798218,224,0.0,0.4082475006580353,11466,4.7118983275140636e-06,0,0.0,0.0,1024,4.2109615606023e-05
13,0.006500000000000001,0.999991774559021,1.0516191720962524,0.027965156361460686,0.002934972755610943,2.63307185832673e-07,0.003003457561135292,0.00010208448657067493,0.9999943375587463,0.0006974830757826567,0.5214123725891113,224,0.0,0.4082476794719696,11466,4.7150710997811984e-06,0,0.0,0.0,1024,4.210964107187465e-05
14,0.007,0.9999927878379822,1.0512104034423828,0.02805483341217041,0.0031455953139811754,2.7216000830776466e-07,0.003218995174393058,0.00010745172039605677,0.9999936819076538,0.0006800739211030304,0.5214124917984009,224,0.0,0.4082474708557129,11466,4.6376962927752174e-06,0,0.0,0.0,1024,4.2109670175705105e-05
15,0.0075,0.9999931454658508,1.0512553453445435,0.02782491035759449,0.0033553410321474075,2.45097254492066e-07,0.0034336349926888943,0.00011255816207267344,0.9999927878379822,0.0006577855674549937,0.5214125514030457,224,0.0,0.40824759006500244,11466,4.456426722754259e-06,0,0.0,0.0,1024,4.210970291751437e-05
16,0.008,0.9999927282333374,1.0507041215896606,0.027758905664086342,0.0035706281196326017,2.4691513544894406e-07,0.0036539460998028517,0.00011742497008526698,0.999991774559021,0.0006331317708827555,0.5214123129844666,224,0.0,0.4082475006580353,11466,4.211428858980071e-06,0,0.0,0.0,1024,4.210972838336602e-05
17,0.0085,0.9999925494194031,1.0509012937545776,0.027658838778734207,0.00378241203725338,2.1588759580026817e-07,0.003870673244819045,0.00012207712279632688,0.9999908804893494,0.0006067805807106197,0.5214124321937561,224,0.0,0.4082476794719696,11466,3.9486649257014506e-06,0,0.0,0.0,1024,4.210976476315409e-05
18,0.009000000000000001,0.9999924898147583,1.050134539604187,0.02741578035056591,0.003996388055384159,2.098919935633603e-07,0.004089639987796545,0.00012654192687477916,0.9999898672103882,0.0005780385690741241,0.5214123725891113,224,0.0,0.4082477390766144,11466,3.6762603485840373e-06,0,0.0,0.0,1024,4.2109793866984546e-05
19,0.0095,0.9999924898147583,1.0505284070968628,0.027457334101200104,0.004205727018415928,1.7351864300962916e-07,0.004303868394345045,0.000130842745420523,0.9999889731407166,0.0005937823443673551,0.5214124917984009,224,0.0,0.40824782848358154,11466,3.3794408409448806e-06,0,0.0,0.0,1024,4.210981205687858e-05
20,0.01,0.9999927282333374,1.0494787693023682,0.02706744335591793,0.004415643867105246,1.6080635134585464e-07,0.004518683534115553,0.0001350069505861029,0.9999881386756897,0.0006415156531147659,0.5214126110076904,224,0.0,0.4082478880882263,11466,3.648239726317115e-06,0,0.0,0.0,1024,4.210984843666665e-05
21,0.0105,0.9999927878379822,1.0501128435134888,0.027237586677074432,0.004620760679244995,1.2155770434674196e-07,0.004728588275611401,0.00013905653031542897,0.9999872446060181,0.0006914894329383969,0.5214126706123352,224,0.0,0.40824809670448303,11466,4.154914677201305e-06,0,0.0,0.0,1024,4.210986298858188e-05
22,0.011,0.9999929666519165,1.0487372875213623,0.026709694415330887,0.0048260437324643135,1.0985301202026676e-07,0.0049386597238481045,0.00014301577175501734,0.9999863505363464,0.0007401776383630931,0.5214125514030457,224,0.0,0.40824824571609497,11466,4.635465757019119e-06,0,0.0,0.0,1024,4.21098739025183e-05
23,0.0115,0.9999935626983643,1.0496439933776855,0.027000220492482185,0.005027781706303358,7.871538798553956e-08,0.005145104136317968,0.0001469051348976791,0.9999855756759644,0.0007850890979170799,0.5214123725891113,224,0.0,0.4082484841346741,11466,5.059860086475965e-06,0,0.0,0.0,1024,4.2109895730391145e-05
