step,time_s,total_fluid_mass,mass_delta_rel,inlet_flux,outlet_flux,midplane_flux,flux_imbalance_rel,outlet_to_inlet_flux_ratio,midplane_to_inlet_flux_ratio
0,0.0,3840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0005,3815.81554710865,-0.006298034607122342,0.8160007158366778,2.980232238769489e-07,2.2351741790771167e-07,-0.9999996347757814,3.6522421867163914e-07,2.7391816400372934e-07
2,0.001,3817.416149675846,-0.005881211021915078,1.066918552677218,-1.788139378788847e-06,9.741634251458914e-07,-1.0000016759848953,-1.6759848952873395e-06,9.13062597610121e-07
3,0.0015,3819.1194511651993,-0.005437642925729355,1.4901313003314922,-1.788139378788847e-06,1.8812715807034726e-06,-1.0000011999877987,-1.1999877986530854e-06,1.2624871246479877e-06
4,0.002,3821.056105017662,-0.004933305984983842,1.8768134907554501,-1.788139378788847e-06,3.928318679037827e-06,-1.0000009527528375,-9.527528375070928e-07,2.09307887991396e-06
5,0.0025,3823.1489663124084,-0.0043882900228103,2.054725305763617,-1.788139378788847e-06,6.379559639234012e-06,-1.0000008702571452,-8.70257145212072e-07,3.104823608946168e-06
6,0.003,3825.223392009735,-0.003848074997464816,2.051740785238365,-1.788139378788847e-06,9.92044816203924e-06,-1.000000871523046,-8.715230460172904e-07,4.835137183709448e-06
7,0.0035,3827.141396701336,-0.0033485946090271077,1.9227127371451915,-1.788139378788847e-06,1.3524666284453269e-05,-1.000000930008599,-9.300085989152199e-07,7.034158573544608e-06
8,0.004,3828.8753874897957,-0.002897034507865707,1.7871466373995515,-1.788139378788847e-06,1.7242506120631843e-05,-1.0000010005554896,-1.000555489610377e-06,9.64806455150269e-06
9,0.0045000000000000005,3830.4803828001022,-0.002479066979140043,1.6654824598761717,-1.788139378788847e-06,1.9794330032999905e-05,-1.0000010736464788,-1.073646478943882e-06,1.1885042628711688e-05
10,0.005,3832.0292811989784,-0.0020757080210993687,1.5939770082531097,-1.788139378788847e-06,2.1589919720988197e-05,-1.0000011218100195,-1.1218100195488554e-06,1.3544687037016474e-05
11,0.0055,3833.5690974593163,-0.001674714203303059,1.5441783288123094,-1.788139378788847e-06,2.2064894483035307e-05,-1.0000011579876142,-1.1579876141405106e-06,1.4289084409056769e-05
12,0.006,3835.120504319668,-0.0012707020000865062,1.5373312816231308,-1.788139378788847e-06,2.204067999140753e-05,-1.0000011631451204,-1.1631451204849682e-06,1.433697489596175e-05
13,0.006500000000000001,3836.694383263588,-0.0008608376917739709,1.5482691753752431,-1.788139378788847e-06,2.1392479771714684e-05,-1.000001154927972,-1.1549279719758473e-06,1.3817028790571859e-05
14,0.007,3838.3003861904144,-0.0004426077629129092,1.5873947270299549,-1.788139378788847e-06,2.02655792742946e-05,-1.0000011264617101,-1.1264617100842266e-06,1.2766565825887474e-05
15,0.0075,3839.941731452942,-1.5174100796381633e-05,1.6203598954317167,-1.788139378788847e-06,1.8147751774677176e-05,-1.000001103544579,-1.1035445790963794e-06,1.1199827782606298e-05
16,0.008,3841.6108951568604,0.0004195039470990499,1.652734574836616,-1.788139378788847e-06,1.4996156187455449e-05,-1.0000010819277372,-1.0819277372264186e-06,9.073541762710398e-06
17,0.0085,3843.2919324040413,0.0008572740635524194,1.662465620213488,-1.788139378788847e-06,1.1583790321643742e-05,-1.0000010755948014,-1.07559480150887e-06,6.967837518442151e-06
18,0.009000000000000001,3844.9698905944824,0.0012942423423131307,1.6681445721107093,-1.788139378788847e-06,7.236376439553378e-06,-1.0000010719330978,-1.0719330978167606e-06,4.337979189895493e-06
19,0.0095,3846.6368980407715,0.0017283588647842407,1.6597312922181502,-1.788139378788847e-06,3.0752270619359134e-06,-1.0000010773667924,-1.0773667925481395e-06,1.8528463470891254e-06
20,0.01,3848.2931510210037,0.002159674745053053,1.6559614695509797,-1.788139378788847e-06,-1.9147991557992987e-06,-1.0000010798194352,-1.079819435215306e-06,-1.1563065874464481e-06
21,0.0105,3849.942278265953,0.0025891349650919437,1.6452188170318045,-1.788139378788847e-06,-6.495043581442689e-06,-1.000001086870245,-1.086870245026063e-06,-3.947829622542623e-06
22,0.011,3851.58748203516,0.003017573446656267,1.641447230217856,-1.788139378788847e-06,-1.1863187077774717e-05,-1.000001089367569,-1.0893675689784569e-06,-7.2272728963697555e-06
23,0.0115,3853.230149626732,0.0034453514652947586,1.633722975435293,-1.788139378788847e-06,-1.661106911586377e-05,-1.0000010945181073,-1.0945181072160724e-06,-1.0167616765895012e-05
24,0.012,3854.8716146945953,0.0038728163267175357,1.634766147954243,-1.788139378788847e-06,-2.1876767490287217e-05,-1.0000010938196764,-1.0938196763044893e-06,-1.338219996643798e-05
25,0.0125,3856.5139743685722,0.004300514158482353,1.6337911522135815,-1.788139378788847e-06,-2.6527792516172186e-05,-1.0000010944724338,-1.0944724338641099e-06,-1.6236954448082524e-05
26,0.013000000000000001,3858.1595759391785,0.004729056234161059,1.639462604613391,-1.788139378788847e-06,-3.12477348673189e-05,-1.0000010906862857,-1.0906862857116012e-06,-1.905974236886456e-05
27,0.0135,3859.8089906573296,0.005158591317012906,1.6400486060131652,-1.788139378788847e-06,-3.504194340574417e-05,-1.0000010902965755,-1.0902965754994783e-06,-2.1366405408513165e-05
28,0.014,3861.460773527622,0.005588743106151621,1.643699365514317,-1.788139378788847e-06,-3.887340409828081e-05,-1.0000010878749583,-1.0878749583439392e-06,-2.364994774218778e-05
29,0.0145,3863.1127460598946,0.006018944286430876,1.6422502967854054,-1.788139378788847e-06,-4.1954219370754504e-05,-1.000001088834864,-1.0888348641428228e-06,-2.5546787510330837e-05
30,0.015,3864.764039993286,0.006448968748251597,1.6448331089761683,-1.788139378788847e-06,-4.438683422033564e-05,-1.0000010871251126,-1.0871251125908332e-06,-2.698561573092626e-05
31,0.0155,3866.415145456791,0.006878944129372636,1.6438368247824593,-1.788139378788847e-06,-4.3712556458745914e-05,-1.000001087783989,-1.087783989159316e-06,-2.659178563208712e-05
32,0.016,3868.066858291626,0.007309077680110932,1.6460530580396942,-1.788139378788847e-06,-3.287382406408621e-05,-1.000001086319405,-1.0863194051097997e-06,-1.997130281039426e-05
33,0.0165,3869.7188556194305,0.007739285317560037,1.6440159848667866,-1.788139378788847e-06,9.346753253538665e-06,-1.0000010876654457,-1.0876654456214053e-06,5.6853177460412744e-06
34,0.017,3871.370283842087,0.008169344750543435,1.644785445851261,-1.788139378788847e-06,0.0001464467495303451,-1.0000010871566156,-1.0871566156541428e-06,8.903699257537593e-05
35,0.0175,3873.0207211375237,0.00859914612956345,1.642783066963111,-1.788139378788847e-06,0.000537250192175525,-1.0000010884817447,-1.0884817446374373e-06,0.00032703660208082064
36,0.018000000000000002,3874.670840740204,0.009028864776094754,1.6444634858146927,-1.788139378788847e-06,0.0015536099712395932,-1.0000010873694638,-1.0873694637877443e-06,0.0009447518808664278
37,0.0185,3876.321588933468,0.00945874711809059,1.6436975219259207,-2.0526349823191054e-06,0.0039745978825818686,-1.0000012487911887,-1.2487911887304135e-06,0.002418083515709649
38,0.019,3877.9733569025993,0.009888895026718577,1.6455147141643554,-3.4105033456244123e-06,0.009295580882501965,-1.000002072605803,-2.072605803076258e-06,0.005649041483790412
39,0.0195,3879.625601410866,0.01031916703407963,1.6444560057840558,-6.362796005077131e-06,0.02012668550705098,-1.0000038692406379,-3.869240638057344e-06,0.012239114598541559
40,0.02,3881.2778034210205,0.010749427974224091,1.6458708555865957,-1.0449439394544152e-05,0.04059841310476021,-1.0000063488817237,-6.348881723663504e-06,0.0246668278783579
41,0.0205,3882.929855287075,0.01117964981434246,1.6450751072935768,-1.7529353663614353e-05,0.07655580728338156,-1.0000106556555295,-1.065565552958434e-05,0.04653635991692114
42,0.021,3884.5821701288223,0.011609940137714148,1.6466751502839412,-2.868846077297366e-05,0.13519090066050476,-1.0000174220524114,-1.742205241150741e-05,0.08209931426802268
43,0.021500000000000002,3886.234953224659,0.012040352402254938,1.64589104770158,-4.380010116666811e-05,0.22367491325473254,-1.0000266117865018,-2.661178650180592e-05,0.13589897919858393
44,0.022,3887.888109445572,0.012470861834784349,1.6470289530154036,-6.304308809534829e-05,0.3465436521530262,-1.0000382768548057,-3.827685480569611e-05,0.2104053189341749
45,0.0225,3889.541283607483,0.012901375939448675,1.6460493012341144,-8.37165874693058e-05,0.502199897390187,-1.0000508591008825,-5.085910088266484e-05,0.3050940801187826
46,0.023,3891.1944492459297,0.013331887824460865,1.64724032670778,-0.00010390952367000833,0.679931781894714,-1.0000630809736655,-6.308097366562459e-05,0.4127702381191969
47,0.0235,3892.847743690014,0.013762433252607783,1.6466554664881683,-0.0001217667024606672,0.8596115735992929,-1.0000739478931318,-7.394789313174283e-05,0.5220348707386807
48,0.024,3894.5014322400093,0.014193081312502425,1.647965185186267,-0.00013658404452554257,1.0157260068544902,-1.0000828804186843,-8.288041868439392e-05,0.6163516171245355
49,0.0245,3896.1554777026176,0.014623822318390012,1.6473035363674227,-0.00014656595975714548,1.1252098857367558,-1.0000889732563072,-8.897325630730309e-05,0.6830616585805613
