case,reaction_transfer_mode,step_index,driver_lbm_step,requested_phase,selected_phase,report_pass,finite_pass,cap_pass,applied_cell_count,max_applied_velocity_norm,mean_applied_velocity_norm,after_solid_vel_norm_max,wall_velocity_cap_lbm,lbm_population_update_count,apply_to_lbm_solid_vel,apply_to_lbm_populations,modify_bounceback_formula
step41_64_experimental_moving_boundary_scale_0050,engineering,30,30,0.75,0.75,True,True,True,5056,0.003760046377554492,0.0023492996344863714,0.006350939086330361,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,31,31,0.775,0.75,True,True,True,5056,0.003760046377554492,0.0023492996344863714,0.006555250037729876,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,32,32,0.8,0.75,True,True,True,5056,0.003760046377554492,0.0023492996344863714,0.006764897973815414,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,33,33,0.825,0.75,True,True,True,5056,0.003760046377554492,0.0023492996344863714,0.006982740316854514,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,34,34,0.85,0.75,True,True,True,5056,0.003760046377554492,0.0023492996344863714,0.007185986055068978,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,35,35,0.875,0.75,True,True,True,5056,0.003760046377554492,0.0023492996344863714,0.007368107726871042,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,36,36,0.9,1.0,True,True,True,5056,0.00015087210582160067,9.426580086263777e-05,0.0075446669343010265,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,37,37,0.925,1.0,True,True,True,5056,0.00015087210582160067,9.426580086263777e-05,0.007719561729699211,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,38,38,0.95,1.0,True,True,True,5056,0.00015087210582160067,9.426580086263777e-05,0.007884640943793963,0.01,0,True,False,False
step41_64_experimental_moving_boundary_scale_0050,engineering,39,39,0.975,1.0,True,True,True,5056,0.00015087210582160067,9.426580086263777e-05,0.008040562522546668,0.01,0,True,False,False
