approved_legacy_source,current_classification,current_migration_required,current_root_step_specific_implementation,current_step_specific_proxy_remaining,is_root_shim,pass,path,public_symbols,source_classification,source_migration_required,step68_step_specific_shim,step69_support_shim,unknown_requires_review
False,root_compatibility_shim,False,False,False,True,True,src/real_geometry_feasibility.py,[],step_specific_proxy_remaining,False,True,False,False
True,approved_legacy_support,False,False,False,False,True,src/repository_evidence_index.py,"[""STEP_CLASSIFICATIONS"", ""build_repository_evidence_index"", ""discovered_steps"", ""primary_step_artifact"", ""classify_step"", ""claim_boundary_for_kind""]",approved_legacy_support,False,False,False,False
True,approved_legacy_support,False,False,False,False,True,src/repository_evidence_integrity_artifact_manifest.py,"[""LARGE_FILE_THRESHOLD_BYTES"", ""build_step54_artifact_manifest"", ""repo_files"", ""manifest_row"", ""is_step54_related"", ""private_absolute_path_count""]",approved_legacy_support,False,False,False,False
True,approved_legacy_support,False,False,False,False,True,src/repository_evidence_integrity_claim_guard.py,"[""NEGATION_MARKERS"", ""claim_guard_rows"", ""claim_surface_files"", ""forbidden_positive_claim_hits"", ""forbidden_positive_claims"", ""required_false_claim_flag_rows"", ""flatten_dict""]",approved_legacy_support,False,False,False,False
True,approved_legacy_support,False,False,False,False,True,src/repository_evidence_integrity_regression_guard.py,"[""STEP53_REQUIRED_OUTPUTS"", ""step53_regression_rows"", ""check_row""]",approved_legacy_support,False,False,False,False
True,approved_legacy_support,False,False,False,False,True,src/repository_test_strength_audit.py,"[""AUDITED_PATTERNS"", ""ALLOWED_TEST_STRENGTH_LEVELS"", ""PYTEST_RESULT_INTERPRETATION"", ""build_repository_test_strength_audit"", ""audited_paths"", ""test_strength_row"", ""classify_strength"", ""step_from_name""]",approved_legacy_support,False,False,False,False
True,root_compatibility_shim,False,False,False,True,True,src/run_utils.py,[],approved_legacy_support,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_projection.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_projection_config.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_projection_consistency.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_projection_quality.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_projection_state_guard.py,[],root_compatibility_shim,False,False,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_10step_config.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_10step_diagnostics.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_10step_envelope.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_10step_state_guard.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_20step_config.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_20step_diagnostics.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_20step_envelope.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_20step_state_guard.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_48_feasibility_config.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_48_feasibility_diagnostics.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_48_feasibility_envelope.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_48_feasibility_state_guard.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_coupling.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_coupling_config.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_diagnostics.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_envelope.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_envelope_config.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_envelope_diagnostics.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_envelope_state_guard.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_one_cycle_config.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_one_cycle_diagnostics.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_one_cycle_envelope.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_one_cycle_state_guard.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_state_guard.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_artifact_guard.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_audit.py,[],step_specific_proxy_remaining,False,True,False,False
False,root_compatibility_shim,False,False,False,True,True,src/runtime_geometry_wall_velocity_support_scaling_claim_guard.py,[],step_specific_proxy_remaining,False,True,False,False
