comparison,static_case,experimental_case,reaction_transfer_mode,wall_velocity_scale,both_stable,rho_min_delta,rho_max_delta,lbm_max_v_delta,mpm_min_J_delta,projected_mass_delta,active_cell_count_delta,bb_link_count_delta,experimental_applied_velocity_max,notes,comparison_pass
static_vs_experimental_64_engineering,step41_64_static_moving_boundary,step41_64_experimental_moving_boundary_scale_0050,engineering,0.05,True,-0.02701258659362793,0.0345991849899292,0.008544792886823416,4.404783248901367e-05,2.0489096641540527e-08,0,0,0.00721642344030184,bounded static vs experimental 64^3 proxy comparison,True
static_vs_experimental_64_link_area_experimental,step41_64_static_link_area,step41_64_experimental_link_area_scale_0050,link_area_experimental,0.05,True,-0.027017056941986084,0.03459656238555908,0.008631049888208508,4.470348358154297e-05,-5.587935447692871e-09,0,0,0.00721642344030184,bounded static vs experimental 64^3 proxy comparison,True
