case,mode_class,reaction_transfer_mode,geometry_type,quality_kind,strict,pass,severity,warnings_count,reasons_count,occupied_count,connected_component_count,largest_component_fraction,report_size_bytes,source_report_path
step41_64_experimental_link_area_scale_0050,experimental,link_area_experimental,squid_proxy,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step41_64_selected_parameter_driver/step41_64_experimental_link_area_scale_0050/geometry_quality_report.json
step41_64_experimental_moving_boundary_scale_0050,experimental,engineering,squid_proxy,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step41_64_selected_parameter_driver/step41_64_experimental_moving_boundary_scale_0050/geometry_quality_report.json
step41_64_static_link_area,static,link_area_experimental,squid_proxy,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step41_64_selected_parameter_driver/step41_64_static_link_area/geometry_quality_report.json
step41_64_static_moving_boundary,static,engineering,squid_proxy,procedural_voxelized,True,True,ok,0,0,774,3,0.9844961240310077,1218,outputs/step41_64_selected_parameter_driver/step41_64_static_moving_boundary/geometry_quality_report.json
