case,candidate_id,mode_class,geometry_type,geometry_source,mode,reaction_transfer_mode,boundary_motion_mode,boundary_motion_config_path,boundary_motion_report_enabled,boundary_motion_report_written,boundary_motion_interface_report_path,wall_velocity_application_mode,wall_velocity_application_config_path,wall_velocity_application_report_enabled,wall_velocity_application_report_written,wall_velocity_application_report_path,geometry_motion_mode,geometry_motion_config_path,geometry_motion_report_enabled,geometry_motion_report_written,geometry_motion_interface_report_path,geometry_motion_application_mode,geometry_motion_application_config_path,geometry_motion_application_report_enabled,geometry_motion_no_op_pass,geometry_motion_displacement_row_count,geometry_motion_phase_sample_count,geometry_motion_tracked_region_count,geometry_motion_mutation_flag_enabled_count,apply_to_driver,apply_to_mpm_particles,apply_to_lbm_solid_phi,apply_to_lbm_solid_vel,apply_to_projection,update_dynamic_solid,recompute_boundary_links,mutate_geometry_state,quality_check_enabled,quality_check_strict,quality_pass,quality_severity,quality_warnings_count,quality_reasons_count,quality_gate_strict,quality_report_path,driver_timing_path,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,completed_lbm_steps,total_mpm_substeps,diagnostics_row_count,rho_min_global,rho_max_global,lbm_max_v_global,mpm_min_J_global,mpm_max_speed_global,projected_mass_min,projected_mass_max,active_cell_count,cell_force_max_norm,hydro_force_max_norm,bb_link_count_min,bb_link_count_max,bb_max_correction_max,active_reaction_particle_count_max,max_grid_reaction_norm,area_scale_final,area_scale_min,area_scale_max,raw_area_scale_final,has_nan,has_inf,stable,notes
static_48_moving_boundary,squid_proxy_geometry_motion_driver_interface,static,squid_proxy,configs/step30_squid_proxy_geometry.json,moving_boundary,engineering,static,,False,False,,disabled,,False,False,,static,,False,False,,disabled,,False,True,0,0,0,0,False,False,False,False,False,False,False,False,True,True,True,ok,0,0,True,outputs/step43_static_driver_regression/static_48_moving_boundary/geometry_quality_report.json,outputs/step43_static_driver_regression/static_48_moving_boundary/driver_timing.json,48,4096,5,5,5,25,6,0.9961334466934204,1.0008463859558105,0.0019106301479041576,0.9945733547210693,0.03191618248820305,0.02294035069644451,0.022940397262573242,4850,0.0,0.41573968529701233,6622,6632,0.0008742850041016936,3241,1.0538441529206466e-05,1.0,1.0,1.0,1.0,False,False,True,Step 43 controlled geometry-motion driver interface no-op contract
static_48_link_area,squid_proxy_geometry_motion_driver_interface,static,squid_proxy,configs/step30_squid_proxy_geometry.json,moving_boundary,link_area_experimental,static,,False,False,,disabled,,False,False,,static,,False,False,,disabled,,False,True,0,0,0,0,False,False,False,False,False,False,False,False,True,True,True,ok,0,0,True,outputs/step43_static_driver_regression/static_48_link_area/geometry_quality_report.json,outputs/step43_static_driver_regression/static_48_link_area/driver_timing.json,48,4096,5,5,5,25,6,0.9962067604064941,1.0008246898651123,0.0018638595938682556,0.9945839047431946,0.031660065054893494,0.022940343245863914,0.022940389811992645,4850,0.0,0.41573968529701233,6622,6632,0.0008473931229673326,3241,1.0538253263803199e-05,2.0,0.25,2.0,10.74915885925293,False,False,True,Step 43 controlled geometry-motion driver interface no-op contract
