actual,check,expected,operator,pass,row_name
True,wall_velocity_enabled,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,wall_velocity_application_report_exists,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,wall_velocity_application_report_pass,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
solid_vel,target_lbm_field,solid_vel,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
additive_capped,application_policy,additive_capped,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,apply_to_lbm_solid_vel_wall_velocity,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,apply_to_lbm_populations,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,apply_to_mpm,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,apply_to_projector,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,modify_bounceback_formula,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,jet_model_enabled,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,actuation_claim_enabled,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,finite_pass,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,cap_pass,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,boundary_motion_interface_report_exists,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,boundary_motion_interface_report_pass,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,boundary_motion_diagnostic_only,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
True,combined_runtime_geometry_wall_velocity_enabled,True,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,real_geometry_enabled,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,squid_proxy_enabled,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
False,link_area_enabled,False,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
0,lbm_population_update_count,0,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
3,completed_lbm_steps,3,==,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
4.052095755469054e-05,max_grid_reaction_norm_max_finite,True,is_finite,True,canonical_driver_runtime_geometry_diagnostic_only_wall_velocity_solid_vel_32_3step_smoke
