metric,value
artifact_budget_pass,True
output_guard_pass,True
pass_count,37
private_absolute_path_count,0
protected_diagnostics_edit_count,0
protected_external_edit_count,0
protected_real_geometry_candidate_edit_count,0
protected_sim_edit_count,0
row_count,37
step86_dense_displacement_output_count,0
step86_dense_wall_velocity_output_count,0
step86_displaced_particle_output_count,0
step86_forbidden_file_count,0
step86_large_file_count,0
step86_optional_driver_run_dir_count,0
step86_particle_npy_count,0
step86_raw_geometry_output_count,0
step86_real_geometry_candidate_output_count,0
step86_required_driver_run_dir_count,1
step86_sparse_wall_velocity_output_count,0
step86_total_size_bytes,171230
step86_total_size_mb,0.1632976531982422
step86_vtr_count,0
