artifact_path,summary_key,check,actual,expected,pass
outputs/step79_runtime_geometry_diagnostic_only_activation_plan/runtime_geometry_diagnostic_only_activation_plan.json,step79_runtime_geometry_diagnostic_only_activation_plan_pass,step79_activation_plan_pass,True,True,True
outputs/step79_runtime_geometry_diagnostic_only_activation_guard/runtime_geometry_diagnostic_only_activation_guard.json,step79_runtime_geometry_diagnostic_only_activation_guard_pass,step79_activation_guard_pass,True,True,True
outputs/step79_step78_regression_guard/step78_regression_guard.json,step79_step78_regression_guard_pass,step79_step78_regression_guard_pass,True,True,True
outputs/step79_output_guard/output_guard.json,output_guard_pass,step79_output_guard_pass,True,True,True
outputs/step79_artifact_manifest/artifact_summary.json,artifact_budget_pass,step79_artifact_budget_pass,True,True,True
outputs/step79_runtime_geometry_diagnostic_only_activation_plan/runtime_geometry_diagnostic_only_activation_plan.json,step79_activation_feature_count,step79_activation_feature_count,0,0,True
outputs/step79_runtime_geometry_diagnostic_only_activation_plan/runtime_geometry_diagnostic_only_activation_plan.json,planned_step80_activation_feature_count,step79_planned_step80_activation_feature_count,1,1,True
outputs/step79_artifact_manifest/artifact_summary.json,step79_driver_run_dir_count,step79_driver_run_dir_count,0,0,True
outputs/step79_artifact_manifest/artifact_summary.json,step79_vtr_count,step79_vtr_count,0,0,True
outputs/step79_artifact_manifest/artifact_summary.json,step79_particle_npy_count,step79_particle_npy_count,0,0,True
