region_id,phase0_displacement_norm_max,phase1_displacement_norm_max,phase0_phase1_displacement_delta,closure_pass
mantle_outer,0.0,0.0,0.0,True
mantle_cavity_proxy,0.0,0.0,0.0,True
funnel_outlet_proxy,0.0,0.0,0.0,True
