reaction_scale,force_cap_norm,geometry_type,stable,well_behaved,over_damped,sign_reversed,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,initial_solid_vx,final_solid_vx,solid_slowdown,projection_zone_ux_final,hydro_force_max_norm,net_grid_reaction_force_x,solid_momentum_delta_x,cell_force_max_norm,bb_link_count,accounting_error_x,classification_reason,score,recommended
0.5,2.5e-05,squid_proxy,True,True,False,False,0.9910269975662231,1.0120604038238525,0.00771917555340587,0.9938786625862122,0.05399553168698101,0.026041535660624504,0.025893528014421463,0.00014800764620304108,0.00014675261303335034,0.4202519350678718,-0.0003390809870325029,-3.397837420853183e-06,0.0,6654,0.0006433012895286083,well_behaved,1789.6545179469992,True
0.5,5e-05,squid_proxy,True,False,False,False,0.9883083701133728,1.0203884840011597,0.009443600848865362,0.9886159300804138,0.08059073638744274,0.026041535660624504,0.025690428912639618,0.00035110674798488617,0.00014123092130463165,0.42194500992472844,-0.0010336647974327207,-8.05751425105852e-06,0.0,6636,0.0006432664813473821,stable,679.1843131159725,False
1.0,2.5e-05,squid_proxy,True,True,False,False,0.990947961807251,1.012312650680542,0.0077132170784432645,0.9937074184417725,0.055477382398611365,0.026041535660624504,0.025891073048114777,0.00015046261250972748,0.00014672237712266332,0.42039593244457774,-0.0003083955671172589,-3.4551854519063e-06,0.0,6654,0.0006392507930286229,well_behaved,1786.346568154975,False
1.0,5e-05,squid_proxy,True,False,False,False,0.9880867600440979,1.0207473039627075,0.009802541211350995,0.9880653023719788,0.08706983054718825,0.026041535660624504,0.025821715593338013,0.0002198200672864914,0.0001418804739056796,0.4218984390995468,-0.0010976005578413606,-5.045891770655438e-06,0.0,6646,0.0006416545948013663,stable,673.383052031522,False
