actual,check,expected,pass,summary_key
True,step74_real_geometry_data_boundary,True,True,real_geometry_data_boundary_audit_pass
True,step74_real_geometry_api,True,True,real_geometry_api_audit_pass
True,step74_candidate_descriptor_schema,True,True,candidate_descriptor_schema_audit_pass
True,step74_candidate_manifest_policy,True,True,candidate_manifest_policy_audit_pass
True,step74_real_geometry_quarantine,True,True,real_geometry_quarantine_audit_pass
True,step74_real_geometry_output_policy,True,True,real_geometry_output_policy_audit_pass
True,step74_full_activation_gate_coverage,True,True,full_activation_gate_coverage_audit_pass
True,step74_no_simulation,True,True,no_simulation_audit_pass
True,step74_step73_regression_guard,True,True,step74_step73_regression_guard_pass
True,step74_artifact_manifest,True,True,artifact_budget_pass
False,runtime_geometry_activation_allowed_still_closed,False,True,runtime_geometry_activation_allowed
False,wall_velocity_activation_allowed_still_closed,False,True,wall_velocity_activation_allowed
False,combined_runtime_geometry_wall_velocity_activation_allowed_still_closed,False,True,combined_runtime_geometry_wall_velocity_activation_allowed
False,real_geometry_activation_allowed_still_closed,False,True,real_geometry_activation_allowed
False,squid_proxy_activation_allowed_still_closed,False,True,squid_proxy_activation_allowed
False,vtr_output_allowed_still_closed,False,True,vtr_output_allowed
False,particle_npy_output_allowed_still_closed,False,True,particle_npy_output_allowed
