metric,value
artifact_check_count,8
artifact_pass_count,8
pass_count,8
row_count,8
step100_48cube_5step_taichi_ggui_visualization_quality_pass,True
step100_48cube_5step_taichi_ggui_visualization_run_matrix_pass,True
step100_activation_feature_count,5
step100_activation_guard_pass,True
step100_artifact_budget_pass,True
step100_completed_lbm_steps,5
step100_ggui_screenshot_count,1
step100_ggui_video_count,0
step100_grid_48_enabled_count,1
step100_grid_64_enabled_count,0
step100_n_grid,48
step100_output_guard_pass,True
step100_particle_npy_count,0
step100_runtime_geometry_enabled_count,1
step100_squid_proxy_enabled_count,1
step100_step96_regression_guard_pass,True
step100_step98_regression_guard_pass,True
step100_step99_regression_guard_pass,True
step100_vtr_count,0
step100_wall_velocity_enabled_count,1
step101_step100_regression_guard_pass,True
