actual,artifact_path,check,expected,pass,summary_key
True,outputs/step100_48cube_5step_taichi_ggui_visualization_run_matrix/48cube_5step_taichi_ggui_visualization_run_matrix.json,step100_matrix_pass,True,True,step100_48cube_5step_taichi_ggui_visualization_run_matrix_pass
True,outputs/step100_48cube_5step_taichi_ggui_visualization_quality/48cube_5step_taichi_ggui_visualization_quality.json,step100_quality_pass,True,True,step100_48cube_5step_taichi_ggui_visualization_quality_pass
True,outputs/step100_activation_guard/activation_guard.json,step100_activation_guard_pass,True,True,step100_activation_guard_pass
True,outputs/step100_output_guard/output_guard.json,step100_output_guard_pass,True,True,output_guard_pass
True,outputs/step100_step99_regression_guard/step99_regression_guard.json,step100_step99_regression_guard_pass,True,True,step100_step99_regression_guard_pass
True,outputs/step100_step98_regression_guard/step98_regression_guard.json,step100_step98_regression_guard_pass,True,True,step100_step98_regression_guard_pass
True,outputs/step100_step96_regression_guard/step96_regression_guard.json,step100_step96_regression_guard_pass,True,True,step100_step96_regression_guard_pass
True,outputs/step100_artifact_manifest/artifact_summary.json,step100_artifact_budget_pass,True,True,artifact_budget_pass
