beta_lbm,stable,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,initial_fluid_mean_ux,final_fluid_mean_ux,initial_solid_mean_vx_norm,final_solid_mean_vx_norm,solid_slowdown_norm,max_cell_force_norm,max_hydro_force_norm,active_force_cell_count,failure_reason
0.0003,True,0.999997615814209,1.0000039339065552,2.6363431970821694e-05,0.9999848008155823,0.1543063223361969,0.0,9.76265596364101e-07,0.15625476837158203,0.15429294109344482,0.001961827278137207,5.918727765674703e-06,5.918727765674703e-06,1584,
0.001,True,0.999991238117218,1.0000110864639282,8.615820843260735e-05,0.9999908208847046,0.14987769722938538,0.0,3.191017640347127e-06,0.15625476837158203,0.14984174072742462,0.00641302764415741,1.911100662255194e-05,1.911100662255194e-05,1584,
0.003,True,0.9999746680259705,1.0000280141830444,0.00024578976444900036,0.9999875426292419,0.13792401552200317,0.0,9.12000541575253e-06,0.15625476837158203,0.13785195350646973,0.018402814865112305,5.2376690291566774e-05,5.2376690291566774e-05,1584,
