step,inlet_mean_ux,inlet_max_ux,mid_mean_ux,mid_max_ux,outlet_mean_ux,outlet_max_ux,outlet_to_mid_mean_ux_ratio,outlet_to_inlet_mean_ux_ratio,rho_min,rho_max,mass_total,has_nan,has_inf
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3840.0,False,False
1,0.02000000700354576,0.020000005140900612,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999403953552,1.0000003576278687,3840.00048828125,False,False
2,0.02000000700354576,0.020000005140900612,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999403953552,1.0102002620697021,3840.73486328125,False,False
3,0.02000000700354576,0.020000005140900612,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999403953552,1.0223238468170166,3841.938720703125,False,False
4,0.02000000700354576,0.020000005140900612,0.0,0.0,5.960463678178485e-09,1.1175868230850483e-08,0.0,2.980230795480105e-07,0.9999999403953552,1.0247325897216797,3842.874755859375,False,False
5,0.02000000700354576,0.020000005140900612,0.0,0.0,1.0523943494433752e-08,1.1175868230850483e-08,0.0,5.261969904594525e-07,0.9999999403953552,1.0249322652816772,3843.7509765625,False,False
6,0.02000000700354576,0.020000005140900612,0.0,0.0,1.6018747217572127e-08,3.352760558072987e-08,0.0,8.009370804086316e-07,0.9999999403953552,1.0247375965118408,3844.662841796875,False,False
7,0.02000000700354576,0.020000005140900612,0.0,0.0,3.324820951888796e-08,4.470347292340193e-08,0.0,1.6624098938062097e-06,0.9999999403953552,1.026475191116333,3845.61376953125,False,False
8,0.02000000700354576,0.020000005140900612,0.0,0.0,2.5099136991002524e-08,4.470347292340193e-08,0.0,1.2549564100928938e-06,0.9999999403953552,1.0260947942733765,3846.565673828125,False,False
9,0.02000000700354576,0.020000005140900612,0.0,0.0,4.242173901047863e-08,4.8428763221863846e-08,0.0,2.1210862077677155e-06,0.9999999403953552,1.0264220237731934,3847.49951171875,False,False
10,0.02000000700354576,0.020000005140900612,0.0,0.0,3.63914232082152e-08,5.774198541530495e-08,0.0,1.8195705232384887e-06,0.9999999403953552,1.026394248008728,3848.41748046875,False,False
11,0.02000000700354576,0.020000005140900612,0.0,0.0,4.691536759082737e-08,6.332992086299782e-08,0.0,2.3457675581068468e-06,0.9999999403953552,1.0260428190231323,3849.3359375,False,False
12,0.02000000700354576,0.020000005140900612,0.0,0.0,4.44939303179126e-08,7.078050145992165e-08,0.0,2.22469573685771e-06,0.9999999403953552,1.0262333154678345,3850.259765625,False,False
13,0.02000000700354576,0.020000005140900612,0.0,0.0,4.9313523931004966e-08,7.078050145992165e-08,0.0,2.4656753331267468e-06,0.9999999403953552,1.0256588459014893,3851.18701171875,False,False
14,0.02000000700354576,0.020000005140900612,0.0,0.0,5.557666327149491e-08,8.940694584680386e-08,0.0,2.778832190490825e-06,0.9999999403953552,1.0260006189346313,3852.1103515625,False,False
15,0.02000000700354576,0.020000005140900612,0.0,0.0,6.381886663575642e-08,8.940694584680386e-08,0.0,3.1909422143923303e-06,0.9999999403953552,1.0253504514694214,3853.028564453125,False,False
16,0.02000000700354576,0.020000005140900612,0.0,0.0,7.69272361367257e-08,1.247972107876194e-07,0.0,3.84636045992821e-06,0.9999999403953552,1.0257656574249268,3853.94287109375,False,False
17,0.02000000700354576,0.020000005140900612,0.0,0.0,8.651985439200871e-08,1.0803339023368608e-07,0.0,4.325991204736568e-06,0.9999999403953552,1.025107979774475,3854.856689453125,False,False
18,0.02000000700354576,0.020000005140900612,0.0,0.0,9.643844123274903e-08,1.5087421445514337e-07,0.0,4.821920373110452e-06,0.9999999403953552,1.0255255699157715,3855.7705078125,False,False
19,0.02000000700354576,0.020000005140900612,0.0,0.0,1.0475049805336312e-07,1.545995047536053e-07,0.0,5.237523068606531e-06,0.9999999403953552,1.0249053239822388,3856.683837890625,False,False
20,0.02000000700354576,0.020000005140900612,0.0,0.0,1.1406370958866319e-07,1.844018271413006e-07,0.0,5.7031834823078345e-06,0.9999999403953552,1.025267481803894,3857.59375,False,False
21,0.02000000700354576,0.020000005140900612,0.0,0.0,1.1771915353619988e-07,1.67638020798222e-07,0.0,5.885955615682019e-06,0.9999999403953552,1.0247198343276978,3858.50146484375,False,False
22,0.02000000700354576,0.020000005140900612,0.0,0.0,1.2188681353109132e-07,1.8812711743976251e-07,0.0,6.094338542455623e-06,0.9999999403953552,1.0249884128570557,3859.406982421875,False,False
23,0.02000000700354576,0.020000005140900612,0.0,0.0,1.2526285786407243e-07,1.6950066594745294e-07,0.0,6.263140699993996e-06,0.9999999403953552,1.0245386362075806,3860.31201171875,False,False
