case,mode,reaction_transfer_mode,n_grid,compare_step,comparison_status,rho_min_delta,rho_max_delta,lbm_max_v_delta,mpm_min_J_delta,projected_mass_delta,active_cell_count_delta,stable_both,notes
mesh_cube,moving_boundary,engineering,48,10,compared,6.556510925292969e-07,-4.76837158203125e-07,-3.4458935260772705e-08,5.960464477539063e-08,1.1324882507324219e-06,0,True,strict quality gate prefix comparison; bitwise identity is not required
mesh_cube,moving_boundary,link_area_experimental,48,10,compared,1.1324882507324219e-06,-3.5762786865234375e-07,6.984919309616089e-09,-1.7881393432617188e-07,-3.159046173095703e-06,0,True,strict quality gate prefix comparison; bitwise identity is not required
mesh_ellipsoid,moving_boundary,engineering,48,10,compared,-1.7881393432617188e-07,-9.5367431640625e-07,2.0954757928848267e-08,-5.960464477539063e-08,-7.450580596923828e-08,0,True,strict quality gate prefix comparison; bitwise identity is not required
mesh_ellipsoid,moving_boundary,link_area_experimental,48,10,compared,5.960464477539062e-07,-2.384185791015625e-07,-2.561137080192566e-08,1.1920928955078125e-07,1.4901161193847656e-08,0,True,strict quality gate prefix comparison; bitwise identity is not required
voxel_sphere,moving_boundary,engineering,48,10,compared,-5.364418029785156e-07,-2.384185791015625e-07,-1.955777406692505e-08,0.0,0.0,0,True,strict quality gate prefix comparison; bitwise identity is not required
voxel_sphere,moving_boundary,link_area_experimental,48,10,compared,-2.980232238769531e-07,-2.384185791015625e-07,7.543712854385376e-08,1.1920928955078125e-07,-3.725290298461914e-08,0,True,strict quality gate prefix comparison; bitwise identity is not required
mesh_cube,moving_boundary,engineering,64,5,not_comparable_step23_overlap_missing,0.0,0.0,0.0,0.0,0.0,0,True,Step 24-only row; accepted through strict stability and quality report gates
mesh_cube,moving_boundary,link_area_experimental,64,5,not_comparable_step23_overlap_missing,0.0,0.0,0.0,0.0,0.0,0,True,Step 24-only row; accepted through strict stability and quality report gates
voxel_sphere,moving_boundary,engineering,64,5,compared,-1.1920928955078125e-07,1.1920928955078125e-07,7.916241884231567e-09,0.0,1.564621925354004e-07,0,True,strict quality gate prefix comparison; bitwise identity is not required
