actual_kind,canonical_module,check,error,expected_kind,pass,symbol
function,src.mpm_lbm.sim.geometry.intake,canonical_symbol_import,,function,True,run_candidate_intake
function,src.mpm_lbm.sim.geometry.intake,canonical_symbol_import,,function,True,run_candidate_quality_check
function,src.mpm_lbm.sim.geometry.intake,canonical_symbol_import,,function,True,run_candidate_sampling_reproducibility
function,src.mpm_lbm.sim.geometry.intake,canonical_symbol_import,,function,True,run_candidate_projection_smoke
function,src.mpm_lbm.sim.geometry.candidate_manifest,canonical_symbol_import,,function,True,validate_candidate_descriptor
function,src.mpm_lbm.sim.geometry.candidate_manifest,canonical_symbol_import,,function,True,candidate_manifest_row
function,src.mpm_lbm.sim.geometry.candidate_manifest,canonical_symbol_import,,function,True,write_candidate_manifest
constant,src.mpm_lbm.sim.geometry.candidate_manifest,canonical_symbol_import,,constant,True,VALID_COMMIT_POLICIES
constant,src.mpm_lbm.sim.geometry.candidate_manifest,canonical_symbol_import,,constant,True,VALIDATION_SCOPE
function,src.mpm_lbm.sim.geometry.fingerprint,canonical_symbol_import,,function,True,fingerprint_geometry_file
function,src.mpm_lbm.sim.geometry.fingerprint,canonical_symbol_import,,function,True,sha256_file
function,src.mpm_lbm.sim.geometry.fingerprint,canonical_symbol_import,,function,True,file_size_bytes
function,src.mpm_lbm.sim.geometry.normalization,canonical_symbol_import,,function,True,geometry_config_from_descriptor
function,src.mpm_lbm.sim.geometry.normalization,canonical_symbol_import,,function,True,normalize_mesh_candidate
function,src.mpm_lbm.sim.geometry.normalization,canonical_symbol_import,,function,True,normalize_voxel_candidate
function,src.mpm_lbm.sim.geometry.normalization,canonical_symbol_import,,function,True,write_normalization_report
function,experiments.steps.real_geometry_feasibility.feasibility,canonical_symbol_import,,function,True,run_projection_only_scale_case
function,experiments.steps.real_geometry_feasibility.feasibility,canonical_symbol_import,,function,True,run_short_driver_case
,src.mpm_lbm.sim.geometry.intake,projection_smoke_imported_but_not_executed,,,True,run_candidate_projection_smoke
,,output_snapshot_unchanged_after_imports,,,True,
