name,row_role,open_boundary_mass_neutral_flux_control_enabled,open_boundary_mass_neutral_flux_control_mode,open_boundary_mass_neutral_mass_error_gain,open_boundary_mass_neutral_mass_error_cap,open_boundary_mass_neutral_correction_blend,open_boundary_mass_neutral_reference_mass_mode,mass_neutral_activation_hash,requested_nx,executed_nx,requested_n_steps,steps_completed,requested_window_completed,finite_pass,density_gate_pass,population_gate_pass,mach_gate_pass,mass_drift_gate_pass,first_failure_step,first_failure_reason,candidate_mass_acceptance_observed_abs,candidate_mass_acceptance_gate_pass,flow_development_gate_pass,outlet_to_inlet_flux_ratio_tail_mean,midplane_to_inlet_flux_ratio_tail_mean,flux_imbalance_rel_tail_mean,flux_imbalance_rel_tail_max,outlet_flux_tail_cv,collapse_first_x,collapse_first_step,controller_authority_ratio_tail_mean,controller_saturation_fraction_tail,density_feedback_tail_mean,mass_neutral_rho_feedback_tail_mean,mass_neutral_rho_feedback_abs_tail_mean,mass_neutral_mass_error_tail_mean,mass_neutral_feedback_saturation_fraction_tail,selected96_claim_allowed,validation_claim_allowed,source_step,source_step142_readiness_hash,source_step142_readiness_path,source_step142_status,source_step142_recommended_design,solver_state_hash,run_manifest_hash
duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p0010_mnhigh_mgain0p50_mcap0p001_blend1p00_out5_250step_mass_neutral_design,mass_neutral_design_diagnostic_48,True,global_mass_error_density_offset,0.5,0.001,1.0,initial,0b16551e3d1932f3269547db4d2aea928a82064a9035b4a410538b114ec27c06,48,48,250,250,True,True,True,True,True,True,,,0.0031636249081530357,True,True,1.0570499946540481,0.93164892004945,0.08579940196467845,0.16855522284809135,0.09161249772040454,,,0.7829724049026315,0.0,-7.77416777385621e-06,-0.0010000000474974513,0.0010000000474974513,0.0033297357996079054,0.8749355566726297,False,False,142,dffbc535dc5ee56bb6a6d9f7f2fbfd9e96c632eb18e2dfec2bd81e76f5af0925,outputs/step142_mass_neutral_plane_flux_design/step142_design_readiness_report.json,design_ready,global_mass_error_density_offset,d5802fc8327cbff6357e64ac54acc778995fcd3a02f6116e7aa5258d8dce3c9a,7152389142aa1bfc108580a773a8410900191866b301eddd6ce7e93c04000a6e
duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p0010_mnmid_mgain0p25_mcap0p0005_blend1p00_out5_250step_mass_neutral_design,mass_neutral_design_diagnostic_48,True,global_mass_error_density_offset,0.25,0.0005,1.0,initial,3abe96b5f6b6be955643074336e1f31d4b467c62d4691adfc4380c348e768b3e,48,48,250,250,True,True,True,True,True,True,,,0.0035692441260187445,True,True,1.0580051072729135,0.9344342054273153,0.087043689239995,0.17477680669567414,0.09405383907730039,,,0.7836675158504284,0.0,-7.78167838110345e-06,-0.0005000000237487257,0.0005000000237487257,0.0036908840252594514,0.8749355566726297,False,False,142,dffbc535dc5ee56bb6a6d9f7f2fbfd9e96c632eb18e2dfec2bd81e76f5af0925,outputs/step142_mass_neutral_plane_flux_design/step142_design_readiness_report.json,design_ready,global_mass_error_density_offset,d5802fc8327cbff6357e64ac54acc778995fcd3a02f6116e7aa5258d8dce3c9a,db34718a5468459b38e1708dd48a0a784d680547499b519d15462e5addd55a07
duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p0010_mnlow_mgain0p10_mcap0p00025_blend1p00_out5_250step_mass_neutral_design,mass_neutral_design_diagnostic_48,True,global_mass_error_density_offset,0.1,0.00025,1.0,initial,b60ecfcffa4f311a874a1101a82c3f2960792595d42306ce77a2b1bc80077ce3,48,48,250,250,True,True,True,True,True,True,,,0.00377272064348644,True,True,1.0581962320999543,0.9358208422152386,0.08744392896943987,0.17753957338705964,0.09506527440969767,,,0.7841202176430009,0.0,-7.786352646441877e-06,-0.0002500000118743628,0.0002500000118743628,0.0039012222762473607,0.8570692076258624,False,False,142,dffbc535dc5ee56bb6a6d9f7f2fbfd9e96c632eb18e2dfec2bd81e76f5af0925,outputs/step142_mass_neutral_plane_flux_design/step142_design_readiness_report.json,design_ready,global_mass_error_density_offset,d5802fc8327cbff6357e64ac54acc778995fcd3a02f6116e7aa5258d8dce3c9a,55a91f3ba914edc18190abf017ee06dec4dd23484546a9c0d7dc5fa5ca6a08a8
duct_only_48_regularized_plane_flux_controlled_gain0p75_cap0p0075_rho0p0010_mndisabled_mgainoff_mcap0_blend0p00_out5_250step_mass_neutral_design,mass_neutral_design_diagnostic_48,False,disabled,0.0,0.0,0.0,initial,0096f557cd5788bafc5b29c4e070a8a52e1145fb0a2291c4ad324469012879db,48,48,250,250,True,True,True,True,True,True,,,0.003974863988826804,True,True,1.0589469344632336,0.9372161279428126,0.08826485542410979,0.18087974336724078,0.09651149130583905,,,0.7843610576607964,0.0,-7.789168772763912e-06,0.0,0.0,0.0,0.0,False,False,142,dffbc535dc5ee56bb6a6d9f7f2fbfd9e96c632eb18e2dfec2bd81e76f5af0925,outputs/step142_mass_neutral_plane_flux_design/step142_design_readiness_report.json,design_ready,global_mass_error_density_offset,d5802fc8327cbff6357e64ac54acc778995fcd3a02f6116e7aa5258d8dce3c9a,7dc106fc052ecf66c89ee817a9590f44c6e7e0524cf5215ba62d4fd475eae747
