phase,sample_index,region_id,point_count,original_bbox_min_x,original_bbox_min_y,original_bbox_min_z,original_bbox_max_x,original_bbox_max_y,original_bbox_max_z,displaced_bbox_min_x,displaced_bbox_min_y,displaced_bbox_min_z,displaced_bbox_max_x,displaced_bbox_max_y,displaced_bbox_max_z,bbox_delta_norm,displacement_norm_min,displacement_norm_max,displacement_norm_mean,original_hash,displaced_summary_hash,bounds_pass,coverage_pass,finite_pass,diagnostic_only,persist_displaced_geometry,write_displaced_particles,write_dense_displacement_field,write_vtk,mutate_original_geometry
0.0,0,mantle_outer,648,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.0,0.0,0.0,0.0,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,d403b705b02c75aa5fc8ee9284bcf1328aa462ffee78664a7b4bc16685a7018e,True,True,True,True,False,False,False,False,False
0.0,0,mantle_cavity_proxy,100,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.0,0.0,0.0,0.0,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,5a135d2ae8a69836ae8fc2dfdeeb427e5b650c53692b24a33bc2789bf8d7e586,True,True,True,True,False,False,False,False,False
0.0,0,funnel_outlet_proxy,8,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.0,0.0,0.0,0.0,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,3c51c41872395e603f6415ef113dba8c804d7aec84de2c69d725b7c5b1c42485,True,True,True,True,False,False,False,False,False
0.2,16,mantle_outer,648,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.37201741505100505,0.3740210744760695,0.4024212074037007,0.627982584948995,0.7824727317387421,0.5975787925962993,0.04516337991688898,0.0025691596208198483,0.015759237190184246,0.011920749013988355,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,1a17b890454ad339415720eecfa4182e7d3ded0b724f76c643f01df7987e97ed,True,True,True,True,False,False,False,False,False
0.2,16,mantle_cavity_proxy,100,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.42878496272889344,0.523017001728861,0.45727097763733604,0.5712150372711066,0.6939330911795168,0.542729022362664,0.023125158400421748,0.002151679153078742,0.009397392965990759,0.006131610418731655,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,2678facfcba39d6c1d3f40c579a388d80b1617f2e0aeaf754106dbab530b276c,True,True,True,True,False,False,False,False,False
0.2,16,funnel_outlet_proxy,8,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.04419417382415922,0.02209708691207961,0.02209708691207961,0.02209708691207961,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,98d004d6d84fbe345d176892c5d6fdb6026c642164ec91d1edb4130e4a893157,True,True,True,True,False,False,False,False,False
0.35,28,mantle_outer,648,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.38022282866584006,0.3835269401215954,0.4100773997089872,0.6197771713341599,0.773125105703791,0.5899226002910127,0.07447615053602374,0.004236643028563499,0.025987588251121133,0.019657773614413485,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,4acf9c619e74775a0fa8534359ea93a1adae7db939ded0564450435c4217606f,True,True,True,True,False,False,False,False,False
0.35,28,mantle_cavity_proxy,100,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.43410682302330084,0.5287101149974063,0.4604640938139805,0.5658931769766992,0.6868537397414842,0.5395359061860195,0.04093550950093999,0.003808842339096055,0.01663500255359828,0.010854005503697394,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,50b5e0d4226f96e2ef473d941cf23da500a8c8cb4b652682f3d4f16612be5674,True,True,True,True,False,False,False,False,False
0.35,28,funnel_outlet_proxy,8,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.46875,0.390625,0.46875,0.53125,0.421875,0.53125,0.04419417382415922,0.02209708691207961,0.02209708691207961,0.02209708691207961,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,90e8714da8c46c36b966e11a76d556d827c39647a82f13d6140c55cee8b57c5c,True,True,True,True,False,False,False,False,False
0.5,40,mantle_outer,648,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.3774045286595795,0.3802619759813524,0.40744773984846416,0.6225954713404205,0.7763357195435607,0.5925522601515358,0.06440814110989766,0.0036639152272510923,0.02247447322582165,0.017000350417562874,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,14ff99ee6b9ceb7c43fc49617fcaaab5a39f1ce0b7dbe410523cbb0982dce878,True,True,True,True,False,False,False,False,False
0.5,40,mantle_cavity_proxy,100,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.43218398481043957,0.5266531395908158,0.45931039088626374,0.5678160151895605,0.6894115760457609,0.5406896091137363,0.034500462020166954,0.003210093683035014,0.014019986090380014,0.009147759713077375,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,2b329d9fdcc902b1c7024b65a278e2df87a8a08d78f7c6488ad34d7232a84a92,True,True,True,True,False,False,False,False,False
0.5,40,funnel_outlet_proxy,8,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.0,0.0,0.0,0.0,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,ded40fd3219ed95a080ecc1bc20734de5a9ec1b0c7f886eb95c1e960c0ddc02b,True,True,True,True,False,False,False,False,False
1.0,80,mantle_outer,648,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.359375,0.359375,0.390625,0.640625,0.796875,0.609375,0.0,0.0,0.0,0.0,1c08c6a2724efa6e6b00e2cb29720df2c4b0049f6ebb59dc57a57a9ccbbc440b,18a9c0c9205529fa8cd3470a684dbbfcce4b80e8c0eff77fd75e7ad7e63926cb,True,True,True,True,False,False,False,False,False
1.0,80,mantle_cavity_proxy,100,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.421875,0.515625,0.453125,0.578125,0.703125,0.546875,0.0,0.0,0.0,0.0,9378eda9febf64868f3c6b05a64aebe33fe58d8c3a9c6e4875478c1985493f15,1ed424ea18857869d8b825f795072196de14d8c3e3d4388bbfb7a2dcd5a5ad90,True,True,True,True,False,False,False,False,False
1.0,80,funnel_outlet_proxy,8,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.484375,0.390625,0.484375,0.515625,0.421875,0.515625,0.0,0.0,0.0,0.0,1a67bb0859bd670ef1dc980b6bc4d75f8a816f41d8f4fb23df7b8d1d2f2a2284,f832f9c242d8e3f72c825a98dca2cced3da5c32cb15c27dfc62ccd3f43c0b4ec,True,True,True,True,False,False,False,False,False
