step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
25,43.58145830855584,0.6806401016933182,42.90081820686252,0.9843823468027526
50,43.782274916113494,3.7418156172069317,40.04045929890656,0.9145358338648181
75,43.78933497783267,7.251370542483192,36.53796443534947,0.8344032731679065
100,43.792619978941914,63.41498201948319,19.622362040541276,0.3094278578288114
125,43.64377387575063,103.98325270565402,60.33947882990339,0.5802807400217292
150,43.400041219339464,113.19255638437534,69.79251516503587,0.6165821975787602
175,43.975240797823375,85.77742255828079,41.802181760457415,0.4873331526376332
200,40.802894188945416,50.92709276696287,10.124198578017456,0.19879788984509178
225,38.81217656007446,45.17883862700315,6.36666206692869,0.1409213308799702
250,39.38663256386415,71.55316204910181,32.16652948523767,0.4495472815466084
