canonical_file_exists,canonical_imports_legacy_root,canonical_module,canonical_path,canonical_public_symbols,classification,classification_decision,extra_public_symbols,legacy_contains_implementation_body,legacy_file_exists,legacy_is_shim,legacy_module,legacy_path,missing_symbols,pass,policy_public_symbols,policy_symbol_list_matches_canonical_ast,source_migration_required
True,False,src.mpm_lbm.sim.squid_proxy.region_projection,src/mpm_lbm/sim/squid_proxy/region_projection.py,"[""run_squid_region_projection_smoke"", ""summarize_projection_rows"", ""write_projection_results""]",squid_proxy_support,,[],False,True,True,src.squid_region_projection,src/squid_region_projection.py,[],True,"[""run_squid_region_projection_smoke"", ""summarize_projection_rows"", ""write_projection_results""]",True,True
True,False,src.mpm_lbm.sim.squid_proxy.region_quality,src/mpm_lbm/sim/squid_proxy/region_quality.py,"[""evaluate_region_quality"", ""overlap_matrix_rows"", ""summarize_overlap_diagnostics""]",squid_proxy_support,,[],False,True,True,src.squid_region_quality,src/squid_region_quality.py,[],True,"[""evaluate_region_quality"", ""overlap_matrix_rows"", ""summarize_overlap_diagnostics""]",True,True
True,False,src.mpm_lbm.diagnostics.squid_region_driver,src/mpm_lbm/diagnostics/squid_region_driver.py,"[""SEMANTIC_OVERLAP_NOTE"", ""SCOPE_NOTE"", ""ALIGNMENT_FIELDS"", ""ENGINEERING_LINK_AREA_FIELDS"", ""load_region_driver_context"", ""summarize_region_projection_alignment"", ""summarize_static_driver_region_context"", ""summarize_alignment_rows"", ""assert_alignment_summary"", ""compare_engineering_vs_link_area_static"", ""summarize_engineering_vs_link_area_rows"", ""assert_engineering_vs_link_area_summary"", ""write_region_driver_summary""]",squid_region_diagnostics,diagnostics path used because this module only summarizes diagnostics/report rows and is not a runtime solver component,[],False,True,True,src.squid_region_driver_diagnostics,src/squid_region_driver_diagnostics.py,[],True,"[""SEMANTIC_OVERLAP_NOTE"", ""SCOPE_NOTE"", ""ALIGNMENT_FIELDS"", ""ENGINEERING_LINK_AREA_FIELDS"", ""load_region_driver_context"", ""summarize_region_projection_alignment"", ""summarize_static_driver_region_context"", ""summarize_alignment_rows"", ""assert_alignment_summary"", ""compare_engineering_vs_link_area_static"", ""summarize_engineering_vs_link_area_rows"", ""assert_engineering_vs_link_area_summary"", ""write_region_driver_summary""]",True,True
True,False,src.mpm_lbm.sim.wall_velocity.application_envelope,src/mpm_lbm/sim/wall_velocity/application_envelope.py,"[""APPLICATION_TIMESERIES_FIELDS"", ""collect_wall_velocity_application_reports"", ""reports_to_timeseries_rows"", ""summarize_application_envelope"", ""summarize_driver_stability_envelope"", ""compare_static_experimental_envelopes"", ""compare_engineering_link_area_envelopes"", ""write_envelope_rows"", ""write_timeseries""]",wall_velocity_support,,[],False,True,True,src.wall_velocity_application_envelope,src/wall_velocity_application_envelope.py,[],True,"[""APPLICATION_TIMESERIES_FIELDS"", ""collect_wall_velocity_application_reports"", ""reports_to_timeseries_rows"", ""summarize_application_envelope"", ""summarize_driver_stability_envelope"", ""compare_static_experimental_envelopes"", ""compare_engineering_link_area_envelopes"", ""write_envelope_rows"", ""write_timeseries""]",True,True
True,False,src.mpm_lbm.sim.wall_velocity.consistency,src/mpm_lbm/sim/wall_velocity/consistency.py,"[""compare_wall_velocity_to_motion_mapping""]",wall_velocity_support,,[],False,True,True,src.wall_velocity_consistency,src/wall_velocity_consistency.py,[],True,"[""compare_wall_velocity_to_motion_mapping""]",True,True
True,False,src.mpm_lbm.sim.wall_velocity.quality,src/mpm_lbm/sim/wall_velocity/quality.py,"[""analyze_wall_velocity_quality"", ""quality_summary_rows""]",wall_velocity_support,,[],False,True,True,src.wall_velocity_quality,src/wall_velocity_quality.py,[],True,"[""analyze_wall_velocity_quality"", ""quality_summary_rows""]",True,True
