case,mode,geometry_type,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,completed_lbm_steps,total_mpm_substeps,rho_min_global,rho_max_global,rho_span_global,lbm_max_v_global,mpm_min_J_global,mpm_max_speed_global,solid_vx_initial,solid_vx_final,solid_vx_drift,projection_zone_ux_initial,projection_zone_ux_final,bb_link_count_min,bb_link_count_max,active_reaction_particle_count_min,active_reaction_particle_count_max,cell_force_max_norm,hydro_force_max_norm,estimated_memory_mb,stable,well_behaved,elapsed_seconds,notes
step16_box_48_short,moving_boundary,box,48,13824,10,10,10,100,0.9888914823532104,1.0172829627990723,0.028391480445861816,0.00898140762001276,0.9971734881401062,0.06890919059515,0.026045124977827072,0.033334385603666306,0.007289260625839233,0.0,0.00026244757464155555,6120,6120,8622,8622,0.0,0.4111795425415039,27.158203125,True,True,84.71584780002013,Step 16 threshold regression after Step 17 diagnostics
step16_box_64_feasibility,moving_boundary,box,64,32768,5,5,5,25,0.9922733306884766,1.0027772188186646,0.010503888130187988,0.005351944360882044,0.9955477118492126,0.04163375869393349,0.01952994056046009,0.0212565828114748,0.0017266422510147095,0.0,0.00016246200539171696,11186,11186,16570,16570,0.0,0.4023546278476715,64.375,True,True,148.3568277999875,Step 16 threshold regression after Step 17 diagnostics
