case,mode_class,reaction_transfer_mode,rho_min_global,rho_max_global,lbm_max_v_global,mpm_min_J_global,mpm_max_speed_global,projected_mass_min,projected_mass_max,hydro_force_max_norm,bb_link_count_min,bb_link_count_max,bb_max_correction_max,max_grid_reaction_norm,max_applied_velocity_norm,wall_velocity_cap_lbm,has_nan,has_inf,envelope_pass
experimental_48_moving_boundary,experimental,engineering,0.9811668395996094,1.01199471950531,0.012894898653030396,0.9909353256225586,0.08123779296875,0.02294035442173481,0.02294038236141205,0.4212455153465271,6594,6640,0.003309197025373578,1.0533604836382437e-05,0.007021783310068709,0.01,False,False,True
static_48_moving_boundary,static,engineering,0.9863417744636536,1.009404182434082,0.010386716574430466,0.990933895111084,0.08123525232076645,0.022940345108509064,0.022940391674637794,0.4204603135585785,6594,6640,0.002554181730374694,1.0533604836382437e-05,0.0,0.0,False,False,True
experimental_48_link_area,experimental,link_area_experimental,0.9811670780181885,1.0119866132736206,0.012898633256554604,0.9909787774085999,0.08109811693429947,0.022940346971154213,0.02294039912521839,0.4212471842765808,6594,6640,0.0033091644290834665,1.053360119840363e-05,0.007021783310068709,0.01,False,False,True
static_48_link_area,static,link_area_experimental,0.9863680005073547,1.0094081163406372,0.010369665920734406,0.9909774661064148,0.08109559863805771,0.02294035255908966,0.022940397262573242,0.4204619526863098,6594,6640,0.002548124874010682,1.0533602107898332e-05,0.0,0.0,False,False,True
