step,rho_min,rho_max,rho_mean,mass_total,mass_total_delta_from_initial,mass_total_delta_rel,inlet_mean_ux,outlet_mean_ux,midplane_mean_ux,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel,max_v,mach_proxy_observed
0,1.0,1.0,1.0,101568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.9978326559066772,1.055232286453247,1.0105698817968838,102641.5617543459,1073.5617543458939,0.0105698817968838,0.019879631172612114,0.0012300503482564136,0.0,43.58145830855584,2.5971602725760636,40.984298035979776,0.9404067607332407,0.02714633025206297,0.04701882323561712
50,0.9964202642440796,1.0533294677734375,1.0204730140439644,103647.40309041739,2079.403090417385,0.02047301404396449,0.019958848682969866,0.0020161581372917896,0.021293256758397095,43.78227480669423,4.250941476157427,39.5313333305368,0.9029072496820684,0.027247830215285082,0.04719462632888419
75,0.9956747889518738,1.0478723049163818,1.0300645349458066,104621.59468537569,3053.5946853756905,0.030064534945806656,0.019955042704749706,0.002955374834577761,0.021116300273223625,43.78932783762673,6.226938360404654,37.56238947722208,0.8577978090119472,0.02801968148733585,0.048531511947962784
100,0.9805735349655151,1.0386717319488525,1.0250894258276482,104116.28280246258,2548.282802462578,0.025089425827648254,0.01994316241860615,0.03960849075060556,0.021820656772806805,43.65808238690817,83.66797297740979,40.00989059050162,0.4781983973880211,0.04739594140659807,0.08209217858878538
125,0.9874739646911621,1.035589575767517,1.0157676886294151,103169.49259871244,1601.4925987124443,0.015767688629415213,0.019951425226042593,0.03796610657727814,0.03142715458421913,43.54481769322068,80.42869295679796,36.88387526357728,0.45859100661239577,0.04700962101874293,0.08142305204902058
150,0.9882878065109253,1.0338159799575806,1.0068568758074976,102264.43916201591,696.4391620159149,0.006856875807497587,0.019953734406035935,0.037284953243078026,0.037657686237409525,43.475972972877855,79.11698541098488,35.641012438107026,0.4504849654339649,0.04539277607857943,0.07862259446469672
175,0.9675662517547607,1.0037777423858643,0.9975296834045957,101317.09488403797,-250.9051159620285,-0.002470316595404345,0.019664360184771745,0.03581921839804894,0.03592211361202043,40.30025843123779,76.07514388528415,35.774885454046355,0.4702572171009274,0.041447238567221115,0.07178872303185525
200,0.9603272080421448,1.0042046308517456,0.989480371565852,100499.54237920046,-1068.4576207995415,-0.010519628434147974,0.02006443760785607,0.033730424337493105,0.033916617437337995,41.28420993579205,71.67203943410354,30.38782949831149,0.42398443993282153,0.03925131000805819,0.06798526319759354
225,0.9638640880584717,1.0042694807052612,0.9822875192880668,99768.97875905037,-1799.0212409496307,-0.017712480711933196,0.019957999744591618,0.032670925411511044,0.017104093110953462,41.15670027246127,69.42447078718985,28.267770514728575,0.40717300678285506,0.03740336506515422,0.06478452866689391
250,0.9667099714279175,1.003313422203064,0.9780822297324624,99341.85590946674,-2226.1440905332565,-0.021917770267537575,0.019954328697231124,0.011058512605377335,0.017351104440920792,41.21424440315624,23.473515969182426,17.740728433973818,0.4304513813339547,0.026924954673426798,0.046635389485864306
