step,time_s,total_displacement_m,x_displacement_m,y_displacement_m,z_displacement_m
0,0.0,0.0,0.0,0.0,0.0
1,0.0005,2.8349826313165366e-07,5.960464477539063e-08,-2.7716159820556643e-07,0.0
2,0.001,8.346778734414722e-07,1.7285346984863283e-07,-8.165836334228516e-07,0.0
3,0.0015,1.6377399812192455e-06,3.3378601074218753e-07,-1.603364944458008e-06,0.0
4,0.002,2.6739858697715822e-06,5.364418029785156e-07,-2.619624137878418e-06,0.0
5,0.0025,3.932941247891525e-06,7.867813110351563e-07,-3.853440284729004e-06,0.0
6,0.003,5.398803188113909e-06,1.0788440704345704e-06,-5.289912223815918e-06,0.0
7,0.0035,7.05405106384233e-06,1.412630081176758e-06,-6.911158561706543e-06,0.0
8,0.004,8.884091798728328e-06,1.7881393432617188e-06,-8.702278137207031e-06,0.0
9,0.0045000000000000005,1.0874347989290976e-05,2.205371856689453e-06,-1.0648369789123535e-05,0.0
10,0.005,1.3008568635658017e-05,2.6702880859375003e-06,-1.2731552124023439e-05,0.0
11,0.0055,1.527395190038054e-05,3.1769275665283206e-06,-1.493990421295166e-05,0.0
12,0.006,1.765726235285106e-05,3.731250762939453e-06,-1.7258524894714356e-05,0.0
13,0.006500000000000001,2.0145732436448834e-05,4.32729721069336e-06,-1.9675493240356447e-05,0.0
14,0.007,2.2729148692982008e-05,4.9710273742675785e-06,-2.2178888320922853e-05,0.0
15,0.0075,2.5401909618494096e-05,5.662441253662109e-06,-2.4762749671936038e-05,0.0
16,0.008,2.8155530790021823e-05,6.4015388488769535e-06,-2.7418136596679688e-05,0.0
17,0.0085,3.099025543087104e-05,7.18832015991211e-06,-3.014504909515381e-05,0.0
18,0.009000000000000001,3.390342282566292e-05,8.022785186767578e-06,-3.294050693511963e-05,0.0
19,0.0095,3.689816002686715e-05,8.90493392944336e-06,-3.580749034881592e-05,0.0
20,0.01,3.9976147507582556e-05,9.840726852416994e-06,-3.874599933624268e-05,0.0
21,0.0105,4.314483148728612e-05,1.0824203491210939e-05,-4.1764974594116214e-05,0.0
22,0.011,4.6411654888030706e-05,1.1861324310302734e-05,-4.4870376586914067e-05,0.0
23,0.0115,4.978102864993117e-05,1.2946128845214845e-05,-4.806816577911377e-05,0.0
24,0.012,5.326611733536603e-05,1.4084577560424805e-05,-5.137026309967041e-05,0.0
25,0.0125,5.687117921430728e-05,1.5270709991455077e-05,-5.4782629013061525e-05,0.0
26,0.013000000000000001,6.0609324116269314e-05,1.6510486602783203e-05,-5.831718444824219e-05,0.0
27,0.0135,6.448632309852681e-05,1.780390739440918e-05,-6.197988986968995e-05,0.0
28,0.014,6.851077892879364e-05,1.915097236633301e-05,-6.57796859741211e-05,0.0
29,0.0145,7.268671331876591e-05,2.054572105407715e-05,-6.972253322601318e-05,0.0
30,0.015,7.702146146894607e-05,2.199411392211914e-05,-7.381439208984376e-05,0.0
31,0.0155,8.151784086391731e-05,2.3496150970458987e-05,-7.805824279785157e-05,0.0
32,0.016,8.61729599797863e-05,2.505183219909668e-05,-8.245110511779786e-05,0.0
33,0.0165,9.098963818139986e-05,2.6661157608032227e-05,-8.69959592819214e-05,0.0
34,0.017,9.596214720183713e-05,2.8324127197265628e-05,-9.168684482574463e-05,0.0
35,0.0175,0.00010108762230111162,3.0040740966796875e-05,-9.652078151702882e-05,0.0
36,0.018000000000000002,0.00010635751969024632,3.181099891662598e-05,-0.00010148882865905762,0.0
37,0.0185,0.0001117604748268489,3.3634901046752934e-05,-0.00010657906532287598,0.0
38,0.019,0.00011729083028134308,3.551244735717774e-05,-0.00011178553104400635,0.0
39,0.0195,0.00012293442437133205,3.744363784790039e-05,-0.00011709332466125488,0.0
40,0.02,0.00012867996433063916,3.94284725189209e-05,-0.00012249052524566651,0.0
41,0.0205,0.00013451151063074526,4.146099090576172e-05,-0.00012796223163604736,0.0
42,0.021,0.0001404196432230963,4.354715347290039e-05,-0.0001334965229034424,0.0
43,0.021500000000000002,0.00014639032382156856,4.5686960220336914e-05,-0.0001390784978866577,0.0
44,0.022,0.00015240955329981062,4.788041114807129e-05,-0.00014469325542449952,0.0
45,0.0225,0.00015846714462701482,5.012154579162598e-05,-0.00015033185482025147,0.0
46,0.023,0.00016455103379661094,5.241632461547852e-05,-0.00015597939491271973,0.0
47,0.0235,0.0001706539020074283,5.475878715515137e-05,-0.00016162991523742677,0.0
48,0.024,0.0001767646842117669,5.7148933410644535e-05,-0.0001672714948654175,0.0
49,0.0245,0.00018287711866856222,5.959272384643555e-05,-0.0001728951930999756,0.0
50,0.025,0.00018898675681382172,6.208419799804688e-05,-0.00017849802970886232,0.0
