step,inlet_flux,outlet_flux,flux_imbalance_abs,flux_imbalance_rel
0,0.0,0.0,0.0,0.0
25,43.58145830855584,3.237731070021989,40.34372723853385,0.9257085192721428
50,43.782275152014904,3.2018669870667296,40.580408164948174,0.9268684193329461
75,43.789234421385444,4.238203848409305,39.55103057297614,0.9032135659732045
100,43.64637224519103,79.01098370643606,35.36461146124503,0.4475910791421308
125,43.58397344967632,78.86804099694965,35.284067547273324,0.44738105703218867
150,43.59284928907357,79.36110010163408,35.76825081256051,0.45070255788735
175,40.55536892700553,73.74954394052153,33.194175013516,0.45009329197054915
200,41.4792455471315,74.34455608490376,32.86531053777226,0.44206747969870275
225,41.19652909975308,74.43150651485124,33.23497741509816,0.4465175967984313
250,41.19674469485384,32.62445817445,8.572286520403843,0.2080816478073488
275,41.28478056349482,16.294132585139216,24.990647978355604,0.605323502686921
300,41.276693453275804,14.645507074625865,26.63118637864994,0.6451870087122115
325,41.37732621183763,14.229317815338188,27.14800839649944,0.6561083298981429
350,42.849240025030646,17.06841435329178,25.780825671738867,0.6016635454136139
375,43.09328713331143,16.826846659739957,26.26644047357147,0.6095251075257919
400,43.174602960187,18.471183575733797,24.703419384453206,0.5721747900550053
425,43.03328684733491,63.40893893251551,20.375652085180604,0.32133721882439764
450,43.107238483588944,62.7298183255678,19.622579841978855,0.3128110421129813
475,43.09217549370712,64.21040440506216,21.118228911355047,0.32889107469458867
500,42.196998429148515,62.597376174126424,20.40037774497791,0.32589828826419825
