mode,stable,fluid_mean_ux_initial,fluid_mean_ux_final,projection_zone_ux_initial,projection_zone_ux_final,solid_mean_vx_initial,solid_mean_vx_final,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,active_force_or_bb_link_count,cell_force_max_norm,hydro_force_max_norm
penalty,True,0.0,1.451979301236861e-06,0.0,3.118352105957456e-05,0.15625476837158203,0.15365304052829742,0.9999890923500061,1.0000134706497192,4.151002940488979e-05,0.9999932646751404,0.1536901295185089,1584,1.9631354007287882e-05,1.9631354007287882e-05
moving_boundary,True,0.0,0.000575243728235364,0.0,0.0012939386069774628,0.15625476837158203,0.1509043574333191,0.9851434230804443,1.014919638633728,0.021358672529459,0.9723307490348816,0.2192055881023407,2322,0.0,0.40216323733329773
