step,lbm_open_boundary_semantics,row_role,step135_interior_reflection_candidate,step136_ramped_throughput_calibration_candidate,step137_ramp_target_refinement_candidate,step138_high_authority_outlet_candidate,step134_outlet_stationarity_candidate,step133_mass_damped_candidate,step132_authority_sweep_candidate,open_boundary_flux_control_measure_plane_offset,open_boundary_outlet_flux_drop_guard_enabled,open_boundary_outlet_flux_drop_guard_min_ratio,open_boundary_inlet_ramp_steps,open_boundary_inlet_ramp_profile,open_boundary_inlet_ramp_factor,open_boundary_flux_control_target_scale,target_outlet_flux,outlet_flux_raw_before_correction,outlet_flux_after_correction,outlet_flux_error,outlet_flux_error_filtered,correction_gain_effective,flow_correction_cap_u,correction_delta_abs_sum,correction_delta_abs_sum_run,controller_target_outlet_flux,controller_measured_outlet_flux,controller_raw_flux_error,controller_filtered_flux_error,controller_u_feedback,controller_u_feedback_abs,controller_density_feedback,controller_density_feedback_abs,controller_delta_cap_u,controller_slew_alpha,controller_authority_ratio,controller_saturation_count_step,controller_saturation_count_run,controller_saturation_fraction_run,controller_measure_plane_offset,controller_target_scale,controller_drop_guard_active_step,controller_drop_guard_activation_count_run,controller_drop_guard_activation_fraction_run,controller_drop_guard_reference_flux,controller_true_outlet_flux_for_guard,outlet_plane_ux_min,outlet_plane_ux_max,outlet_plane_ux_mean,outlet_plane_negative_ux_fraction,outlet_plane_rho_mean,outlet_plane_rho_std,midplane_flux,near_outlet_flux_xminus1,near_outlet_flux_xminus2,near_outlet_flux_xminus3,near_outlet_to_outlet_flux_ratio,x_profile_flux_samples,x_profile_ux_mean_samples,x_profile_rho_mean_samples,sampled_x_profile_flux,mass_total_delta_rel,validation_claim_allowed,selected96_claim_allowed
0,regularized_plane_flux_controlled_pressure_outlet,tiny_smoke,False,False,False,False,False,False,False,2,True,0.7,10,linear,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.5,0.0,0,0,0.0,2,0.85,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""0"":0.0,""2"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""7"":0.0}","{""0"":0.0,""2"":0.0,""4"":0.0,""5"":0.0,""6"":0.0,""7"":0.0}","{""0"":1.0,""2"":1.0,""4"":1.0,""5"":1.0,""6"":1.0,""7"":1.0}",0:0;2:0;4:0;5:0;6:0;7:0,0.0,False,False
5,regularized_plane_flux_controlled_pressure_outlet,tiny_smoke,False,False,False,False,False,False,False,2,True,0.7,10,linear,0.5,0.85,0.11715239264040699,0.0011537093756379818,0.0011537093756379818,0.115998683264769,0.0035907500423491,0.75,0.0075,0.009055443108081818,0.016100117936730385,0.08401341736316681,5.058944225311279e-06,0.0840083584189415,0.0035907500423491,0.00011296872253296897,0.00011296872253296897,2.244218819669186e-07,2.244218819669186e-07,0.0005,0.5,0.015062496337729197,0,0,0.0,2,0.85,0,0,0.0,0.08401341736316681,0.0005370546132326126,6.6463413531892e-05,7.774308323860168e-05,7.211547563201748e-05,0.0,0.9998801983892918,4.45479927327536e-08,0.0001671351483500177,0.0002548024066587517,3.1458213432099234e-05,0.0001671351483500177,0.22085493282729912,"{""0"":0.13782634428283175,""2"":0.01952501772364266,""4"":0.0001671351483500177,""5"":3.1458213432099234e-05,""6"":0.0002548024066587517,""7"":0.0011537093756379818}","{""0"":0.008475204114802182,""2"":0.001217994013131829,""4"":1.0445830241678777e-05,""5"":1.966143372555962e-06,""6"":1.5925524678550573e-05,""7"":7.211547563201748e-05}","{""0"":1.0164113715291023,""2"":1.001850701868534,""4"":1.0000102147459984,""5"":0.9999975450336933,""6"":0.9999768510460854,""7"":0.9998801983892918}",0:0.137826344283;2:0.0195250177236;4:0.00016713514835;5:3.14582134321e-05;6:0.000254802406659;7:0.00115370937564,0.003224635496735573,False,False
10,regularized_plane_flux_controlled_pressure_outlet,tiny_smoke,False,False,False,False,False,False,False,2,True,0.7,10,linear,1.0,0.85,0.27266744899327344,0.012017354517245143,0.012017354517245143,0.26065009447602827,0.02067016437649727,0.75,0.0075,0.06285429745912552,0.20190240442752838,0.24419309198856354,0.0067742615938186646,0.23741883039474487,0.02067016437649727,0.0007843872299417853,0.0007843872299417853,1.2918853826704435e-06,1.2918853826704435e-06,0.0005,0.5,0.10458496399223804,0,0,0.0,2,0.85,0,0,0.0,0.24419309198856354,0.008406952023506165,0.0006358810351230204,0.0008739355835132301,0.0007521016195823904,0.0,0.9986474104225636,4.042458391124433e-06,0.04556099315610976,0.00835878037969881,0.015493523344444773,0.04556099315610976,0.6955591072647307,"{""0"":0.3207852341097335,""2"":0.17940054953797158,""4"":0.04556099315610976,""5"":0.015493523344444773,""6"":0.00835878037969881,""7"":0.012017354517245143}","{""0"":0.01929225167259574,""2"":0.010975868557579815,""4"":0.0028338194533716887,""5"":0.0009673286040197127,""6"":0.0005226580524322344,""7"":0.0007521016195823904}","{""0"":1.0393243208527565,""2"":1.0215773582458496,""4"":1.0047778189182281,""5"":1.0010158196091652,""6"":0.9995472282171249,""7"":0.9986474104225636}",0:0.32078523411;2:0.179400549538;4:0.0455609931561;5:0.0154935233444;6:0.0083587803797;7:0.0120173545172,0.013459180947393179,False,False
15,regularized_plane_flux_controlled_pressure_outlet,tiny_smoke,False,False,False,False,False,False,False,2,True,0.7,10,linear,1.0,0.85,0.2858364499605536,0.08817699339908877,0.08817699339908877,0.1976594565614648,0.04050413891673088,0.75,0.0075,0.13961182534694672,0.7558888792991638,0.2926936745643616,0.12030283361673355,0.17239084094762802,0.04050413891673088,0.0017426147824153304,0.0017426147824153304,2.5315086986665847e-06,2.5315086986665847e-06,0.0005,0.5,0.2323486376553774,0,0,0.0,2,0.85,0,0,0.0,0.2926936745643616,0.05777619779109955,0.0040375725366175175,0.007155945524573326,0.005529597256099805,0.0,0.9966620318591595,7.219322171790866e-05,0.22696518512147834,0.10749014738548285,0.16161617426627667,0.22696518512147834,1.2190271321566024,"{""0"":0.3362781764241807,""2"":0.3289819857916977,""4"":0.22696518512147834,""5"":0.16161617426627667,""6"":0.10749014738548285,""7"":0.08817699339908877}","{""0"":0.020146459573879838,""2"":0.019760691036935896,""4"":0.013834728859364986,""5"":0.009949111379683018,""6"":0.006683161569526419,""7"":0.005529597256099805}","{""0"":1.0433085784316063,""2"":1.0405575782060623,""4"":1.0253499895334244,""5"":1.0152494087815285,""6"":1.005194902420044,""7"":0.9966620318591595}",0:0.336278176424;2:0.328981985792;4:0.226965185121;5:0.161616174266;6:0.107490147385;7:0.0881769933991,0.02543922560289502,False,False
20,regularized_plane_flux_controlled_pressure_outlet,tiny_smoke,False,False,False,False,False,False,False,2,True,0.7,10,linear,1.0,0.85,0.2717849480452678,0.3927301856697626,0.3927301856697626,-0.12094523762449477,0.03903815895318985,0.75,0.0075,0.1512206643819809,1.5240097045898438,0.27125483751296997,0.3366357386112213,-0.06538090109825134,0.03903815895318985,0.0018878194969147444,0.0018878194969147444,2.4398850655416027e-06,2.4398850655416027e-06,0.0005,0.5,0.25170926625529927,0,0,0.0,2,0.85,0,0,0.0,0.3366357386112213,0.321195125579834,0.018350208178162575,0.03148163482546806,0.024642350617796183,0.0,0.9960592836141586,9.1659302723155e-05,0.3671430297963305,0.38653829508885873,0.3780841265377419,0.3671430297963305,0.9842337288885901,"{""0"":0.3197469977003151,""2"":0.32870199842159764,""4"":0.3671430297963305,""5"":0.3780841265377419,""6"":0.38653829508885873,""7"":0.3927301856697626}","{""0"":0.019171022810041904,""2"":0.019765547302085906,""4"":0.02216188021702692,""5"":0.02300445968285203,""6"":0.023834950989112258,""7"":0.024642350617796183}","{""0"":1.0424494296312332,""2"":1.0393330454826355,""4"":1.0355110466480255,""5"":1.0272831097245216,""6"":1.0136389285326004,""7"":0.9960592836141586}",0:0.3197469977;2:0.328701998422;4:0.367143029796;5:0.378084126538;6:0.386538295089;7:0.39273018567,0.029174741357564926,False,False
