candidate_id,geometry_type,rho_min_delta,rho_max_delta,lbm_max_v_delta,mpm_min_J_delta,projected_mass_delta,hydro_force_max_norm_delta,active_cell_count_delta,bb_link_count_delta,link_area_area_scale_final,comparison_pass
real_candidate_smoke_mesh,mesh,5.960464477539063e-08,0.0,1.6763806343078613e-08,4.76837158203125e-07,1.1920928955078125e-07,-5.960464477539063e-08,0,0,0.8084830641746521,True
real_candidate_smoke_voxel,voxel,5.960464477539063e-08,1.1920928955078125e-07,1.19674950838089e-07,-3.5762786865234375e-07,-3.725290298461914e-08,1.1920928955078125e-07,0,0,0.7987391352653503,True
