mode,geometry_type,stable,n_grid,n_particles,n_lbm_steps,mpm_substeps_per_lbm_step,total_mpm_substeps,target_u_lbm_x,rho_min,rho_max,lbm_max_v,mpm_min_J,mpm_max_speed,projection_zone_ux_final,solid_mean_vx_final,active_cell_count,projected_mass,cell_force_max_norm,hydro_force_max_norm,bb_link_count,active_reaction_particle_count,max_grid_reaction_norm,estimated_memory_mb,total_time_sec,steps_per_sec,notes
none,squid_proxy,True,48,4096,10,10,100,0.005,1.0000003576278687,1.0000003576278687,0.0,0.9999995231628418,0.02604869194328785,0.0,0.0260406956076622,4868,0.022940360009670258,0.0,0.0,0,0,0.0,26.15625,69.28358170000138,0.14433433945866284,48^3 procedural squid_proxy engineering scale baseline; not real squid validation
penalty,squid_proxy,True,48,4096,10,10,100,0.005,0.9999966621398926,1.000004529953003,7.749323231109884e-06,0.9999956488609314,0.025958232581615448,5.788890575786354e-06,0.025821153074502945,4868,0.022940384224057198,4.96609845868079e-06,4.96609845868079e-06,0,0,1.481202893671707e-08,26.15625,91.86760880000656,0.10885229441173051,48^3 procedural squid_proxy engineering scale baseline; not real squid validation
moving_boundary,squid_proxy,True,48,4096,10,10,100,0.005,0.990947961807251,1.0123127698898315,0.007713154423981905,0.9937073588371277,0.05547720566391945,0.00014672198449261487,0.02589104324579239,4869,0.0229403804987669,0.0,0.42039597034454346,6654,3275,1.0519734132685699e-05,26.15625,95.61465970001882,0.10458647273727663,48^3 procedural squid_proxy engineering scale baseline; not real squid validation
