case,reaction_transfer_mode,step_index,driver_lbm_step,requested_phase,selected_phase,report_pass,finite_pass,cap_pass,applied_cell_count,max_applied_velocity_norm,mean_applied_velocity_norm,after_solid_vel_norm_max,wall_velocity_cap_lbm,lbm_population_update_count,apply_to_lbm_solid_vel,apply_to_lbm_populations,modify_bounceback_formula
experimental_48_moving_boundary,engineering,38,38,0.95,1.0,True,True,True,2136,0.00014680280936628728,9.434267629482487e-05,0.006157304104443951,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,39,39,0.975,1.0,True,True,True,2136,0.00014680280936628728,9.434267629482486e-05,0.006081989860642475,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,40,40,0.0,0.0,True,True,True,2136,0.0005006836795005674,0.0003217638579611436,0.00611446966576394,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,41,41,0.025,0.0,True,True,True,2136,0.0005006836795005674,0.0003217638579611436,0.006126406976596959,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,42,42,0.05,0.0,True,True,True,2136,0.0005006836795005674,0.0003217638579611436,0.0060855638422395815,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,43,43,0.075,0.1,True,True,True,2136,0.005849450792213756,0.0037591436088628594,0.006206655537434445,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,44,44,0.1,0.1,True,True,True,2136,0.005849450792213756,0.0037591436088628594,0.006480769803362507,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,45,45,0.125,0.1,True,True,True,2136,0.005849450792213756,0.0037591436088628594,0.00672810172136716,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,46,46,0.15,0.1,True,True,True,2136,0.005849450792213756,0.0037591436088628594,0.006865239138830219,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,47,47,0.175,0.2,True,True,True,2136,0.007021783310068709,0.004512541910430384,0.00766442460429516,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,48,48,0.2,0.2,True,True,True,2136,0.007021783310068709,0.004512541910430384,0.007415601848248331,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,49,49,0.225,0.2,True,True,True,2136,0.007021783310068709,0.004512541910430384,0.007039559384797211,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,50,50,0.25,0.2,True,True,True,2136,0.007021783310068709,0.004512541910430384,0.006575174028748136,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,51,51,0.275,0.35,True,True,True,2136,0.0001769404350671112,0.00011371059083312566,0.005727498871483559,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,52,52,0.3,0.35,True,True,True,2136,0.0001769404350671112,0.00011371059083312565,0.005664772029219594,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,53,53,0.325,0.35,True,True,True,2136,0.0001769404350671112,0.00011371059083312565,0.00559541795140564,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,54,54,0.35,0.35,True,True,True,2136,0.00017694043506711124,0.00011371059083312565,0.005526516716448797,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,55,55,0.375,0.35,True,True,True,2136,0.00017694043506711124,0.00011371059083312565,0.005473629755231504,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,56,56,0.4,0.35,True,True,True,2136,0.0001769404350671112,0.00011371059083312565,0.005448264120135005,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,57,57,0.425,0.35,True,True,True,2136,0.0001769404350671112,0.00011371059083312565,0.005450566347680312,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,58,58,0.45,0.5,True,True,True,2136,0.002743496658157396,0.001763105340107655,0.005470659329852579,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,59,59,0.475,0.5,True,True,True,2136,0.002743496658157396,0.0017631053401076552,0.005509393874101666,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,60,60,0.5,0.5,True,True,True,2136,0.002743496658157396,0.0017631053401076552,0.005562368776279514,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,61,61,0.525,0.5,True,True,True,2136,0.002743496658157396,0.001763105340107655,0.005627323246997908,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,62,62,0.55,0.5,True,True,True,2136,0.002743496658157396,0.001763105340107655,0.00570238905024777,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,63,63,0.575,0.5,True,True,True,2136,0.002743496658157396,0.001763105340107655,0.005784408466302764,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,64,64,0.6,0.5,True,True,True,2136,0.002743496658157396,0.001763105340107655,0.005867573559320468,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,65,65,0.625,0.5,True,True,True,2136,0.002743496658157396,0.001763105340107655,0.005953969005832593,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,66,66,0.65,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.006042822857321384,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,67,67,0.675,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.00613339290549155,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,68,68,0.7,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.006226978199780774,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,69,69,0.725,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.006326682319754755,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,70,70,0.75,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.00642941063198602,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,71,71,0.775,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.006722166349535209,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,72,72,0.8,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.006974623829932216,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,73,73,0.825,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.007209662918569534,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,74,74,0.85,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.007468077409471612,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,75,75,0.875,0.75,True,True,True,2136,0.003658631054207112,0.0023512155299976315,0.0077557672984075185,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,76,76,0.9,1.0,True,True,True,2136,0.00014680280936628728,9.434267629482486e-05,0.007990565205209514,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,77,77,0.925,1.0,True,True,True,2136,0.00014680280936628728,9.434267629482486e-05,0.008089844174328195,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,78,78,0.95,1.0,True,True,True,2136,0.00014680280936628728,9.434267629482486e-05,0.008119413778385508,0.01,0,True,False,False
experimental_48_moving_boundary,engineering,79,79,0.975,1.0,True,True,True,2136,0.00014680280936628728,9.434267629482487e-05,0.008154417712721967,0.01,0,True,False,False
