step,diagnostic_mode,rho_min,rho_max,max_v,f_min,f_max,F_min,F_max,negative_population_count,negative_population_fraction,population_entry_count,fluid_cell_count,mass_total,mass_total_delta_rel,boundary_x_min_negative_population_count,boundary_x_max_negative_population_count,stability_all_finite
0,lightweight_reduction,1.0,1.0,0.0,0.02777777798473835,0.3333333432674408,0.02777777798473835,0.3333333432674408,0,0.0,3859584,101568,101568.0,0.0,0,0,True
5,lightweight_reduction,0.999988317489624,1.0019539594650269,0.0011152910301461816,0.027748383581638336,0.3338790237903595,0.027748383581638336,0.3338790237903595,0,0.0,3859584,101568,101575.078125,6.968853379017013e-05,0,0,True
10,lightweight_reduction,0.9998584985733032,1.004794716835022,0.002510356716811657,0.027685755863785744,0.3348464071750641,0.027685755863785744,0.3348464071750641,0,0.0,3859584,101568,101596.0546875,0.00027621581108223063,0,0,True
15,lightweight_reduction,0.9995144009590149,1.0070195198059082,0.003710749326273799,0.027620771899819374,0.3355870246887207,0.027620771899819374,0.3355870246887207,0,0.0,3859584,101568,101628.5,0.0005956600504095778,0,0,True
20,lightweight_reduction,0.9989820718765259,1.0094428062438965,0.004995422903448343,0.02755139395594597,0.3363851308822632,0.02755139395594597,0.3363851308822632,0,0.0,3859584,101568,101672.5625,0.0010294827110901071,0,0,True
25,lightweight_reduction,0.9982904195785522,1.0118571519851685,0.006279665045440197,0.027478592470288277,0.3371882140636444,0.027478592470288277,0.3371882140636444,0,0.0,3859584,101568,101733.8125,0.0016325269770006302,0,0,True
30,lightweight_reduction,0.9974832534790039,1.0142618417739868,0.0076790787279605865,0.02740473672747612,0.33798298239707947,0.02740473672747612,0.33798298239707947,0,0.0,3859584,101568,101801.7109375,0.0023010292365705735,0,0,True
35,lightweight_reduction,0.9967172741889954,1.0166847705841064,0.009086753241717815,0.027329685166478157,0.3387838900089264,0.027329685166478157,0.3387838900089264,0,0.0,3859584,101568,101887.578125,0.0031464449925173283,0,0,True
40,lightweight_reduction,0.9959482550621033,1.0191066265106201,0.010494534857571125,0.027254225686192513,0.3395828902721405,0.027254225686192513,0.3395828902721405,0,0.0,3859584,101568,101963.1015625,0.0038900201096802142,0,0,True
45,lightweight_reduction,0.995135486125946,1.0215330123901367,0.011901630088686943,0.02717861533164978,0.34038224816322327,0.02717861533164978,0.34038224816322327,0,0.0,3859584,101568,102025.2421875,0.0045018331314981095,0,0,True
50,lightweight_reduction,0.9942837953567505,1.0239628553390503,0.013308391906321049,0.027103174477815628,0.3411816358566284,0.027103174477815628,0.3411816358566284,0,0.0,3859584,101568,102102.1953125,0.005259484409459672,0,0,True
55,lightweight_reduction,0.9933998584747314,1.0263968706130981,0.014713937416672707,0.02702808752655983,0.3419812321662903,0.02702808752655983,0.3419812321662903,0,0.0,3859584,101568,102179.8671875,0.006024212227276307,0,0,True
60,lightweight_reduction,0.9924901723861694,1.028834581375122,0.016119083389639854,0.02695354074239731,0.34278079867362976,0.02695354074239731,0.34278079867362976,0,0.0,3859584,101568,102262.2734375,0.006835552905442659,0,0,True
65,lightweight_reduction,0.9915600419044495,1.031275987625122,0.01752379536628723,0.026879632845520973,0.343580424785614,0.026879632845520973,0.343580424785614,0,0.0,3859584,101568,102381.53125,0.008009720089004411,0,0,True
70,lightweight_reduction,0.9906136989593506,1.033721923828125,0.018928883597254753,0.026806499809026718,0.34438005089759827,0.026806499809026718,0.34438005089759827,0,0.0,3859584,101568,102520.546875,0.009378415199669187,0,0,True
75,lightweight_reduction,0.9896550178527832,1.0361719131469727,0.020334770902991295,0.026734180748462677,0.3451800048351288,0.026734180748462677,0.3451800048351288,0,0.0,3859584,101568,102659.15625,0.010743110526937619,0,0,True
80,lightweight_reduction,0.9887029528617859,1.0386223793029785,0.02174266241490841,0.026662606745958328,0.34597906470298767,0.026662606745958328,0.34597906470298767,0,0.0,3859584,101568,102812.4140625,0.012252028813208886,0,0,True
85,lightweight_reduction,0.9878471493721008,1.041060447692871,0.02315661311149597,0.02658223919570446,0.34677332639694214,0.02658223919570446,0.34677332639694214,0,0.0,3859584,101568,102931.1796875,0.013421350105348142,0,0,True
90,lightweight_reduction,0.9870621562004089,1.0413931608200073,0.024422982707619667,0.026450423523783684,0.3469904363155365,0.026450423523783684,0.3469904363155365,0,0.0,3859584,101568,103052.6171875,0.014616977665209514,0,0,True
95,lightweight_reduction,0.986538827419281,1.0406466722488403,0.0246940515935421,0.02623947337269783,0.34672996401786804,0.02623947337269783,0.34672996401786804,0,0.0,3859584,101568,103124.421875,0.015323939380513548,0,0,True
100,lightweight_reduction,0.9867236614227295,1.04013991355896,0.02503856271505356,0.02607346512377262,0.34657445549964905,0.02607346512377262,0.34657445549964905,0,0.0,3859584,101568,103180.3359375,0.015874448029891304,0,0,True
105,lightweight_reduction,0.9874488115310669,1.039036750793457,0.02538464032113552,0.02593114599585533,0.34622323513031006,0.02593114599585533,0.34622323513031006,0,0.0,3859584,101568,103243.125,0.01649264532136106,0,0,True
110,lightweight_reduction,0.988572359085083,1.0376811027526855,0.025634929537773132,0.025816339999437332,0.3457759618759155,0.025816339999437332,0.3457759618759155,0,0.0,3859584,101568,103270.0703125,0.016757938647014806,0,0,True
115,lightweight_reduction,0.9900463223457336,1.0361474752426147,0.025848986580967903,0.025729162618517876,0.34526923298835754,0.025729162618517876,0.34526923298835754,0,0.0,3859584,101568,103274.015625,0.016796782697306237,0,0,True
