row_pair,step48_row,step47_row,matched_phases,projected_mass_delta_max_abs,active_cell_count_delta_max_abs,applied_velocity_delta_max_abs,comparison_pass
original_static_32_10step_vs_step47_prefix,original_static_32_10step,original_static_32_5step,"[0.0, 0.05, 0.1, 0.2, 0.35]",0.0,0.0,0.0,True
runtime_geometry_only_32_10step_vs_step47_prefix,runtime_geometry_only_32_10step,runtime_geometry_only_32_5step,"[0.0, 0.05, 0.1, 0.2, 0.35]",0.0,0.0,0.0,True
runtime_geometry_plus_wall_velocity_32_10step_vs_step47_prefix,runtime_geometry_plus_wall_velocity_32_10step,runtime_geometry_plus_wall_velocity_32_5step,"[0.0, 0.05, 0.1, 0.2, 0.35]",0.0,0.0,0.0,True
wall_velocity_only_32_10step_vs_step47_prefix,wall_velocity_only_32_10step,wall_velocity_only_32_5step,"[0.0, 0.05, 0.1, 0.2, 0.35]",0.0,0.0,0.0,True
